success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0         76        259      0.064           9.329                 1.08         10
      1          0               0         82        502      0.194          15.537                 1.29         20
      1          0               0         87        519      0.487          22.000                 1.38         30
      1          0               0         46        444      0.475          26.500                 1.52         40
      1          0               0         73        771      1.200          30.644                 1.64         50
      1          0               0         78        885      1.971          32.051                 1.88         60
      1          0               0         33        137      0.030           8.788                 1.15         10
      1          0               0         43        247      0.096          16.605                 1.21         20
      1          0               0         99        681      0.469          23.010                 1.32         30
      1          0               0         91        706      0.841          26.132                 1.54         40
      1          0               0         92        793      1.433          29.250                 1.71         50
      1          0               0        108       1344      2.592          33.111                 1.82         60
      1          0               0         71        295      0.061           8.761                 1.15         10
      1          0               0         71        431      0.202          15.465                 1.31         20
      1          0               0         74        703      0.366          21.351                 1.41         30
      1          0               0         79        769      0.855          24.646                 1.63         40
      1          0               0         74        700      1.143          30.162                 1.66         50
      1          0               0         48        711      1.128          34.583                 1.74         60
      1          0               0         50        173      0.042           9.300                 1.09         10
      1          0               0         55        392      0.122          17.145                 1.17         20
      1          0               0         87        575      0.357          26.184                 1.15         30
      1          0               0         81        622      0.644          29.420                 1.36         40
      1          0               0         85       1042      1.249          32.624                 1.54         50
      1          0               0         49        621      1.158          36.061                 1.67         60
      1          0               0         58        252      0.052           8.552                 1.18         10
      1          0               0         69        557      0.176          14.899                 1.35         20
      1          0               0         60        626      0.426          17.217                 1.77         30
      1          0               0         49        687      0.786          17.429                 2.39         40
      1          0               0         44        754      1.370          19.727                 2.62         50
      1          0               0         47        883      1.907          25.532                 2.37         60
      1          0               0         33        131      0.062           9.333                 1.08         10
      1          0               0         45        305      0.097          17.022                 1.18         20
      1          0               0         81        479      0.366          24.235                 1.24         30
      1          0               0         58        487      0.725          24.259                 1.66         40
      1          0               0         82        871      1.742          27.085                 1.85         50
      1          0               0         73        745      2.382          30.000                  2.0         60
      1          0               0         80        273      0.063           9.400                 1.07         10
      1          0               0         60        242      0.131          16.567                 1.21         20
      1          0               0         69        349      0.321          23.174                  1.3         30
      1          0               0         93        510      0.869          26.828                  1.5         40
      1          0               0         84        654      1.617          28.988                 1.73         50
      1          0               0         77        899      2.572          28.247                 2.13         60
      1          0               0         80        249      0.066           9.287                 1.09         10
      1          0               0         63        237      0.128          18.206                  1.1         20
      1          0               0         57        421      0.268          23.702                 1.27         30
      1          0               0         83        442      0.743          25.843                 1.55         40
      1          0               0         68        828      1.182          27.176                 1.84         50
      1          0               0         59        843      1.911          27.525                 2.19         60
      1          0               0         47        234      0.045           8.745                 1.17         10
      1          0               0        108        549      0.205          18.565                 1.09         20
      1          0               0         73        557      0.324          23.836                 1.26         30
      1          0               0         63        508      0.589          25.984                 1.54         40
      1          0               0         61        635      0.955          29.934                 1.67         50
      1          0               0         79        871      2.288          27.608                 2.18         60
      1          0               0         71        263      0.061           9.014                 1.13         10
      1          0               0         65        410      0.145          16.692                 1.21         20
      1          0               0         39        327      0.180          24.000                 1.27         30
      1          0               0         88        638      0.717          29.023                 1.39         40
      1          0               0         52        609      0.930          29.365                 1.72         50
      1          0               0         52        517      1.287          31.731                  1.9         60
