success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        109        557      0.199         10
      1          0               0        108       1041      0.611         20
      1          0               0        108       1646      1.293         30
      1          0               0         94        552      0.181         10
      1          0               0        123       1298      0.717         20
      1          0               0        123       1836      1.473         30
      1          0               0        103        696      0.206         10
      1          0               0        104       1194      0.598         20
      1          0               0        104       1621      1.291         30
      1          0               0         80        518      0.145         10
      1          0               0        102       1085      0.597         20
      1          0               0        112       1917      1.599         30
      1          0               0         99        702      0.193         10
      1          0               0         97       1418      0.635         20
      1          0               0         98       1968      1.257         30
      1          0               0         93        624      0.184         10
      1          0               0        109       1103      0.650         20
      1          0               0        109       1549      1.324         30
      1          0               0        103        539      0.243         10
      1          0               0        103       1183      0.582         20
      1          0               0        102       1677      1.409         30
      1          0               0         63        368      0.129         10
      1          0               0         94        987      0.661         20
      1          0               0         95       1500      1.177         30
      1          0               0         91        572      0.170         10
      1          0               0        110       1315      0.651         20
      1          0               0        109       1939      1.359         30
      1          0               0         84        507      0.162         10
      1          0               0        101       1127      0.595         20
      1          0               0        100       1666      1.211         30
