success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        127        381      0.146         10
      1          0               0        311        807      0.440         10
      1          0               0        389       1593      0.569         10
      1          0               0        317       1237      0.365         10
      1          0               0        278       1141      0.335         10
      1          0               0        172        657      0.226         10
      1          0               0        189        346      0.200         10
      1          0               0        257        907      0.342         10
      1          0               0        317        735      0.378         10
      1          0               0        219        778      0.280         10
      1          0               0        408       1391      0.503         10
      1          0               0        266        651      0.302         10
      1          0               0        118        309      0.140         10
      1          0               0        379        910      0.476         10
      1          0               0        253        838      0.299         10
      1          0               0        362        753      0.411         10
      1          0               0        173        523      0.199         10
      1          0               0         88        262      0.106         10
      1          0               0        185        676      0.227         10
      1          0               0        258       1116      0.328         10
      1          0               0        282       1300      0.332         10
      1          0               0         43        288      0.050         10
      1          0               0        149        497      0.171         10
      1          0               0        105        416      0.121         10
      1          0               0        166        637      0.214         10
      1          0               0        346       1011      0.387         10
      1          0               0        146        562      0.161         10
      1          0               0        109        423      0.117         10
      1          0               0        335       1095      0.441         10
      1          0               0        211        615      0.237         10
      1          0               0        150        726      0.171         10
      1          0               0        306        789      0.356         10
      1          0               0        105        442      0.128         10
      1          0               0        221        595      0.255         10
      1          0               0         85        336      0.095         10
      1          0               0        395       1144      0.464         10
      1          0               0        209        413      0.229         10
      1          0               0        162        655      0.221         10
      1          0               0        201        611      0.233         10
      1          0               0        262       1254      0.324         10
      1          0               0        228        828      0.293         10
      1          0               0        398       1396      0.502         10
      1          0               0        305        919      0.367         10
      1          0               0        155        633      0.176         10
      1          0               0        237       1078      0.324         10
      1          0               0         94        289      0.111         10
      1          0               0        227        606      0.271         10
      1          0               0        243        659      0.277         10
      1          0               0        268        814      0.304         10
      1          0               0        341        905      0.391         10
      1          0               0        121        363      0.139         10
      1          0               0        211        496      0.234         10
      1          0               0        373        883      0.426         10
      1          0               0        250        857      0.290         10
      1          0               0        218        798      0.238         10
      1          0               0        340       1236      0.393         10
      1          0               0        213        644      0.251         10
      1          0               0        195        608      0.230         10
      1          0               0        157        670      0.192         10
      1          0               0        180        514      0.229         10
      1          0               0        346       1630      0.469         10
      1          0               0        330       1022      0.363         10
      1          0               0        232        950      0.269         10
      1          0               0        354        833      0.403         10
      1          0               0        240        341      0.264         10
      1          0               0        267        891      0.332         10
      1          0               0        310       1556      0.369         10
      1          0               0        348        976      0.433         10
      1          0               0        248        852      0.277         10
      1          0               0        299        598      0.344         10
      1          0               0        277       1098      0.328         10
      1          0               0        371        933      0.447         10
      1          0               0        264       1130      0.310         10
      1          0               0        154        708      0.179         10
      1          0               0        251        746      0.289         10
      1          0               0        260       1158      0.342         10
      1          0               0        222        592      0.253         10
      1          0               0        261       1102      0.324         10
      1          0               0        231       1083      0.291         10
      1          0               0        289        784      0.350         10
      1          0               0        130        477      0.143         10
      1          0               0        183        538      0.228         10
      1          0               0        149        446      0.161         10
      1          0               0        103        342      0.114         10
      1          0               0        316        923      0.376         10
      1          0               0        239        714      0.265         10
      1          0               0        239        630      0.261         10
      1          0               0        366       1166      0.406         10
      1          0               0        340       1150      0.433         10
      1          0               0        266        648      0.289         10
      1          0               0        264       1016      0.296         10
      1          0               0        300       1195      0.389         10
      1          0               0        190        625      0.221         10
      1          0               0        217        893      0.246         10
      1          0               0        306        878      0.377         10
      1          0               0        160        550      0.179         10
      1          0               0        291       1226      0.349         10
      1          0               0        156        335      0.183         10
      1          0               0        126        401      0.134         10
      1          0               0        102        336      0.115         10
      1          0               0        138        792      0.439         20
      1          0               0        365       2997      0.937         20
      1          0               0        353       2938      1.312         20
      1          0               0        354       2073      0.877         20
      1          0               0        332       2610      0.891         20
      1          0               0        261       1062      0.707         20
      1          0               0        122        616      0.252         20
      1          0               0        254       1573      0.611         20
      1          0               0        365       1675      0.961         20
      1          0               0        311       1388      0.780         20
      1          0               0        437       2871      1.480         20
      1          0               0        284       1255      0.679         20
      1          0               0        431       1878      1.308         20
      1          0               0        443       2314      1.365         20
      1          0               0        269       1890      0.627         20
      1          0               0        417       2088      1.139         20
      1          0               0        192       1659      0.497         20
      1          0               0        252       1397      0.622         20
      1          0               0        264       1791      0.736         20
      1          0               0        222       1427      0.593         20
      1          0               0        113        748      0.328         20
      1          0               0        301       1949      0.952         20
      1          0               0        236       1375      0.679         20
      1          0               0        208        954      0.447         20
      1          0               0        366       1504      0.976         20
      1          0               0        274       1089      0.611         20
      1          0               0        215       1361      0.534         20
      1          0               0        321       2049      0.978         20
      1          0               0        262       1911      0.758         20
      1          0               0        299       1286      0.683         20
      1          0               0        307       2450      0.750         20
      1          0               0        270       1450      0.656         20
      1          0               0        159       1293      0.400         20
      1          0               0        192       1251      0.430         20
      1          0               0        273       1799      0.705         20
      1          0               0        346       1639      0.786         20
      1          0               0        351       1934      0.788         20
      1          0               0        203       1593      0.482         20
      1          0               0        332       2436      0.758         20
      1          0               0        308       2181      0.758         20
      1          0               0        281       1496      0.732         20
      1          0               0        345       2602      0.842         20
      1          0               0        388       2592      0.896         20
      1          0               0        298       2271      0.772         20
      1          0               0        372       2277      1.012         20
      1          0               0        265       1298      0.626         20
      1          0               0        302       1071      0.703         20
      1          0               0        342       1467      0.723         20
      1          0               0        296       1302      0.674         20
      1          0               0        398       2165      0.997         20
      1          0               0        366       1523      0.917         20
      1          0               0        315       1326      0.676         20
      1          0               0        267       1622      0.619         20
      1          0               0        233       1183      0.501         20
      1          0               0        375       1780      0.944         20
      1          0               0        384       2320      0.978         20
      1          0               0        181        744      0.416         20
      1          0               0        392       1628      0.917         20
      1          0               0        350       1864      0.994         20
      1          0               0        152        593      0.346         20
      1          0               0        323       1298      0.740         20
      1          0               0        441       2598      1.016         20
      1          0               0        333       1850      0.764         20
      1          0               0        273       1132      0.695         20
      1          0               0        174        616      0.378         20
      1          0               0        457       1872      1.605         20
      1          0               0        326       2679      0.854         20
      1          0               0        222        907      0.581         20
      1          0               0        240       1252      0.586         20
      1          0               0        206        899      0.441         20
      1          0               0        295       2134      0.746         20
      1          0               0        332       1832      0.847         20
      1          0               0        280       1730      0.730         20
      1          0               0        220       1432      0.478         20
      1          0               0        202        883      0.482         20
      1          0               0        442       3072      1.076         20
      1          0               0        330       1582      0.783         20
      1          0               0        314       1650      0.689         20
      1          0               0        316       2431      0.898         20
      1          0               0        259       1373      0.549         20
      1          0               0        458       1405      1.006         20
      1          0               0        308       1705      0.777         20
      1          0               0        278       1089      0.608         20
      1          0               0        175        992      0.374         20
      1          0               0        316       1265      0.677         20
      1          0               0        224       1129      0.542         20
      1          0               0        417       2673      1.027         20
      1          0               0        402       2191      1.011         20
      1          0               0        302       1517      0.698         20
      1          0               0        216       1472      0.539         20
      1          0               0        391       2225      1.098         20
      1          0               0        319       1248      0.775         20
      1          0               0        182       1048      0.427         20
      1          0               0        338       2217      0.843         20
      1          0               0        286       1651      0.747         20
      1          0               0        273       1403      0.616         20
      1          0               0        286       1535      0.714         20
      1          0               0        367       1836      0.933         20
      1          0               0        315       1435      0.666         20
      1          0               0        285       1325      0.686         20
      1          0               0        277       1878      1.068         30
      1          0               0        273       2653      1.392         30
      1          0               0        330       3124      1.850         30
      1          0               0        362       3140      1.517         30
      1          0               0        304       2744      1.200         30
      1          0               0        288       1650      1.200         30
      1          0               0        328       1736      1.275         30
      1          0               0        287       2051      1.485         30
      1          0               0        284       1827      1.058         30
      1          0               0        293       1963      1.222         30
      1          0               0        322       2357      1.288         30
      1          0               0        237       1390      1.057         30
      1          0               0        335       3011      1.465         30
      1          0               0        386       2664      1.643         30
      1          0               0        255       2170      0.936         30
      1          0               0        229       2147      1.061         30
      1          0               0        381       3710      1.924         30
      1          0               0        423       2781      1.783         30
      1          0               0        239       2115      0.986         30
      1          0               0        421       4960      1.918         30
      1          0               0        343       2577      1.478         30
      1          0               0        385       3371      1.780         30
      1          0               0        411       3667      1.701         30
      1          0               0        249       1683      0.857         30
      1          0               0        298       2109      1.222         30
      1          0               0        219       2226      0.933         30
      1          0               0        309       2303      1.451         30
      1          0               0        308       1880      1.133         30
      1          0               0        364       3658      1.643         30
      1          0               0        378       2730      1.464         30
      1          0               0        239       1890      0.968         30
      1          0               0        394       2435      1.798         30
      1          0               0        334       2989      1.652         30
      1          0               0        130       1413      0.521         30
      1          0               0        379       4217      1.828         30
      1          0               0        356       2567      1.434         30
      1          0               0        234       1538      0.884         30
      1          0               0        312       2685      1.304         30
      1          0               0        280       2240      1.230         30
      1          0               0        309       2598      1.324         30
      1          0               0        282       2309      1.385         30
      1          0               0        350       2792      1.495         30
      1          0               0        362       3077      1.515         30
      1          0               0        205       2036      0.949         30
      1          0               0        324       2115      1.294         30
      1          0               0        393       2535      1.606         30
      1          0               0        377       1789      1.387         30
      1          0               0        293       1808      1.232         30
      1          0               0        392       3304      1.525         30
      1          0               0        313       2796      1.228         30
      1          0               0        368       2509      1.409         30
      1          0               0        421       1953      1.466         30
      1          0               0        336       1863      1.270         30
