success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0         55        237      0.095           7.727                 1.31         10
      1          0               0         60        366      0.386          10.917                 1.86         20
      1          0               0         51        389      1.276          10.157                 2.99         30
      1          0               0         51        297      0.104           7.431                 1.41         10
      1          0               0         60        345      0.361          12.083                 1.67         20
      1          0               0         46        333      0.813          13.217                 2.35         30
      1          0               0         26         88      0.047           6.500                 1.56         10
      1          0               0         52        518      0.480           8.192                 2.48         20
      1          0               0         52        394      1.228           8.442                 3.62         30
      1          0               0         35        147      0.060           7.686                 1.32         10
      1          0               0         45        221      0.241          12.578                  1.6         20
      1          0               0         31        231      0.538          11.581                 2.63         30
      1          0               0         25        100      0.051           7.480                 1.35         10
      1          0               0         15        118      0.113          10.600                 1.92         20
      1          0               0         73        654      1.464          12.123                  2.5         30
      1          0               0         63        307      0.110           6.937                 1.48         10
      1          0               0         43        282      0.274          12.163                 1.66         20
      1          0               0         22        167      0.532          10.773                  2.8         30
      1          0               0         49        258      0.096           6.184                 1.65         10
      1          0               0         18        144      0.122           9.833                 2.09         20
      1          0               0         72        612      1.252          11.500                 2.64         30
      1          0               0         51        126      0.087           7.765                  1.3         10
      1          0               0         52        357      0.386           9.635                 2.11         20
      1          0               0         43        404      1.096          10.256                 2.96         30
      1          0               0         62        273      0.100           7.935                 1.28         10
      1          0               0         74        393      0.414          12.716                 1.58         20
      1          0               0         28        178      0.471          13.214                 2.31         30
      1          0               0         43        199      0.092           7.953                 1.27         10
      1          0               0         36        170      0.213          11.111                 1.82         20
      1          0               0         41        372      0.681          13.756                  2.2         30
      1          0               0         40        149      0.106           8.350                 1.21         10
      1          0               0         35        230      0.349          11.829                 1.75         20
      1          0               0         61        610      1.283          13.885                 2.21         30
      1          0               0         33        108      0.056           7.576                 1.33         10
      1          0               0         51        284      0.313          10.392                 1.95         20
      1          0               0         50        422      0.904          12.680                 2.42         30
      1          0               0         20         76      0.040           7.700                 1.31         10
      1          0               0         57        374      0.371          10.649                 1.92         20
      1          0               0         44        326      0.839          13.386                 2.26         30
      1          0               0         11         50      0.018           8.364                  1.2         10
      1          0               0         33        228      0.203          12.061                 1.67         20
      1          0               0         31        404      0.614          11.258                  2.7         30
      1          0               0         31         92      0.058           7.355                 1.37         10
      1          0               0         23        169      0.174          10.043                 2.03         20
      1          0               0         21        188      0.486          11.333                 2.68         30
      1          0               0         56        323      0.116           6.089                 1.67         10
      1          0               0         96        698      0.584          11.417                 1.76         20
      1          0               0         50        420      0.786          12.980                 2.33         30
      1          0               0         19         56      0.031           8.105                 1.24         10
      1          0               0         44        272      0.269          12.864                 1.59         20
      1          0               0         38        336      0.765          14.605                 2.07         30
      1          0               0         81        264      0.125           8.247                 1.23         10
      1          0               0         69        438      0.390          12.565                  1.6         20
      1          0               0         48        350      0.775          13.229                 2.31         30
      1          0               0         56        226      0.097           7.571                 1.33         10
      1          0               0         57        551      0.372          11.544                 1.74         20
      1          0               0         43        445      0.672          13.907                 2.17         30
      1          0               0         31        126      0.050           8.677                 1.18         10
      1          0               0         43        198      0.208          13.884                 1.44         20
      1          0               0         11        112      0.189          14.000                 2.16         30
      1          0               0         62        243      0.105           7.726                 1.33         10
      1          0               0         27        199      0.155          12.481                 1.63         20
      1          0               0         62        453      1.307          11.339                 2.67         30
      1          0               0         29        116      0.055           8.138                 1.25         10
      1          0               0         48        253      0.268          12.625                  1.6         20
      1          0               0         50        417      0.791          15.520                 1.96         30
      1          0               0         45        143      0.099           6.422                  1.6         10
      1          0               0         19        114      0.152          11.368                 1.78         20
      1          0               0         27        189      0.676          12.481                 2.47         30
      1          0               0         52        197      0.077           9.115                 1.12         10
      1          0               0         57        300      0.281          15.719                 1.28         20
      1          0               0         28        220      0.325          17.643                 1.74         30
      1          0               0         31        132      0.051           7.968                 1.28         10
      1          0               0         26        203      0.212          10.308                 1.96         20
      1          0               0         51        461      0.979          13.412                 2.26         30
      1          0               0         23        135      0.040           8.348                 1.21         10
      1          0               0         70        462      0.475          11.471                 1.75         20
      1          0               0         58        533      1.354          11.483                 2.64         30
      1          0               0         58        206      0.110           7.931                 1.29         10
      1          0               0         29        150      0.199          11.828                 1.72         20
      1          0               0         43        279      0.723          12.744                 2.36         30
      1          0               0         21         63      0.041           7.190                 1.41         10
      1          0               0         17         99      0.130           9.941                 2.03         20
      1          0               0         51        224      0.806          13.902                 2.19         30
      1          0               0         24         83      0.044           7.375                 1.38         10
      1          0               0         61        446      0.407          10.328                 1.97         20
      1          0               0         61        556      1.166          11.426                 2.67         30
      1          0               0         37         98      0.067           6.946                 1.48         10
      1          0               0         48        441      0.344          11.333                 1.79         20
      1          0               0         66        581      1.011          13.848                  2.2         30
      1          0               0         66        306      0.113           7.652                 1.32         10
      1          0               0         47        264      0.292          11.766                 1.72         20
      1          0               0         41        254      0.588          15.659                 1.94         30
      1          0               0         56        301      0.125           5.982                 1.72         10
      1          0               0         45        435      0.276          11.711                 1.72         20
      1          0               0         48        532      0.837          12.375                 2.45         30
      1          0               0         33         91      0.052           8.364                  1.2         10
      1          0               0         46        282      0.305          10.435                 1.93         20
      1          0               0         61        330      1.188          10.984                 2.75         30
      1          0               0         13         58      0.023           7.462                 1.35         10
      1          0               0         68        423      0.408          11.265                 1.79         20
      1          0               0         55        414      1.025          13.982                 2.17         30
      1          0               0         40        191      0.079           6.800                 1.53         10
      1          0               0         42        300      0.415           9.048                 2.27         20
      1          0               0         27        231      0.623          11.778                 2.57         30
      1          0               0         43        144      0.075           7.628                 1.33         10
      1          0               0         50        205      0.282          12.920                 1.57         20
      1          0               0         25        190      0.509          12.360                 2.48         30
      1          0               0         67        281      0.113           8.224                 1.26         10
      1          0               0         75        534      0.532          11.720                 1.74         20
      1          0               0         51        623      0.912          14.686                 2.08         30
      1          0               0         47        248      0.086           7.149                 1.42         10
      1          0               0         44        260      0.347          10.409                 1.94         20
      1          0               0         70        482      1.221          11.429                 2.66         30
      1          0               0         35        169      0.057           8.543                  1.2         10
      1          0               0         19        100      0.111          11.263                  1.8         20
      1          0               0         52        496      0.923          11.885                 2.54         30
      1          0               0         42         87      0.066           8.357                 1.21         10
      1          0               0         34        131      0.197          10.882                 1.85         20
      1          0               0         51        326      0.824          12.941                 2.32         30
      1          0               0         87        370      0.145           7.701                 1.31         10
