success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        322       3475      1.093          19.913                  1.0         20
      1          0               0        354       8034      2.372          38.997                 1.03         40
      1          0               0        385      12421      3.876          56.197                 1.07         60
      1          0               0        386      16336      5.112          74.028                 1.08         80
      1          0               0        384      20260      6.445          91.826                 1.09        100
      1          0               0        385      24642      7.931         108.026                 1.11        120
      1          0               0        386      28603      9.283         125.951                 1.11        140
      1          0               0        385      32631     10.605         142.930                 1.12        160
      1          0               0        386      36161     11.525         159.319                 1.13        180
      1          0               0        387      40040     13.521         174.302                 1.15        200
      1          0               0        318       4431      1.071          19.755                 1.01         20
      1          0               0        324       8280      2.163          37.941                 1.06         40
      1          0               0        359      11531      3.528          56.657                 1.06         60
      1          0               0        365      15446      4.867          74.584                 1.08         80
      1          0               0        379      19084      6.073          92.644                 1.08        100
      1          0               0        380      22971      4.159         109.595                  1.1        120
      1          0               0        380      26461      5.201         127.247                  1.1        140
      1          0               0        380      30189     10.314         143.487                 1.12        160
      1          0               0        378      34181     11.749         159.672                 1.13        180
      1          0               0        379      38508     13.089         174.794                 1.15        200
      1          0               0        366       4043      1.183          19.929                  1.0         20
      1          0               0        387       8142      2.459          38.832                 1.03         40
      1          0               0        387      11682      3.708          56.705                 1.06         60
      1          0               0        387      15802      4.977          75.406                 1.06         80
      1          0               0        388      20311      6.207          93.598                 1.07        100
      1          0               0        387      24276      7.554         111.377                 1.08        120
      1          0               0        387      28269      8.970         127.682                  1.1        140
      1          0               0        387      32110     10.185         145.899                  1.1        160
      1          0               0        386      36090      8.019         161.974                 1.12        180
      1          0               0        386      40471     11.209         177.407                 1.13        200
      1          0               0        361       3272      1.197          19.917                  1.0         20
      1          0               0        361       7025      2.272          39.260                 1.02         40
      1          0               0        361      11420      3.429          56.875                 1.06         60
      1          0               0        397      15630      5.195          74.348                 1.08         80
      1          0               0        395      19228      4.125          92.590                 1.08        100
      1          0               0        395      23390      4.443         110.438                 1.09        120
      1          0               0        419      29030      5.543         127.952                  1.1        140
      1          0               0        421      33030      6.409         145.475                  1.1        160
      1          0               0        420      36527      7.210         161.314                 1.12        180
      1          0               0        420      40167      7.993         177.055                 1.13        200
      1          0               0        348       3486      0.640          19.198                 1.04         20
      1          0               0        348       6747      1.233          38.448                 1.04         40
      1          0               0        348      10051      1.952          57.448                 1.05         60
      1          0               0        407      13693      2.996          75.717                 1.06         80
      1          0               0        404      17601      3.700          93.007                 1.08        100
      1          0               0        404      22493      4.454         110.228                 1.09        120
      1          0               0        403      26655      5.319         127.596                  1.1        140
      1          0               0        402      30373      6.016         142.930                 1.12        160
      1          0               0        402      34639      6.993         158.759                 1.14        180
      1          0               0        404      39000      7.777         173.421                 1.16        200
      1          0               0        342       3823      0.656          19.822                 1.01         20
      1          0               0        342       6832      1.289          38.757                 1.03         40
      1          0               0        354      10628      1.997          56.986                 1.05         60
      1          0               0        354      13817      2.665          75.042                 1.07         80
      1          0               0        363      17753      3.350          93.719                 1.07        100
      1          0               0        363      22067      4.104         111.634                 1.08        120
      1          0               0        371      25868      4.956         126.642                 1.11        140
      1          0               0        382      29997      5.828         144.042                 1.11        160
      1          0               0        380      34477      6.498         160.361                 1.13        180
      1          0               0        385      38966      7.399         175.914                 1.14        200
      1          0               0        338       3425      0.639          19.757                 1.01         20
      1          0               0        342       6194      1.266          38.804                 1.03         40
      1          0               0        342       9592      1.886          57.643                 1.04         60
      1          0               0        342      14014      2.506          75.310                 1.06         80
      1          0               0        342      17534      3.175          93.474                 1.07        100
      1          0               0        407      21096      4.452         111.754                 1.08        120
      1          0               0        406      25504      5.365         127.200                  1.1        140
      1          0               0        405      29670      6.199         143.941                 1.11        160
      1          0               0        408      34131      6.906         161.074                 1.12        180
      1          0               0        405      37341      7.756         177.970                 1.13        200
      1          0               0        407       3661      0.957          19.880                 1.01         20
      1          0               0        413       7559      1.577          39.320                 1.02         40
      1          0               0        413      10563      2.254          58.228                 1.03         60
      1          0               0        413      15007      3.036          77.174                 1.04         80
      1          0               0        413      19161      3.720          94.857                 1.06        100
      1          0               0        413      23270      4.629         111.058                 1.08        120
      1          0               0        414      27385      5.494         127.978                  1.1        140
      1          0               0        413      31475      6.291         143.186                 1.12        160
      1          0               0        411      35661      7.084         160.416                 1.12        180
      1          0               0        412      39844      7.953         175.393                 1.14        200
      1          0               0        393       3758      0.739          19.702                 1.02         20
      1          0               0        393       7079      1.456          38.962                 1.03         40
      1          0               0        396      10856      2.199          57.750                 1.04         60
      1          0               0        396      14558      2.943          76.301                 1.05         80
      1          0               0        396      20214      3.715          92.987                 1.08        100
      1          0               0        396      24108      4.503         110.422                 1.09        120
      1          0               0        396      27802      5.301         128.389                 1.09        140
      1          0               0        396      32054      6.093         145.235                 1.11        160
      1          0               0        396      36270      7.154         160.831                 1.12        180
      1          0               0        396      41615      7.767         174.790                 1.15        200
      1          0               0        384       3997      0.736          19.417                 1.03         20
      1          0               0        384       7925      1.450          38.466                 1.04         40
      1          0               0        384      11500      2.145          57.237                 1.05         60
      1          0               0        385      15804      2.914          75.249                 1.07         80
      1          0               0        385      19070      3.548          93.262                 1.08        100
      1          0               0        386      22758      4.353         111.285                 1.08        120
      1          0               0        421      26837      5.640         128.050                  1.1        140
      1          0               0        420      30631      6.317         144.417                 1.11        160
      1          0               0        420      35673      7.156         159.781                 1.13        180
      1          0               0        421      41508      8.163         173.019                 1.16        200
      1          0               0        292       3335      0.632          19.716                 1.02         20
      1          0               0        301       6651      1.119          37.963                 1.06         40
      1          0               0        349      10239      1.910          56.398                 1.07         60
      1          0               0        383      14421      2.844          73.303                 1.09         80
      1          0               0        383      18288      3.621          90.700                  1.1        100
      1          0               0        383      21775      4.379         108.535                 1.11        120
      1          0               0        382      26277      5.204         125.220                 1.12        140
      1          0               0        382      30491      5.964         139.877                 1.15        160
      1          0               0        382      34205      6.782         156.848                 1.15        180
