success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0        276       1446      0.219           9.978         10
      1          0               0        322       3475      0.478          19.913         20
      1          0               0        355       5902      0.775          29.377         30
      1          0               0        354       8034      1.019          38.997         40
      1          0               0        386       9895      1.448          48.619         50
      1          0               0        385      12421      1.703          56.197         60
      1          0               0        386      14310      2.002          65.329         70
      1          0               0        386      16336      2.255          74.028         80
      1          0               0        384      18360      2.530          82.234         90
      1          0               0        384      20260      2.792          91.826        100
      1          0               0        318       2683      0.314           9.953         10
      1          0               0        318       4431      0.474          19.755         20
      1          0               0        324       5997      0.711          29.043         30
      1          0               0        324       8280      0.952          37.941         40
      1          0               0        359      10158      1.347          47.253         50
      1          0               0        359      11531      1.644          56.657         60
      1          0               0        366      13557      1.882          65.546         70
      1          0               0        365      15446      2.130          74.584         80
      1          0               0        365      17453      2.423          83.570         90
      1          0               0        379      19084      2.779          92.644        100
      1          0               0        242       1696      0.195           9.938         10
      1          0               0        366       4043      0.546          19.929         20
      1          0               0        365       6317      0.801          29.490         30
      1          0               0        387       8142      1.125          38.832         40
      1          0               0        387       9698      1.396          47.780         50
      1          0               0        387      11682      1.725          56.705         60
      1          0               0        387      13737      1.977          66.183         70
      1          0               0        387      15802      2.255          75.406         80
      1          0               0        387      17958      2.532          84.747         90
      1          0               0        388      20311      2.821          93.598        100
      1          0               0        241       1599      0.192           9.963         10
      1          0               0        361       3272      0.533          19.917         20
      1          0               0        361       5606      0.790          29.324         30
      1          0               0        361       7025      1.058          39.260         40
      1          0               0        361       9202      1.426          48.180         50
      1          0               0        361      11420      1.635          56.875         60
      1          0               0        361      13377      1.890          65.942         70
      1          0               0        397      15630      2.391          74.348         80
      1          0               0        396      16859      2.653          83.707         90
      1          0               0        395      19228      2.991          92.590        100
      1          0               0        316       1487      0.251           9.968         10
      1          0               0        348       3486      0.527          19.198         20
      1          0               0        348       5222      0.805          28.948         30
      1          0               0        348       6747      1.013          38.448         40
      1          0               0        348       8560      1.259          47.994         50
      1          0               0        348      10051      1.513          57.448         60
      1          0               0        348      11616      1.762          66.960         70
      1          0               0        407      13693      2.420          75.717         80
      1          0               0        406      15796      2.737          84.202         90
      1          0               0        404      17601      3.033          93.007        100
      1          0               0        316       1492      0.253           9.937         10
      1          0               0        342       3823      0.530          19.822         20
      1          0               0        342       5233      0.782          29.637         30
      1          0               0        342       6832      1.014          38.757         40
      1          0               0        354       8666      1.286          48.223         50
      1          0               0        354      10628      1.544          56.986         60
      1          0               0        354      12269      1.830          65.859         70
      1          0               0        354      13817      2.107          75.042         80
      1          0               0        363      16323      2.426          84.044         90
      1          0               0        363      17753      2.683          93.719        100
      1          0               0        296       1591      0.236           9.821         10
      1          0               0        338       3425      0.508          19.757         20
      1          0               0        342       4932      0.748          29.509         30
      1          0               0        342       6194      0.991          38.804         40
      1          0               0        342       7490      1.224          48.585         50
      1          0               0        342       9592      1.469          57.643         60
      1          0               0        342      11628      1.695          66.681         70
      1          0               0        342      14014      1.925          75.310         80
      1          0               0        342      15883      2.198          84.032         90
      1          0               0        342      17534      2.436          93.474        100
      1          0               0        308       1986      0.248           9.964         10
      1          0               0        407       3661      0.606          19.880         20
      1          0               0        413       5730      0.905          29.661         30
      1          0               0        413       7559      1.188          39.320         40
      1          0               0        413       9339      1.448          48.564         50
      1          0               0        413      10563      1.789          58.228         60
      1          0               0        413      12807      2.052          67.584         70
      1          0               0        413      15007      2.309          77.174         80
      1          0               0        413      17231      2.599          85.806         90
      1          0               0        413      19161      2.969          94.857        100
      1          0               0        393       2129      0.307           9.980         10
      1          0               0        393       3758      0.574          19.702         20
      1          0               0        393       5427      0.842          29.099         30
      1          0               0        393       7079      1.112          38.962         40
      1          0               0        393       8833      1.375          48.654         50
      1          0               0        396      10856      1.677          57.750         60
      1          0               0        396      12876      1.986          67.053         70
      1          0               0        396      14558      2.220          76.301         80
      1          0               0        396      16809      2.504          85.348         90
      1          0               0        396      20214      2.947          92.987        100
      1          0               0        318       1842      0.249           9.978         10
      1          0               0        384       3997      0.588          19.417         20
      1          0               0        384       6079      0.832          29.232         30
      1          0               0        384       7925      1.099          38.466         40
      1          0               0        384       9776      1.351          48.117         50
      1          0               0        384      11500      1.651          57.237         60
      1          0               0        386      13849      1.989          65.842         70
      1          0               0        385      15804      2.193          75.249         80
      1          0               0        385      17371      2.525          84.535         90
      1          0               0        385      19070      2.775          93.262        100
      1          0               0        292       1846      0.229           9.966         10
      1          0               0        292       3335      0.445          19.716         20
      1          0               0        292       4966      0.639          28.771         30
      1          0               0        301       6651      0.878          37.963         40
      1          0               0        349       8950      1.253          47.175         50
      1          0               0        349      10239      1.522          56.398         60
      1          0               0        349      12191      1.769          65.266         70
      1          0               0        383      14421      2.240          73.303         80
