success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        484       1662      0.760           8.713                 1.15         10
      1          0               0        634       2925      2.640          16.312                 1.23         20
      1          0               0        694       3068      5.495          25.197                 1.19         30
      0          0               0       1000      40000     15.516          31.933                 1.26         40
      1          0               0        773       5921     20.878          37.397                 1.34         50
      1          0               0        574       9026     21.364          40.143                  1.5         60
      1          0               0        617      10326     30.147          47.844                 1.47         70
      1          0               0        954      11659     66.164          51.226                 1.56         80
      1          0               0        752      15402     73.840          52.348                 1.72         90
      1          0               0        677      15396     85.520          55.191                 1.82        100
      1          0               0        690       3299      1.004           9.893                 1.01         10
      1          0               0        744       4755      2.604          19.776                 1.01         20
      1          0               0        922       7715      6.048          29.566                 1.02         30
      1          0               0        648       8877      7.159          39.258                 1.02         40
      1          0               0        582       8338      9.115          48.969                 1.02         50
      1          0               0        912      10916     19.439          59.205                 1.01         60
      1          0               0        867      13312     25.301          68.901                 1.02         70
      0          0               0       1000      80000     36.625          78.969                 1.01         80
      1          0               0        899      14452     40.489          88.696                 1.02         90
      1          0               0        984      15867     53.871          98.682                 1.01        100
      1          0               0        851       1863      1.285           8.656                 1.16         10
      1          0               0        909       4381      3.688          17.224                 1.17         20
      1          0               0        885       4457      7.502          23.269                 1.29         30
      1          0               0        805       4627     11.532          29.743                 1.35         40
      1          0               0        849       5885     20.415          34.988                 1.43         50
      1          0               0        618       9943     26.144          37.966                 1.58         60
      1          0               0        560       9837     40.144          37.868                 1.86         70
      1          0               0        811      11196     78.384          40.880                 1.96         80
      1          0               0        737      11175    100.291          44.266                 2.04         90
      1          0               0        764      14662    135.470          49.569                 2.02        100
      1          0               0        895       2336      1.243           9.940                 1.01         10
      0          0               0       1000      20000      3.523          19.782                 1.01         20
      0          0               0       1000      30000      7.261          28.723                 1.04         30
      0          0               0       1000      40000     11.116          38.320                 1.04         40
      0          0               0       1000      50000     17.019          47.505                 1.05         50
