success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        637       2249      0.811      9.799         10
      1          0               0       1043       3642      3.185     19.819         20
      1          0               0        896       4693      5.044     29.779         30
      1          0               0        863       4578      7.851     39.610         40
      1          0               0        769       9122     10.678     49.211         50
      1          0               0        690       3299      0.800      9.893         10
      1          0               0        744       4755      2.172     19.776         20
      1          0               0        922       7715      5.000     29.566         30
      1          0               0        648       8877      5.734     39.258         40
      1          0               0        582       8338      7.576     48.969         50
      1          0               0        543       1649      0.669      9.926         10
      1          0               0       1107       5719      3.268     19.839         20
      1          0               0       1211       7946      6.569     29.721         30
      1          0               0       1212       8526     10.222     39.682         40
      1          0               0       1107       9132     14.090     48.716         50
      1          0               0        895       2336      1.001      9.940         10
      1          0               0       1265       6873      3.566     19.823         20
      1          0               0       1101       6354      5.912     28.748         30
      1          0               0       1405      14420     11.976     38.493         40
      1          0               0       1428      23311     18.212     47.485         50
      1          0               0        856       2108      0.963      9.914         10
      1          0               0        885       4577      2.663     18.823         20
      1          0               0       1023       6801      5.927     27.233         30
      1          0               0        675       8261      6.158     36.847         40
      1          0               0       1393      15037     18.126     47.213         50
      1          0               0        302        952      0.344      9.957         10
      1          0               0        540       3259      1.530     19.826         20
      1          0               0        838       7027      4.345     29.715         30
      1          0               0       1220       8234      9.943     39.586         40
      1          0               0        995       6117     12.079     49.612         50
      1          0               0        897       4039      1.023      9.757         10
      1          0               0        314       1403      0.886     19.799         20
      1          0               0        741       5521      3.908     29.371         30
      1          0               0       1289      11067     10.881     38.839         40
      1          0               0       1045      12939     12.991     48.527         50
      1          0               0        642       1799      0.719      9.936         10
      1          0               0        490       3721      1.395     19.710         20
      1          0               0       1079       6589      5.600     29.711         30
      1          0               0       1215       7760     10.026     39.599         40
      1          0               0        685       8568      8.433     49.212         50
      1          0               0        717       2309      0.822      9.757         10
      1          0               0       1293       4946      3.623     19.851         20
      1          0               0        401       2717      2.181     28.476         30
      1          0               0       1083       6097      9.154     38.921         40
      1          0               0       1100       8877     13.608     48.549         50
      1          0               0        691       2287      0.798      9.713         10
      1          0               0        464       2601      1.312     19.795         20
      1          0               0       1017       5748      5.310     29.641         30
      1          0               0       1174      13012      9.878     38.795         40
      1          0               0       1321      22272     16.371     48.921         50
      1          0               0        635       2461      0.721      9.904         10
      1          0               0        439       2675      1.264     19.569         20
      1          0               0        728       3810      3.790     29.746         30
      1          0               0        665       5383      5.534     39.595         40
      1          0               0        609       7041      7.534     48.719         50
      1          0               0        519       2880      0.607      9.605         10
      1          0               0        852       5893      2.553     18.602         20
      1          0               0       1004      10075      5.466     28.505         30
      1          0               0       1096      12707      9.382     38.267         40
      1          0               0       1283      18910     16.417     47.745         50
      1          0               0        782       2184      0.879      9.910         10
      1          0               0        348       1836      0.981     19.782         20
      1          0               0        604       5987      3.155     29.599         30
      1          0               0        773       6096      6.557     38.758         40
      1          0               0       1043       9843     13.006     48.360         50
      1          0               0        585       3356      0.666      9.923         10
      1          0               0       1171       7654      3.339     19.767         20
      1          0               0       1034       8849      5.529     29.346         30
      1          0               0       1035      10889      8.633     39.241         40
      1          0               0        916      12946     11.241     49.227         50
      1          0               0        387       1694      0.443      9.837         10
      1          0               0        813       5296      2.283     19.803         20
      1          0               0        677       6170      3.579     29.393         30
      1          0               0        903       8819      7.757     38.311         40
      1          0               0       1235      15605     15.379     48.553         50
      1          0               0        712       2481      0.809      9.883         10
      1          0               0        676       3572      1.908     19.803         20
      1          0               0       1296       7811      6.779     29.581         30
      1          0               0       1210       6671      9.897     39.655         40
      1          0               0       1364      10697     16.543     49.648         50
      1          0               0        147        698      0.170      9.932         10
      1          0               0       1006       3534      2.820     19.856         20
      1          0               0        886       7430      4.729     29.459         30
      1          0               0        739       6949      6.093     39.506         40
      1          0               0        933       8726     11.419     49.270         50
      1          0               0        816       1894      0.910      9.955         10
      1          0               0        764       2909      2.176     19.776         20
      1          0               0        840       7578      4.431     29.521         30
      1          0               0        846       7023      6.940     39.612         40
      1          0               0       1479      16130     18.552     49.412         50
      1          0               0        483       1712      0.547      9.878         10
      1          0               0       1160       6302      3.276     19.826         20
      1          0               0        934       5716      4.892     29.656         30
      1          0               0        604       3889      4.995     39.583         40
      1          0               0        759       7053      9.234     49.372         50
      1          0               0        334       1715      0.394      9.479         10
      1          0               0       1096       4796      3.087     19.821         20
      1          0               0        730       5698      3.829     29.464         30
      1          0               0        960       8588      7.932     39.357         40
      1          0               0       1162      13587     14.324     49.306         50
      1          0               0        202        795      0.230      9.856         10
      1          0               0        840       3235      2.361     19.812         20
      1          0               0       1094       6073      5.681     29.689         30
      1          0               0       1305       7402     10.761     39.659         40
      1          0               0       1257      10984     15.201     49.587         50
      1          0               0        530       1767      0.600      9.900         10
      1          0               0        698       5257      1.985     19.706         20
      1          0               0       1035       9025      5.416     29.570         30
      1          0               0       1087      12470      9.022     39.318         40
      1          0               0        935      15675     11.660     49.009         50
      1          0               0        362       1961      0.414      9.909         10
      1          0               0        740       5909      2.107     19.692         20
      1          0               0        731       6028      3.860     29.410         30
      1          0               0        735       8581      6.214     39.024         40
      1          0               0        782       9850      9.754     48.801         50
