success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        637       2249      0.874      9.799         10
      1          0               0       1043       3642      3.362     19.819         20
      1          0               0        896       4693      5.172     29.779         30
      1          0               0        863       4578      7.110     39.610         40
      1          0               0        769       9122     10.102     49.211         50
      1          0               0       1133      16480     23.901     57.884         60
      1          0               0       1400      29575     34.682     66.459         70
      1          0               0       1133      20638     40.849     75.229         80
      1          0               0       1101      24989     49.549     83.813         90
      1          0               0       1391      35538     65.185     93.665        100
      1          0               0        690       3299      0.809      9.893         10
      1          0               0        744       4755      2.169     19.776         20
      1          0               0        922       7715      4.977     29.566         30
      1          0               0        648       8877      5.629     39.258         40
      1          0               0        582       8338      7.598     48.969         50
      1          0               0        912      10916     15.521     59.205         60
      1          0               0        867      13312     21.082     68.901         70
      1          0               0       1369      18406     39.091     79.219         80
      1          0               0        899      14452     32.851     88.696         90
      1          0               0        984      15867     46.840     98.682        100
      1          0               0        543       1649      0.687      9.926         10
      1          0               0       1107       5719      4.480     19.839         20
      1          0               0       1211       7946      7.897     29.721         30
      1          0               0       1212       8526     12.262     39.682         40
      1          0               0       1107       9132     15.856     48.716         50
      1          0               0       1445      21550     29.986     57.579         60
      1          0               0        997      15811     26.287     67.312         70
      1          0               0       1369      25386     48.516     76.899         80
      1          0               0       1275      21311     57.426     86.675         90
      1          0               0       1434      30652     71.737     96.275        100
      1          0               0        895       2336      1.063      9.940         10
      1          0               0       1265       6873      4.596     19.823         20
      1          0               0       1101       6354      7.502     28.748         30
      1          0               0       1405      14420     14.642     38.493         40
      1          0               0       1428      23311     20.359     47.485         50
      1          0               0       1237      20806     25.522     57.313         60
      1          0               0       1407      21129     36.275     65.737         70
      1          0               0       1113      25195     35.258     75.219         80
      1          0               0       1460      33282     58.692     84.647         90
      1          0               0       1573      34019     79.601     93.524        100
      1          0               0        856       2108      1.010      9.914         10
      1          0               0        885       4577      2.854     18.823         20
      1          0               0       1023       6801      6.365     27.233         30
      1          0               0        675       8261      6.441     36.847         40
      1          0               0       1393      15037     19.038     47.213         50
      1          0               0        836       9168     15.514     57.511         60
      1          0               0        756       8792     19.171     66.778         70
      1          0               0        996      10860     31.250     76.493         80
      1          0               0        996      13324     43.025     85.418         90
      1          0               0       1185      19232     55.705     94.864        100
      1          0               0        302        952      0.442      9.957         10
      1          0               0        540       3259      1.758     19.826         20
      1          0               0        838       7027      6.013     29.715         30
      1          0               0       1220       8234     13.609     39.586         40
      1          0               0        995       6117     14.035     49.612         50
      1          0               0        610       4970     12.664     59.154         60
      1          0               0       1396      13439     32.449     67.332         70
      1          0               0       1067      12406     32.805     76.265         80
      1          0               0       1427      16697     70.558     86.224         90
      1          0               0       1114      18705     95.113     95.289        100
      1          0               0        897       4039      1.776      9.757         10
      1          0               0        314       1403      1.577     19.799         20
      1          0               0        741       5521      7.038     29.371         30
      1          0               0       1289      11067     20.258     38.839         40
      1          0               0       1045      12939     24.023     48.527         50
      1          0               0       1173       9011     30.129     57.441         60
      1          0               0       1253      20373     55.557     66.869         70
      1          0               0       1373      19251     65.204     75.488         80
      1          0               0       1254      17017     54.282     85.504         90
      1          0               0       1483      26438     74.134     94.631        100
      1          0               0        642       1799      0.745      9.936         10
      1          0               0        490       3721      1.448     19.710         20
      1          0               0       1079       6589      5.893     29.711         30
      1          0               0       1215       7760     10.275     39.599         40
      1          0               0        685       8568      8.563     49.212         50
      1          0               0       1553      16404     28.257     59.469         60
      1          0               0       1279      13304     32.429     69.192         70
      1          0               0       1174      16957     39.141     77.714         80
      1          0               0        968      14507     37.557     87.569         90
      1          0               0        897      16500     43.289     97.056        100
      1          0               0        717       2309      0.932      9.757         10
      1          0               0       1293       4946      4.280     19.851         20
      1          0               0        401       2717      2.401     28.476         30
      1          0               0       1083       6097      9.514     38.921         40
      1          0               0       1100       8877     14.202     48.549         50
      1          0               0       1277      14027     22.567     58.410         60
      1          0               0       1405      14865     32.297     68.352         70
      1          0               0        817       7579     24.129     78.113         80
      1          0               0       1109      11010     42.869     88.020         90
      1          0               0       1008      17905     47.719     96.530        100
      1          0               0        691       2287      0.895      9.713         10
      1          0               0        464       2601      1.467     19.795         20
      1          0               0       1017       5748      5.916     29.641         30
      1          0               0       1174      13012     12.128     38.795         40
      1          0               0       1321      22272     17.776     48.921         50
      1          0               0       1349      25816     25.271     58.357         60
      1          0               0       1296      22511     35.580     67.621         70
      1          0               0       1276      19106     65.759     77.619         80
      1          0               0       1170      17698     80.605     87.609         90
      1          0               0       1368      27815    113.061     97.094        100
      1          0               0        635       2461      1.240      9.904         10
      1          0               0        439       2675      2.294     19.569         20
      1          0               0        728       3810      6.959     29.746         30
      1          0               0        665       5383     10.286     39.595         40
      1          0               0        609       7041     14.634     48.719         50
      1          0               0        863      10928     29.879     57.109         60
      1          0               0        528       9859     24.112     66.771         70
      1          0               0        940      13966     54.387     75.799         80
      1          0               0        928      14249     47.479     83.819         90
      1          0               0        577      12745     28.868     93.068        100
      1          0               0        519       2880      0.636      9.605         10
      1          0               0        852       5893      2.802     18.602         20
      1          0               0       1004      10075      5.800     28.505         30
      1          0               0       1096      12707      9.511     38.267         40
      1          0               0       1283      18910     16.595     47.745         50
      1          0               0       1388      20460     26.550     57.878         60
      1          0               0       1045      14353     27.264     65.950         70
      1          0               0        580      11577     19.099     74.928         80
      1          0               0       1295      20639     60.529     84.265         90
      1          0               0       1295      26266     80.230     92.405        100
      1          0               0        782       2184      0.932      9.910         10
      1          0               0        348       1836      1.519     19.782         20
      1          0               0        604       5987      3.606     29.599         30
      1          0               0        773       6096      6.706     38.758         40
      1          0               0       1043       9843     13.356     48.360         50
      1          0               0       1148       8679     19.826     58.553         60
