success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        628       2109      1.616          19.791                 1.01         20
      1          0               0       1000       6562      5.604          39.176                 1.02         40
      1          0               0       1356      15493     13.511          56.606                 1.06         60
      1          0               0       1371      29297     26.232          71.027                 1.13         80
      1          0               0       1434      31559     45.530          89.209                 1.12        100
      1          0               0       1973      39818     72.805         109.026                  1.1        120
      1          0               0       1370      33687     75.308         125.764                 1.12        140
      1          0               0       1569      44649     69.124         146.658                 1.09        160
      1          0               0       1358      39401     62.448         164.637                  1.1        180
      1          0               0       1206      41442     70.784         179.633                 1.12        200
      1          0               0        568       3634      1.871          19.442                 1.03         20
      1          0               0        922       8054      5.021          38.885                 1.03         40
      1          0               0        980      11202      9.769          58.236                 1.03         60
      1          0               0       1148      13602     13.578          77.928                 1.03         80
      1          0               0       1403      21648     27.301          97.329                 1.03        100
      1          0               0       1743      33672     48.187         115.038                 1.04        120
      1          0               0       1661      35264     71.085         131.880                 1.06        140
      1          0               0       1175      33162     42.539         148.344                 1.08        160
      1          0               0       1840      57735     99.953         166.682                 1.08        180
      1          0               0       2019      58821    143.782         184.665                 1.08        200
      1          0               0       1137       4998      2.729          19.438                 1.03         20
      1          0               0       1393      12527      6.870          39.004                 1.03         40
      1          0               0       1593      19999     15.344          56.302                 1.07         60
      1          0               0       1025      16486     13.270          74.953                 1.07         80
      1          0               0       1228      21151     23.344          93.362                 1.07        100
      1          0               0       1432      24298     45.017         114.354                 1.05        120
      1          0               0       1383      29770     51.883         128.731                 1.09        140
      1          0               0       1357      33571     82.530         147.798                 1.08        160
      1          0               0       1711      40144    116.150         166.629                 1.08        180
      1          0               0       1101      28163     54.118         184.332                 1.09        200
      1          0               0       1522       6230      6.269          19.796                 1.01         20
      1          0               0       1277      11284     13.500          36.475                  1.1         40
      1          0               0       1482      26332     21.654          52.588                 1.14         60
      1          0               0       1615      26004     25.538          73.495                 1.09         80
      1          0               0       1623      29067     39.512          89.606                 1.12        100
      1          0               0       1940      32267     86.694         109.741                  1.1        120
      1          0               0       1517      33949     83.926         127.250                  1.1        140
      1          0               0       1626      40281    100.583         149.099                 1.08        160
      1          0               0       1549      37064    127.915         164.892                 1.09        180
      1          0               0       1824      45704    119.386         182.019                  1.1        200
      1          0               0        993       3835      2.497          18.379                 1.09         20
      1          0               0       1074       8369      6.319          36.390                  1.1         40
      1          0               0        960       9958      9.094          55.980                 1.07         60
      1          0               0        999      12775     11.566          75.702                 1.06         80
      1          0               0       1284      17588     25.864          93.662                 1.07        100
      1          0               0       1406      23043     34.193         111.381                 1.08        120
      1          0               0       1485      32336     50.638         131.373                 1.07        140
      1          0               0       1823      36749     90.195         145.954                  1.1        160
      1          0               0       1732      38050     72.492         164.309                  1.1        180
      1          0               0        928      23637     58.890         178.734                 1.12        200
      1          0               0       1161       5670      2.803          19.808                 1.01         20
      1          0               0       1299      11538      6.668          39.149                 1.02         40
      1          0               0        370       3928      2.664          57.046                 1.05         60
      1          0               0       1455      19093     20.052          75.551                 1.06         80
      1          0               0       1255      23940     22.929          93.095                 1.08        100
      1          0               0       1526      29300     40.926         109.721                  1.1        120
      1          0               0       1315      30463     48.745         123.129                 1.14        140
      1          0               0       1570      39725     90.706         141.948                 1.13        160
      1          0               0       1254      36325    100.339         161.013                 1.12        180
      1          0               0       1271      36782     77.590         178.994                 1.12        200
      1          0               0        410       1570      1.115          19.795                 1.01         20
      1          0               0       1549       9106      9.931          38.229                 1.05         40
      1          0               0       1253      12226     11.605          56.488                 1.06         60
      1          0               0       1744      15382     37.432          73.275                 1.09         80
      1          0               0       1409      22061     26.419          93.272                 1.07        100
      1          0               0       1781      34031     49.021         112.379                 1.07        120
      1          0               0       1645      34391     61.361         130.671                 1.07        140
      1          0               0       1628      38282     63.720         147.752                 1.08        160
      1          0               0       1592      54147    140.946         163.174                  1.1        180
