success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        435       1731      0.425      9.703         10
      1          0               0        628       2109      1.138     19.791         20
      1          0               0        926       4617      2.561     29.670         30
      1          0               0       1000       6562      4.174     39.176         40
      1          0               0       1241      10761      6.837     48.965         50
      1          0               0        664       3232      0.663      9.733         10
      1          0               0        568       3634      1.062     19.442         20
      1          0               0        898       6836      2.711     28.052         30
      1          0               0        922       8054      3.532     38.885         40
      1          0               0        876       9760      4.446     48.406         50
      1          0               0       1061       3120      0.967      9.923         10
      1          0               0       1137       4998      2.224     19.438         20
      1          0               0       1015       7025      2.789     29.210         30
      1          0               0       1393      12527      5.341     39.004         40
      1          0               0       1516      17452      7.854     48.087         50
      1          0               0       1175       3729      1.110      9.930         10
      1          0               0       1522       6230      2.893     19.796         20
      1          0               0       1130       6331      3.399     27.808         30
      1          0               0       1277      11284      5.668     36.475         40
      1          0               0       1447      21251      8.528     45.751         50
      1          0               0        671       1886      0.633      9.359         10
      1          0               0        993       3835      1.964     18.379         20
      1          0               0       1452       8208      4.693     27.560         30
      1          0               0       1074       8369      4.667     36.390         40
      1          0               0        997      12283      5.634     46.725         50
      1          0               0        302        927      0.251      9.950         10
      1          0               0       1161       5670      2.016     19.808         20
      1          0               0        815       6304      2.074     29.535         30
      1          0               0       1299      11538      4.849     39.149         40
      1          0               0       1022       7346      4.734     49.109         50
      1          0               0        978       3515      0.897      9.840         10
      1          0               0        410       1570      0.657     19.795         20
      1          0               0       1201       5857      3.290     29.484         30
      1          0               0       1549       9106      6.340     38.229         40
      1          0               0       1229      11124      6.361     48.011         50
      1          0               0        689       1606      0.596      9.911         10
      1          0               0       1091       5298      2.002     19.654         20
      1          0               0       1140       9481      3.248     28.877         30
      1          0               0        654       5973      2.264     38.901         40
      1          0               0       1345      12888      6.714     47.955         50
      1          0               0        776       3181      0.696      9.285         10
      1          0               0       1327       5448      2.470     19.412         20
      1          0               0        450       2499      1.135     28.244         30
      1          0               0       1038       7508      3.914     38.494         40
      1          0               0       1057       7239      5.129     46.837         50
      1          0               0        733       2243      0.679      9.868         10
      1          0               0        532       2803      0.899     19.727         20
      1          0               0       1463       8811      4.204     29.368         30
      1          0               0       1515      15980      6.814     37.041         40
      1          0               0       1391      14217      7.327     48.418         50
      1          0               0        707       2711      0.640      9.853         10
      1          0               0        693       3330      1.195     19.563         20
      1          0               0        760       3942      1.922     29.484         30
      1          0               0       1000       5897      3.408     39.260         40
      1          0               0        658       6303      3.054     47.454         50
      1          0               0        539       2748      0.493      9.709         10
      1          0               0       1085       5917      2.096     18.394         20
      1          0               0       1045       9267      3.254     27.930         30
      1          0               0       1168      13311      5.217     36.924         40
      1          0               0       1177      12296      6.548     47.265         50
      1          0               0        746       2068      0.658      9.903         10
      1          0               0        859       4988      1.480     19.702         20
      1          0               0       1371       6524      4.025     29.292         30
      1          0               0       1291       7485      5.061     38.716         40
      1          0               0       1500      14024      8.296     47.893         50
      1          0               0        601       2841      0.520      9.864         10
      1          0               0       1168       8132      2.098     19.494         20
      1          0               0       1336      10512      3.908     28.518         30
      1          0               0       1397      14777      5.551     38.981         40
      1          0               0       1129      13657      5.589     48.539         50
      1          0               0        462       1888      0.414      9.719         10
      1          0               0        880       5292      1.586     19.633         20
      1          0               0        637       4575      1.780     29.044         30
      1          0               0        714       6514      2.822     37.280         40
      1          0               0       1288      12358      6.941     47.382         50
      1          0               0        785       2680      0.709      9.814         10
      1          0               0        696       3387      1.187     19.591         20
      1          0               0       1220       6840      3.515     28.773         30
      1          0               0       1271       7425      4.858     39.290         40
      1          0               0       1538      14404      7.877     49.388         50
      1          0               0        147        700      0.124      9.918         10
      1          0               0       1142       3788      1.921     19.879         20
      1          0               0       1074       7947      3.074     28.683         30
      1          0               0        844       7126      3.176     38.325         40
      1          0               0        550       5748      2.554     47.055         50
      1          0               0        864       1839      0.757      9.936         10
      1          0               0        893       4240      1.585     19.531         20
      1          0               0       1063       7940      3.018     29.199         30
      1          0               0       1503      14901      6.315     38.018         40
      1          0               0       1635      24671      8.877     47.687         50
      1          0               0        674       1609      0.613      9.457         10
      1          0               0       1236       5654      2.200     19.851         20
      1          0               0       1164       6250      3.345     29.547         30
      1          0               0        550       3798      1.897     38.809         40
      1          0               0       1455      13677      7.861     48.732         50
      1          0               0        559       2383      0.499      9.635         10
      1          0               0        857       4165      1.556     19.212         20
      1          0               0        989       9146      2.821     28.405         30
      1          0               0       1406      11699      5.855     38.479         40
      1          0               0       1113      13245      5.843     48.456         50
      1          0               0        209        733      0.179      9.809         10
      1          0               0        916       3360      1.612     19.555         20
      1          0               0       1130       5417      3.019     29.137         30
      1          0               0       1338       7903      5.087     38.965         40
      1          0               0       1732      15061      8.821     49.247         50
      1          0               0        483       1708      0.433      9.770         10
      1          0               0        868       5424      1.560     19.589         20
      1          0               0       1247      11823      3.576     29.527         30
      1          0               0       1176       9248      4.677     38.693         40
      1          0               0       1011      13364      5.154     48.510         50
      1          0               0        377       1680      0.320      9.849         10
      1          0               0        765       5833      1.378     19.418         20
      1          0               0        798       6686      2.194     28.999         30
      1          0               0        733       8656      2.850     37.980         40
      1          0               0        769       8156      3.920     47.538         50
      1          0               0       1105       4536      1.006      9.789         10
      1          0               0       1428       8658      2.607     19.750         20
      1          0               0       1307      10090      3.806     29.241         30
      1          0               0       1685      18323      7.414     38.180         40
      1          0               0       1703      22013      8.867     47.800         50
      1          0               0        500       2121      0.444      9.846         10
      1          0               0       1054       6595      2.003     19.291         20
      1          0               0        579       3894      1.523     28.677         30
      1          0               0        684       5516      2.450     38.085         40
      1          0               0        815       6654      3.686     48.264         50
      1          0               0       1130       4129      0.998      9.919         10
      1          0               0       1314       5808      2.353     19.705         20
      1          0               0       1477      13201      4.271     28.819         30
      1          0               0       1456      17887      6.037     38.367         40
      1          0               0       1444      20198      7.809     47.686         50
      1          0               0        585       1833      0.496      9.918         10
      1          0               0       1116       4154      1.971     19.427         20
      1          0               0        814       5553      2.220     28.926         30
      1          0               0       1264      10939      5.183     37.835         40
      1          0               0       1146       9693      5.526     48.630         50
      1          0               0        862       1964      0.777      9.666         10
      1          0               0       1080       3827      1.971     18.725         20
      1          0               0        719       4147      1.931     28.832         30
      1          0               0        946       8241      3.585     38.683         40
      1          0               0        675       6993      3.015     48.024         50
      1          0               0        527       2597      0.458      9.480         10
      1          0               0        887       3411      1.611     19.307         20
      1          0               0       1335      10019      3.919     29.471         30
      1          0               0        637       5075      2.123     38.992         40
      1          0               0       1535      17145      7.828     48.710         50
      1          0               0        317        991      0.273      9.833         10
      1          0               0        775       4452      1.348     19.603         20
      1          0               0       1356      10995      4.367     27.314         30
      1          0               0       1468      12964      5.718     39.221         40
      1          0               0       1571      18453      8.586     46.774         50
      1          0               0        499       1558      0.430      9.854         10
      1          0               0       1104       3772      1.940     19.849         20
      1          0               0        985       7083      2.695     29.184         30
      1          0               0       1227       8358      4.893     38.779         40
      1          0               0        875       8807      4.266     48.397         50
      1          0               0        877       3764      0.827      8.854         10
      1          0               0        969       6453      1.846     18.787         20
      1          0               0       1170       8488      3.395     28.377         30
      1          0               0       1532      11932      6.232     38.947         40
      1          0               0       1338      13489      7.588     46.882         50
      1          0               0        628       1226      0.547      9.691         10
      1          0               0       1487       3961      2.636     19.857         20
      1          0               0       1354       6148      3.694     29.713         30
      1          0               0       1145       7613      4.693     37.748         40
      1          0               0       1338      12817      7.681     45.571         50
      1          0               0        980       1698      0.859      9.924         10
      1          0               0       1226       5219      2.277     19.768         20
      1          0               0       1317      11084      4.100     28.406         30
      1          0               0        700       7180      2.697     38.436         40
      1          0               0       1494      14699      8.040     47.338         50
      1          0               0        716       1967      0.611      9.930         10
      1          0               0        956       4707      1.650     19.456         20
      1          0               0       1273       7506      3.524     29.654         30
      1          0               0       1678      10431      6.631     38.947         40
      1          0               0       1376      10634      7.174     48.054         50
      1          0               0        809       2634      0.727      9.848         10
      1          0               0        964       5537      1.793     19.202         20
      1          0               0       1040       8897      3.051     28.303         30
      1          0               0       1121       8218      4.511     38.167         40
      1          0               0       1161       9615      5.652     47.217         50
      1          0               0        657       2285      0.582      9.852         10
      1          0               0       1084       6311      2.008     19.638         20
      1          0               0       1067       6732      3.133     28.721         30
      1          0               0       1323       8453      5.219     38.977         40
      1          0               0       1154      10331      6.688     46.581         50
      1          0               0        669       1915      0.582      9.886         10
      1          0               0       1059       4400      1.855     19.740         20
      1          0               0       1238       6324      3.281     29.366         30
      1          0               0        922       6639      3.252     39.126         40
      1          0               0        789       8128      3.666     47.496         50
      1          0               0        619       2409      0.546      9.855         10
      1          0               0        992       5334      1.753     19.792         20
      1          0               0       1344       9345      3.834     29.480         30
      1          0               0       1337      11742      5.503     39.095         40
      1          0               0       1445      13905      7.877     48.843         50
      1          0               0        849       2593      0.755      9.918         10
      1          0               0        787       3766      1.319     19.718         20
      1          0               0       1457       9034      4.122     29.610         30
      1          0               0       1379      10581      5.334     39.071         40
      1          0               0       1615      16578      8.714     48.069         50
      1          0               0        317       1224      0.271      9.751         10
      1          0               0       1025       4041      1.734     19.802         20
      1          0               0       1024       5765      2.933     28.831         30
      1          0               0       1210       8455      4.998     37.216         40
      1          0               0       1215      11779      7.030     46.213         50
      1          0               0        501       1118      0.427      9.904         10
      1          0               0       1157       3382      2.020     19.794         20
      1          0               0        686       5981      1.848     29.259         30
      1          0               0       1596       9999      6.562     39.075         40
      1          0               0       1601      10025      7.885     49.231         50
      1          0               0        649       1696      0.557      9.929         10
      1          0               0       1159       4943      2.172     19.437         20
      1          0               0       1047       6754      2.853     29.321         30
      1          0               0       1409      13904      5.531     37.935         40
      1          0               0       1284      12628      6.059     48.642         50
      1          0               0        824       3461      0.751      9.818         10
      1          0               0       1178       7009      2.210     19.231         20
      1          0               0       1196       9005      3.463     29.102         30
      1          0               0       1375      12774      5.485     38.842         40
      1          0               0        649       8745      3.257     46.368         50
      1          0               0        924       3423      0.806      9.868         10
      1          0               0        786       4501      1.338     19.711         20
      1          0               0       1142       6784      3.090     29.492         30
      1          0               0        911       7656      3.340     38.293         40
      1          0               0        540       6944      2.512     46.554         50
      1          0               0        736       1973      0.668      9.853         10
      1          0               0        496       2635      0.827     19.609         20
      1          0               0        464       4750      1.197     28.972         30
      1          0               0       1112      13269      4.294     38.754         40
      1          0               0       1392      14037      7.522     47.165         50
      1          0               0        734       2370      0.647      9.879         10
      1          0               0        650       3633      1.175     19.582         20
      1          0               0        830       5980      2.202     28.986         30
      1          0               0        618       5813      2.166     37.958         40
      1          0               0        858       8217      4.210     47.383         50
      1          0               0        753       2427      0.662      9.886         10
      1          0               0        814       4927      1.463     19.346         20
      1          0               0       1155       9062      3.425     29.552         30
      1          0               0       1039      10657      4.861     37.065         40
      1          0               0       1055      12478      5.621     48.529         50
      1          0               0        316       1029      0.272      9.826         10
      1          0               0        837       2922      1.426     19.664         20
      1          0               0        449       4071      1.138     28.630         30
      1          0               0       1115       9185      4.201     38.385         40
      1          0               0        948       7707      4.688     47.139         50
      1          0               0        383       1110      0.325      9.914         10
      1          0               0        992       4440      1.726     19.809         20
      1          0               0        593       3263      1.472     29.250         30
      1          0               0       1542      13952      6.623     37.021         40
      1          0               0       1254      11034      6.587     48.025         50
