success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0        435       1731      0.493      9.703         10
      1          0               0        628       2109      1.142     19.791         20
      1          0               0        926       4617      2.663     29.670         30
      1          0               0       1000       6562      4.218     39.176         40
      1          0               0       1241      10761      6.231     48.965         50
      1          0               0       1356      15493      9.313     56.606         60
      1          0               0       1410      29183     16.614     63.665         70
      1          0               0       1371      29297     18.756     71.027         80
      1          0               0       1673      32569     25.228     79.354         90
      1          0               0       1434      31559     30.120     89.209        100
      1          0               0        664       3232      0.634      9.733         10
      1          0               0        568       3634      1.103     19.442         20
      1          0               0        898       6836      3.345     28.052         30
      1          0               0        922       8054      4.465     38.885         40
      1          0               0        876       9760      4.901     48.406         50
      1          0               0        980      11202      6.363     58.236         60
      1          0               0       1148      13066      9.200     68.596         70
      1          0               0       1148      13602      9.306     77.928         80
      1          0               0       1884      19976     21.566     87.899         90
      1          0               0       1403      21648     18.971     97.329        100
      1          0               0       1061       3120      0.939      9.923         10
      1          0               0       1137       4998      2.072     19.438         20
      1          0               0       1015       7025      2.734     29.210         30
      1          0               0       1393      12527      5.319     39.004         40
      1          0               0       1516      17452      7.941     48.087         50
      1          0               0       1593      19999     11.598     56.302         60
      1          0               0        982      15516      7.542     65.846         70
      1          0               0       1025      16486      9.730     74.953         80
      1          0               0       1355      20768     16.481     84.188         90
      1          0               0       1228      21151     18.102     93.362        100
      1          0               0       1175       3729      1.033      9.930         10
      1          0               0       1522       6230      2.794     19.796         20
      1          0               0       1130       6331      3.336     27.808         30
      1          0               0       1277      11284      5.563     36.475         40
      1          0               0       1447      21251      8.972     45.751         50
      1          0               0       1482      26332     15.218     52.588         60
      1          0               0       1125      18173      9.130     65.002         70
      1          0               0       1615      26004     19.120     73.495         80
      1          0               0       1523      29534     23.862     81.740         90
      1          0               0       1623      29067     34.661     89.606        100
      1          0               0        671       1886      0.703      9.359         10
      1          0               0        993       3835      2.312     18.379         20
      1          0               0       1452       8208      5.302     27.560         30
      1          0               0       1074       8369      5.844     36.390         40
      1          0               0        997      12283      6.130     46.725         50
      1          0               0        960       9958      8.758     55.980         60
      1          0               0       1057      11862      8.981     65.256         70
      1          0               0        999      12775      8.937     75.702         80
      1          0               0       1219      17000     16.732     83.583         90
      1          0               0       1284      17588     19.099     93.662        100
      1          0               0        302        927      0.340      9.950         10
      1          0               0       1161       5670      2.681     19.808         20
      1          0               0        815       6304      2.797     29.535         30
      1          0               0       1299      11538      6.068     39.149         40
      1          0               0       1022       7346      5.780     49.109         50
      1          0               0        370       3928      2.516     57.046         60
      1          0               0       1489      16632     14.011     66.404         70
      1          0               0       1455      19093     19.101     75.551         80
      1          0               0       1862      27093     26.037     84.626         90
      1          0               0       1255      23940     20.006     93.095        100
      1          0               0        978       3515      0.935      9.840         10
      1          0               0        410       1570      0.687     19.795         20
      1          0               0       1201       5857      3.418     29.484         30
      1          0               0       1549       9106      6.475     38.229         40
      1          0               0       1229      11124      6.892     48.011         50
      1          0               0       1253      12226      8.055     56.488         60
      1          0               0       1224      16580     11.386     63.607         70
      1          0               0       1744      15382     21.633     73.275         80
      1          0               0       1552      18198     20.541     83.803         90
      1          0               0       1409      22061     21.028     93.272        100
      1          0               0        689       1606      0.718      9.911         10
      1          0               0       1091       5298      2.199     19.654         20
      1          0               0       1140       9481      3.968     28.877         30
      1          0               0        654       5973      2.516     38.901         40
      1          0               0       1345      12888      7.505     47.955         50
      1          0               0       1429      17587      9.788     58.113         60
      1          0               0       1388      15018     10.354     67.961         70
      1          0               0       1522      21288     15.875     75.350         80
      1          0               0       1855      21331     20.414     86.898         90
      1          0               0       1190      18052     13.989     95.006        100
      1          0               0        776       3181      0.724      9.285         10
      1          0               0       1327       5448      2.578     19.412         20
      1          0               0        450       2499      1.183     28.244         30
      1          0               0       1038       7508      4.288     38.494         40
      1          0               0       1057       7239      6.646     46.837         50
      1          0               0       1625      12303     10.776     58.120         60
      1          0               0       1646      15244     14.773     68.049         70
      1          0               0       1870      17210     20.097     78.157         80
      1          0               0       1586      21255     18.420     87.617         90
      1          0               0       1735      23725     24.900     95.733        100
      1          0               0        733       2243      0.679      9.868         10
      1          0               0        532       2803      0.930     19.727         20
      1          0               0       1463       8811      4.430     29.368         30
      1          0               0       1515      15980      7.233     37.041         40
      1          0               0       1391      14217      7.612     48.418         50
      1          0               0       1402      20935     11.004     55.574         60
      1          0               0       1690      25509     16.863     64.538         70
      1          0               0       1468      27156     17.438     72.613         80
      1          0               0       1876      32189     26.925     84.018         90
      1          0               0       1107      23133     16.226     92.881        100
      1          0               0        707       2711      0.673      9.853         10
      1          0               0        693       3330      1.251     19.563         20
      1          0               0        760       3942      2.030     29.484         30
      1          0               0       1000       5897      3.515     39.260         40
      1          0               0        658       6303      3.150     47.454         50
      1          0               0        881       9451      5.319     56.137         60
      1          0               0       1080      14867      8.620     65.474         70
      1          0               0       1032      16177     10.002     73.639         80
      1          0               0       1364      14627     14.977     82.504         90
      1          0               0       1179      22502     17.332     91.665        100
      1          0               0        539       2748      0.551      9.709         10
      1          0               0       1085       5917      2.473     18.394         20
      1          0               0       1045       9267      3.814     27.930         30
      1          0               0       1168      13311      6.587     36.924         40
      1          0               0       1177      12296      8.773     47.265         50
      1          0               0       1385      16692     12.406     56.266         60
      1          0               0       1295      18832     14.034     64.287         70
      1          0               0       1212      15988     16.479     72.864         80
      1          0               0       1587      24793     23.070     82.045         90
      1          0               0       1463      24690     23.437     89.790        100
      1          0               0        746       2068      0.682      9.903         10
      1          0               0        859       4988      2.059     19.702         20
      1          0               0       1371       6524      4.436     29.292         30
      1          0               0       1291       7485      5.187     38.716         40
      1          0               0       1500      14024      9.764     47.893         50
      1          0               0       1291       9257     10.829     58.099         60
      1          0               0       1166       9352     12.326     66.008         70
      1          0               0       1356      11711     22.947     76.288         80
      1          0               0       1233      11173     23.328     83.878         90
      1          0               0       1236      12258     28.159     92.258        100
      1          0               0        601       2841      0.841      9.864         10
      1          0               0       1168       8132      3.449     19.494         20
      1          0               0       1336      10512      6.620     28.518         30
      1          0               0       1397      14777      9.671     38.981         40
      1          0               0       1129      13657      9.854     48.539         50
      1          0               0       1091      11173     11.407     58.156         60
      1          0               0       1069      14383     14.340     66.459         70
      1          0               0       1379      16587     24.948     75.837         80
      1          0               0       1510      25948     28.274     87.072         90
      1          0               0       1283      25052     26.595     95.661        100
      1          0               0        462       1888      0.712      9.719         10
      1          0               0        880       5292      2.773     19.633         20
      1          0               0        637       4575      3.172     29.044         30
      1          0               0        714       6514      4.997     37.280         40
      1          0               0       1288      12358     12.644     47.382         50
      1          0               0       1046      11709     12.376     56.238         60
      1          0               0       1422      20537     19.207     66.643         70
      1          0               0       1257      21632     16.513     75.539         80
      1          0               0       1430      24584     23.590     84.203         90
      1          0               0       1714      24702     27.596     93.229        100
      1          0               0        785       2680      0.727      9.814         10
      1          0               0        696       3387      1.203     19.591         20
      1          0               0       1220       6840      3.610     28.773         30
      1          0               0       1271       7425      4.937     39.290         40
      1          0               0       1538      14404      8.899     49.388         50
      1          0               0       1555      17579     12.483     57.792         60
      1          0               0       1577      14868     14.491     67.524         70
      1          0               0       1566      27508     20.052     73.087         80
      1          0               0       1657      26133     21.565     85.016         90
      1          0               0       1654      24151     28.019     92.119        100
      1          0               0        147        700      0.162      9.918         10
      1          0               0       1142       3788      2.143     19.879         20
      1          0               0       1074       7947      3.444     28.683         30
      1          0               0        844       7126      3.638     38.325         40
      1          0               0        550       5748      3.045     47.055         50
      1          0               0        666       7529      4.526     57.470         60
      1          0               0        949      15175      8.297     67.271         70
      1          0               0        650      11310      5.875     73.748         80
      1          0               0        970      14904     11.224     82.630         90
      1          0               0        842      13992     13.327     89.234        100
      1          0               0        864       1839      0.795      9.936         10
      1          0               0        893       4240      1.647     19.531         20
      1          0               0       1063       7940      3.362     29.199         30
      1          0               0       1503      14901      7.095     38.018         40
      1          0               0       1635      24671      9.110     47.687         50
      1          0               0       1583      21799     10.621     58.995         60
      1          0               0       1107      11129      7.979     67.746         70
      1          0               0       1484      19923     14.640     77.222         80
      1          0               0        996      16295     11.868     84.453         90
      1          0               0       1533      23518     23.801     94.691        100
      1          0               0        674       1609      0.668      9.457         10
      1          0               0       1236       5654      2.232     19.851         20
      1          0               0       1164       6250      3.406     29.547         30
      1          0               0        550       3798      1.921     38.809         40
      1          0               0       1455      13677      8.200     48.732         50
      1          0               0       1698      17918     11.126     58.186         60
      1          0               0       1666      21731     13.901     67.035         70
      1          0               0       1899      36102     19.798     74.477         80
      1          0               0       1848      35414     26.579     82.100         90
      0          0               0       2000     200000     32.020     92.685        100
      1          0               0        559       2383      0.507      9.635         10
      1          0               0        857       4165      1.602     19.212         20
      1          0               0        989       9146      2.905     28.405         30
      1          0               0       1406      11699      6.013     38.479         40
      1          0               0       1113      13245      5.983     48.456         50
      1          0               0       1334      14583      8.637     57.570         60
      1          0               0       1269      14556      9.780     67.607         70
      1          0               0       1194      18675     12.942     75.947         80
      1          0               0       1764      22959     23.544     86.031         90
      1          0               0       1610      21036     24.106     92.815        100
      1          0               0        209        733      0.188      9.809         10
      1          0               0        916       3360      1.819     19.555         20
      1          0               0       1130       5417      3.166     29.137         30
      1          0               0       1338       7903      5.316     38.965         40
      1          0               0       1732      15061      9.685     49.247         50
      1          0               0       1777      16871     15.363     58.553         60
      1          0               0       1581      14414     14.888     68.134         70
      1          0               0       1056      14498     11.969     77.183         80
      1          0               0       1894      32023     44.837     87.291         90
      1          0               0       1694      22248     39.831     96.215        100
      1          0               0        483       1708      0.722      9.770         10
      1          0               0        868       5424      2.728     19.589         20
      1          0               0       1247      11823      6.252     29.527         30
      1          0               0       1176       9248      8.188     38.693         40
      1          0               0       1011      13364      9.215     48.510         50
      1          0               0       1379      10224     16.720     58.126         60
      1          0               0       1353      16210     19.191     66.852         70
      1          0               0       1562      27904     29.778     74.504         80
      1          0               0       1573      25077     37.499     82.279         90
      1          0               0       1483      35156     39.194     92.917        100
      1          0               0        377       1680      0.524      9.849         10
