number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    1150                 192                  0.003                100                  1150.0               192.0               
10                   0                    0                    1433                 193                  0.003                100                  1433.0               193.0               
10                   0                    0                    904                  213                  0.002                100                  904.0                213.0               
10                   0                    0                    990                  167                  0.002                100                  990.0                167.0               
10                   0                    0                    706                  102                  0.002                100                  706.0                102.0               
10                   0                    0                    670                  161                  0.003                100                  670.0                161.0               
10                   0                    0                    1160                 226                  0.004                100                  1160.0               226.0               
10                   0                    0                    780                  162                  0.003                100                  780.0                162.0               
10                   0                    0                    1085                 152                  0.002                100                  1085.0               152.0               
10                   0                    0                    1199                 205                  0.003                100                  1199.0               205.0               
10                   0                    0                    1204                 209                  0.003                100                  1204.0               209.0               
10                   0                    0                    1839                 275                  0.003                100                  1611.0               275.0               
10                   0                    0                    691                  116                  0.002                100                  691.0                116.0               
10                   0                    0                    1388                 173                  0.003                100                  1388.0               173.0               
10                   0                    0                    1026                 131                  0.002                100                  1026.0               131.0               
10                   0                    0                    1067                 203                  0.003                100                  1067.0               203.0               
10                   0                    0                    628                  91                   0.002                100                  628.0                91.0                
10                   0                    0                    555                  132                  0.002                100                  555.0                132.0               
10                   0                    0                    927                  150                  0.002                100                  927.0                150.0               
10                   0                    0                    1112                 153                  0.002                100                  1112.0               153.0               
10                   0                    0                    619                  145                  0.002                100                  619.0                145.0               
10                   0                    0                    841                  144                  0.002                100                  841.0                144.0               
10                   0                    0                    990                  170                  0.003                100                  990.0                170.0               
10                   0                    0                    1423                 254                  0.003                100                  1423.0               254.0               
10                   0                    0                    689                  111                  0.002                100                  689.0                111.0               
10                   0                    0                    1197                 237                  0.007                100                  1197.0               237.0               
10                   0                    0                    1091                 204                  0.003                100                  1091.0               204.0               
10                   0                    0                    803                  133                  0.002                100                  803.0                133.0               
10                   0                    0                    1011                 154                  0.002                100                  1010.0               154.0               
10                   0                    0                    570                  113                  0.002                100                  570.0                113.0               
10                   0                    0                    857                  167                  0.003                100                  857.0                167.0               
10                   0                    0                    1311                 202                  0.003                100                  1311.0               202.0               
10                   0                    0                    495                  123                  0.002                100                  495.0                123.0               
10                   0                    0                    660                  173                  0.003                100                  660.0                173.0               
10                   0                    0                    715                  161                  0.002                100                  715.0                161.0               
10                   0                    0                    973                  215                  0.003                100                  973.0                215.0               
10                   0                    0                    1243                 281                  0.003                100                  1243.0               281.0               
