success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         30        172      0.056         10
      1          0               0         30        335      0.170         20
      1          0               0         30        496      0.355         30
      1          0               0         30        646      0.667         40
      1          0               0         37        842      1.139         50
      1          0               0         43       1110      1.880         60
      1          0               0         43       1338      2.577         70
      1          0               0         55       1666      4.277         80
      1          0               0         55       1915      5.581         90
      1          0               0         54       2100      6.655        100
      1          0               0         40        201      0.072         10
      1          0               0         46        476      0.254         20
      1          0               0         45        765      0.528         30
      1          0               0         45        970      0.927         40
      1          0               0         45       1171      1.533         50
      1          0               0         44       1384      1.961         60
      1          0               0         44       1624      2.804         70
      1          0               0         45       1879      3.752         80
      1          0               0         45       2085      4.941         90
      1          0               0         47       2319      5.991        100
      1          0               0         36        202      0.065         10
      1          0               0         54        443      0.295         20
      1          0               0         54        689      0.616         30
      1          0               0         54       1005      1.093         40
      1          0               0         54       1304      1.659         50
      1          0               0         55       1567      2.496         60
      1          0               0         53       1874      3.212         70
      1          0               0         54       2101      4.321         80
      1          0               0         54       2413      5.413         90
      1          0               0         54       2667      6.753        100
      1          0               0         25        137      0.044         10
      1          0               0         34        354      0.185         20
      1          0               0         45        608      0.509         30
      1          0               0         45        874      0.875         40
      1          0               0         49       1090      1.501         50
      1          0               0         49       1366      2.112         60
      1          0               0         49       1659      2.934         70
      1          0               0         50       1917      4.046         80
      1          0               0         49       2194      4.932         90
      1          0               0         51       2532      6.339        100
      1          0               0         40        228      0.071         10
      1          0               0         40        449      0.221         20
      1          0               0         40        650      0.464         30
      1          0               0         46        907      0.922         40
      1          0               0         46       1227      1.420         50
      1          0               0         51       1509      2.249         60
      1          0               0         50       1732      3.142         70
      1          0               0         50       2019      3.999         80
      1          0               0         50       2263      5.233         90
      1          0               0         51       2603      6.444        100
      1          0               0         47        279      0.084         10
      1          0               0         47        479      0.255         20
      1          0               0         47        652      0.529         30
      1          0               0         47        878      0.973         40
      1          0               0         47       1147      1.414         50
      1          0               0         47       1373      2.055         60
      1          0               0         47       1622      2.810         70
      1          0               0         47       1847      3.764         80
      1          0               0         46       2115      4.687         90
      1          0               0         46       2429      5.833        100
      1          0               0         53        298      0.092         10
      1          0               0         53        506      0.314         20
      1          0               0         53        754      0.632         30
      1          0               0         53        955      1.017         40
      1          0               0         53       1207      1.601         50
      1          0               0         53       1489      2.305         60
      1          0               0         53       1660      3.199         70
      1          0               0         54       1956      4.201         80
      1          0               0         54       2234      5.436         90
      1          0               0         52       2518      6.628        100
      1          0               0         31        166      0.054         10
      1          0               0         40        326      0.231         20
      1          0               0         41        579      0.521         30
      1          0               0         41        833      0.801         40
      1          0               0         41       1053      1.242         50
      1          0               0         41       1270      1.785         60
      1          0               0         41       1509      2.526         70
      1          0               0         41       1759      3.269         80
      1          0               0         54       2013      5.382         90
      1          0               0         55       2272      6.983        100
      1          0               0         47        238      0.121         10
      1          0               0         47        465      0.256         20
      1          0               0         47        712      0.537         30
      1          0               0         46        920      0.927         40
      1          0               0         46       1154      1.408         50
      1          0               0         47       1407      2.118         60
      1          0               0         46       1710      2.960         70
      1          0               0         46       1993      3.703         80
      1          0               0         48       2281      4.926         90
      1          0               0         48       2485      6.181        100
      1          0               0         37        243      0.068         10
      1          0               0         41        467      0.227         20
      1          0               0         52        765      0.590         30
      1          0               0         51        985      0.999         40
      1          0               0         50       1234      1.538         50
      1          0               0         50       1522      2.205         60
      1          0               0         50       1768      3.130         70
      1          0               0         51       2073      4.223         80
      1          0               0         51       2364      5.283         90
      1          0               0         51       2627      6.480        100
