success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         30        172      0.040         10
      1          0               0         30        336      0.053         20
      1          0               0         30        496      0.082         30
      1          0               0         41        202      0.037         10
      1          0               0         46        477      0.075         20
      1          0               0         45        775      0.117         30
      1          0               0         37        203      0.033         10
      1          0               0         54        449      0.092         20
      1          0               0         54        693      0.144         30
      1          0               0         25        137      0.022         10
      1          0               0         35        354      0.059         20
      1          0               0         45        609      0.114         30
      1          0               0         40        228      0.034         10
      1          0               0         40        452      0.070         20
      1          0               0         40        652      0.106         30
      1          0               0         47        279      0.042         10
      1          0               0         47        478      0.082         20
      1          0               0         47        654      0.123         30
      1          0               0         53        297      0.046         10
      1          0               0         53        505      0.088         20
      1          0               0         53        750      0.137         30
      1          0               0         31        164      0.028         10
      1          0               0         39        324      0.063         20
      1          0               0         41        576      0.106         30
      1          0               0         46        238      0.039         10
      1          0               0         46        464      0.080         20
      1          0               0         46        711      0.131         30
      1          0               0         38        241      0.033         10
      1          0               0         41        464      0.075         20
      1          0               0         51        768      0.132         30
