success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0         76        259      0.094           9.329                 1.08         10
      1          0               0         82        502      0.304          15.537                 1.29         20
      1          0               0         87        519      0.735          22.000                 1.38         30
      1          0               0         33        137      0.043           8.788                 1.15         10
      1          0               0         43        247      0.148          16.605                 1.21         20
      1          0               0         99        681      0.698          23.010                 1.32         30
      1          0               0         71        295      0.091           8.761                 1.15         10
      1          0               0         71        431      0.268          15.465                 1.31         20
      1          0               0         74        703      0.561          21.351                 1.41         30
      1          0               0         50        173      0.063           9.300                 1.09         10
      1          0               0         55        392      0.187          17.145                 1.17         20
      1          0               0         87        575      0.547          26.184                 1.15         30
      1          0               0         58        252      0.075           8.552                 1.18         10
      1          0               0         69        557      0.276          14.899                 1.35         20
      1          0               0         60        626      0.638          17.217                 1.77         30
      1          0               0         33        131      0.041           9.333                 1.08         10
      1          0               0         45        305      0.155          17.022                 1.18         20
      1          0               0         81        479      0.536          24.235                 1.24         30
      1          0               0         80        273      0.098           9.400                 1.07         10
      1          0               0         60        242      0.212          16.567                 1.21         20
      1          0               0         69        349      0.481          23.174                  1.3         30
      1          0               0         80        249      0.099           9.287                 1.09         10
      1          0               0         63        237      0.199          18.206                  1.1         20
      1          0               0         57        421      0.400          23.702                 1.27         30
      1          0               0         47        234      0.064           8.745                 1.17         10
      1          0               0        108        549      0.334          18.565                 1.09         20
      1          0               0         73        557      0.506          23.836                 1.26         30
      1          0               0         71        263      0.093           9.014                 1.13         10
      1          0               0         65        410      0.262          16.692                 1.21         20
      1          0               0         39        327      0.299          24.000                 1.27         30
