success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         76        259      0.100         10
      1          0               0         82        502      0.330         20
      1          0               0         87        519      0.718         30
      1          0               0         33        137      0.047         10
      1          0               0         43        247      0.155         20
      1          0               0         99        681      0.787         30
      1          0               0         71        295      0.098         10
      1          0               0         71        431      0.291         20
      1          0               0         74        703      0.627         30
      1          0               0         50        173      0.065         10
      1          0               0         55        392      0.203         20
      1          0               0         87        575      0.621         30
      1          0               0         58        252      0.081         10
      1          0               0         69        557      0.285         20
      1          0               0         60        626      0.640         30
      1          0               0         33        131      0.041         10
      1          0               0         45        305      0.157         20
      1          0               0         81        479      0.569         30
      1          0               0         80        273      0.101         10
      1          0               0         60        242      0.218         20
      1          0               0         69        349      0.571         30
      1          0               0         80        249      0.123         10
      1          0               0         63        237      0.211         20
      1          0               0         57        421      0.411         30
      1          0               0         47        234      0.071         10
      1          0               0        108        549      0.369         20
      1          0               0         73        557      0.526         30
      1          0               0         71        263      0.093         10
      1          0               0         65        410      0.255         20
      1          0               0         39        327      0.268         30
