success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0          9         16      0.003          2
      1          0               0         22         32      0.006          2
      1          0               0         31         43      0.008          2
      1          0               0         19         26      0.006          2
      1          0               0         40         49      0.011          2
      1          0               0         42         62      0.016          3
      1          0               0         24         52      0.009          3
      1          0               0         55         95      0.021          3
      1          0               0         31         43      0.011          3
      1          0               0         60         78      0.022          3
      1          0               0         42         72      0.019          4
      1          0               0         24         51      0.011          4
      1          0               0         55        108      0.028          4
      1          0               0         55        130      0.026          4
      1          0               0         30         67      0.013          4
      1          0               0         25         73      0.025          5
      1          0               0         38         94      0.023          5
      1          0               0         34         91      0.020          5
      1          0               0         29         69      0.015          5
      1          0               0         50        100      0.026          5
