number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    96                   18                   0.0                  100                  96.0                 18.0                
10                   0                    0                    104                  21                   0.0                  100                  102.0                21.0                
10                   0                    0                    138                  23                   0.0                  100                  137.0                22.0                
10                   0                    0                    92                   17                   0.0                  100                  91.0                 17.0                
10                   0                    0                    148                  19                   0.0                  100                  148.0                19.0                
10                   0                    0                    110                  19                   0.0                  100                  110.0                19.0                
10                   0                    0                    105                  17                   0.0                  100                  105.0                17.0                
10                   0                    0                    99                   15                   0.0                  100                  99.0                 15.0                
10                   0                    0                    132                  18                   0.0                  100                  132.0                18.0                
10                   0                    0                    121                  23                   0.0                  100                  121.0                23.0                
10                   0                    0                    93                   17                   0.0                  100                  93.0                 17.0                
10                   0                    0                    137                  19                   0.0                  100                  136.0                19.0                
10                   0                    0                    82                   13                   0.0                  100                  82.0                 13.0                
10                   0                    0                    112                  15                   0.0                  100                  112.0                15.0                
10                   0                    0                    119                  20                   0.0                  100                  119.0                20.0                
10                   0                    0                    93                   15                   0.0                  100                  93.0                 15.0                
10                   0                    0                    81                   13                   0.0                  100                  81.0                 13.0                
10                   0                    0                    119                  20                   0.0                  100                  119.0                20.0                
10                   0                    0                    93                   15                   0.0                  100                  93.0                 15.0                
10                   0                    0                    125                  21                   0.0                  100                  124.0                20.0                
10                   0                    0                    158                  27                   0.0                  100                  154.0                27.0                
10                   0                    0                    100                  14                   0.0                  100                  100.0                14.0                
10                   0                    0                    73                   16                   0.0                  100                  73.0                 16.0                
10                   0                    0                    109                  17                   0.0                  100                  109.0                17.0                
10                   0                    0                    90                   16                   0.0                  100                  90.0                 16.0                
10                   0                    0                    137                  19                   0.0                  100                  137.0                19.0                
10                   0                    0                    76                   14                   0.0                  100                  76.0                 14.0                
10                   0                    0                    101                  15                   0.0                  100                  101.0                15.0                
10                   0                    0                    122                  21                   0.0                  100                  122.0                21.0                
10                   0                    0                    153                  23                   0.0                  100                  152.0                23.0                
10                   0                    0                    165                  23                   0.0                  100                  159.0                23.0                
10                   0                    0                    93                   16                   0.0                  100                  93.0                 16.0                
10                   0                    0                    94                   14                   0.0                  100                  93.0                 14.0                
10                   0                    0                    107                  19                   0.0                  100                  107.0                19.0                
10                   0                    0                    125                  17                   0.0                  100                  125.0                17.0                
10                   0                    0                    85                   15                   0.0                  100                  85.0                 15.0                
10                   0                    0                    118                  20                   0.0                  100                  114.0                20.0                
10                   0                    0                    126                  17                   0.0                  100                  122.0                17.0                
10                   0                    0                    97                   13                   0.0                  100                  97.0                 13.0                
10                   0                    0                    69                   17                   0.0                  100                  69.0                 17.0                
10                   0                    0                    96                   16                   0.0                  100                  96.0                 16.0                
10                   0                    0                    111                  20                   0.0                  100                  111.0                20.0                
10                   0                    0                    121                  19                   0.0                  100                  113.0                19.0                
10                   0                    0                    126                  17                   0.0                  100                  126.0                17.0                
10                   0                    0                    100                  20                   0.0                  100                  90.0                 18.0                
10                   0                    0                    94                   18                   0.0                  100                  94.0                 18.0                
10                   0                    0                    102                  17                   0.0                  100                  102.0                17.0                
10                   0                    0                    135                  24                   0.0                  100                  135.0                24.0                
