success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         76        298      0.082         10
      1          0               0         86        613      0.161         10
      1          0               0         67        420      0.071         10
      1          0               0         85        428      0.086         10
      1          0               0         81        367      0.087         10
      1          0               0         84        547      0.151         10
      1          0               0         71        410      0.113         10
      1          0               0         92        530      0.103         10
      1          0               0         84        549      0.095         10
      1          0               0         85        353      0.089         10
      1          0               0         89        475      0.092         10
      1          0               0         74        419      0.077         10
      1          0               0         82        568      0.099         10
      1          0               0         53        251      0.056         10
      1          0               0         90        399      0.159         10
      1          0               0         91        466      0.096         10
      1          0               0         86        389      0.152         10
      1          0               0         81        512      0.088         10
      1          0               0         98        430      0.138         10
      1          0               0         81        342      0.082         10
      1          0               0         82        339      0.142         10
      1          0               0         88        444      0.158         10
      1          0               0         80        420      0.089         10
      1          0               0         71        450      0.118         10
      1          0               0         77        489      0.085         10
      1          0               0         83        496      0.095         10
      1          0               0         97        546      0.106         10
      1          0               0         79        487      0.092         10
      1          0               0         74        426      0.140         10
      1          0               0         89        566      0.161         10
      1          0               0         81        322      0.079         10
      1          0               0         67        327      0.067         10
      1          0               0         88        361      0.089         10
      1          0               0         82        402      0.087         10
      1          0               0         76        452      0.082         10
      1          0               0         91        441      0.094         10
      1          0               0         77        537      0.084         10
      1          0               0         93        347      0.100         10
      1          0               0         98        449      0.119         10
      1          0               0         72        349      0.071         10
      1          0               0         65        436      0.071         10
      1          0               0         87        561      0.093         10
      1          0               0         62        482      0.069         10
      1          0               0         87        417      0.092         10
      1          0               0         99        423      0.105         10
      1          0               0         93        485      0.096         10
      1          0               0         89        553      0.093         10
      1          0               0         81        530      0.087         10
      1          0               0         85        689      0.099         10
      1          0               0         90        504      0.089         10
      1          0               0         90        517      0.101         10
      1          0               0         80        488      0.088         10
      1          0               0         97        459      0.105         10
      1          0               0         85        358      0.087         10
      1          0               0         69        395      0.075         10
      1          0               0         80        469      0.080         10
      1          0               0         80        559      0.084         10
