success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         66        175      0.042          5
      1          0               0        134        400      0.083          5
      1          0               0         40        125      0.026          5
      1          0               0        162        384      0.103          5
      1          0               0         99        213      0.068          5
      1          0               0        114        311      0.072          5
      1          0               0         72        147      0.044          5
      1          0               0         79        230      0.053          5
      1          0               0        146        315      0.089          5
      1          0               0         34         88      0.021          5
      1          0               0         80        192      0.049          5
      1          0               0        108        429      0.079          5
      1          0               0        115        366      0.071          5
      1          0               0         41        112      0.026          5
      1          0               0        134        326      0.088          5
      1          0               0         74        164      0.049          5
      1          0               0         85        199      0.052          5
      1          0               0         55        148      0.039          5
      1          0               0         62        192      0.038          5
      1          0               0        145        291      0.088          5
      1          0               0        159        400      0.105          5
      1          0               0        113        335      0.070          5
      1          0               0         88        238      0.057          5
      1          0               0        114        409      0.073          5
      1          0               0         57        137      0.036          5
      1          0               0         87        214      0.053          5
      1          0               0        145        237      0.094          5
      1          0               0         75        228      0.047          5
      1          0               0        101        195      0.061          5
      1          0               0         66        116      0.041          5
      1          0               0        112        226      0.071          5
      1          0               0         67        120      0.041          5
      1          0               0         82        178      0.050          5
      1          0               0         20         53      0.022          5
      1          0               0         98        166      0.058          5
      1          0               0         87        231      0.053          5
      1          0               0         89        303      0.058          5
      1          0               0        167        317      0.100          5
      1          0               0        145        197      0.086          5
      1          0               0        101        185      0.060          5
      1          0               0         96        233      0.058          5
      1          0               0         85        224      0.052          5
      1          0               0         25         87      0.015          5
      1          0               0        134        326      0.087          5
      1          0               0        148        283      0.088          5
      1          0               0         50        148      0.031          5
      1          0               0        128        334      0.094          5
      1          0               0         63        167      0.042          5
      1          0               0        125        239      0.077          5
      1          0               0        128        380      0.077          5
      1          0               0        173        436      0.128          6
      1          0               0        139        281      0.100          6
      1          0               0         39        136      0.030          6
      1          0               0        162        465      0.118          6
      1          0               0         62        171      0.051          6
      1          0               0        150        335      0.109          6
      1          0               0         84        290      0.065          6
      1          0               0         76        256      0.060          6
      1          0               0        145        277      0.137          6
      1          0               0         35         97      0.028          6
      1          0               0        121        258      0.088          6
      1          0               0         60        197      0.049          6
