success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         77        121      0.022          2
      1          0               0         55        105      0.015          2
      1          0               0         52         97      0.014          2
      1          0               0         61         66      0.017          2
      1          0               0         90        148      0.032          2
      1          0               0        122        239      0.047          3
      1          0               0         55        124      0.020          3
      1          0               0         97        164      0.036          3
      1          0               0        108        173      0.040          3
      1          0               0        108        181      0.041          3
      1          0               0         76        185      0.035          4
      1          0               0        117        278      0.056          4
      1          0               0         48        105      0.021          4
      1          0               0        160        294      0.072          4
      1          0               0        103        209      0.049          4
      1          0               0         73        189      0.040          5
      1          0               0        137        331      0.077          5
      1          0               0         49        140      0.029          5
      1          0               0        156        324      0.088          5
      1          0               0        102        218      0.065          5
