number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    178                  54                   0.0                  100                  178.0                54.0                
10                   0                    0                    238                  42                   0.0                  100                  197.0                42.0                
10                   0                    0                    190                  31                   0.0                  100                  188.0                31.0                
10                   0                    0                    247                  40                   0.0                  100                  246.0                40.0                
10                   0                    0                    101                  26                   0.0                  100                  101.0                26.0                
10                   0                    0                    184                  26                   0.0                  100                  184.0                26.0                
10                   0                    0                    174                  42                   0.0                  100                  169.0                42.0                
10                   0                    0                    292                  66                   0.0                  100                  291.0                65.0                
10                   0                    0                    344                  61                   0.0                  100                  342.0                60.0                
10                   0                    0                    149                  33                   0.0                  100                  149.0                33.0                
10                   0                    0                    315                  61                   0.0                  100                  315.0                61.0                
10                   0                    0                    265                  43                   0.0                  100                  251.0                43.0                
10                   0                    0                    237                  60                   0.0                  100                  194.0                60.0                
10                   0                    0                    162                  35                   0.0                  100                  162.0                35.0                
10                   0                    0                    217                  58                   0.0                  100                  217.0                58.0                
10                   0                    0                    166                  50                   0.0                  100                  166.0                50.0                
10                   0                    0                    225                  39                   0.0                  100                  225.0                39.0                
10                   0                    0                    254                  44                   0.0                  100                  243.0                44.0                
10                   0                    0                    285                  50                   0.0                  100                  285.0                50.0                
10                   0                    0                    198                  52                   0.0                  100                  198.0                52.0                
10                   0                    0                    235                  60                   0.0                  100                  235.0                60.0                
10                   0                    0                    189                  39                   0.0                  100                  188.0                39.0                
10                   0                    0                    177                  23                   0.0                  100                  177.0                23.0                
10                   0                    0                    236                  46                   0.0                  100                  234.0                46.0                
10                   0                    0                    119                  43                   0.0                  100                  119.0                43.0                
10                   0                    0                    119                  28                   0.0                  100                  119.0                28.0                
10                   0                    0                    187                  40                   0.0                  100                  187.0                40.0                
10                   0                    0                    129                  50                   0.0                  100                  129.0                50.0                
10                   0                    0                    163                  34                   0.0                  100                  163.0                34.0                
10                   0                    0                    128                  31                   0.0                  100                  121.0                31.0                
10                   0                    0                    170                  31                   0.0                  100                  170.0                31.0                
10                   0                    0                    150                  41                   0.0                  100                  150.0                41.0                
10                   0                    0                    235                  49                   0.0                  100                  234.0                49.0                
10                   0                    0                    137                  33                   0.0                  100                  137.0                33.0                
10                   0                    0                    160                  45                   0.0                  100                  160.0                45.0                
10                   0                    0                    360                  56                   0.0                  100                  360.0                56.0                
10                   0                    0                    196                  48                   0.0                  100                  196.0                48.0                
10                   0                    0                    148                  32                   0.0                  100                  136.0                32.0                
10                   0                    0                    284                  50                   0.0                  100                  283.0                50.0                
10                   0                    0                    259                  69                   0.0                  100                  250.0                69.0                
10                   0                    0                    124                  25                   0.0                  100                  124.0                25.0                
10                   0                    0                    218                  49                   0.0                  100                  213.0                49.0                
10                   0                    0                    178                  37                   0.0                  100                  178.0                37.0                
10                   0                    0                    388                  58                   0.0                  100                  388.0                58.0                
10                   0                    0                    202                  38                   0.0                  100                  199.0                38.0                
10                   0                    0                    156                  28                   0.0                  100                  148.0                28.0                
10                   0                    0                    286                  71                   0.0                  100                  255.0                71.0                
10                   0                    0                    278                  48                   0.0                  100                  220.0                48.0                
10                   0                    0                    391                  75                   0.0                  100                  382.0                75.0                
10                   0                    0                    264                  40                   0.0                  100                  263.0                40.0                
10                   0                    0                    319                  70                   0.0                  100                  316.0                70.0                
10                   0                    0                    230                  35                   0.0                  100                  230.0                35.0                
10                   0                    0                    172                  28                   0.0                  100                  171.0                28.0                
