success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      0          0               2          1         10      0.001           8.000                 1.25         10
      0          0               1          1         20      0.001          17.000                 1.18         20
      0          2               4          1         30      0.002          21.000                 1.43         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          0               2          1         20      0.001          18.000                 1.11         20
      0          1               3          1         30      0.002          23.000                  1.3         30
      0          0               2          1         10      0.001           9.000                 1.11         10
      0          1               1          1         20      0.001          16.000                 1.25         20
      0          0               1          1         30      0.002          25.000                  1.2         30
      0          0               2          1         10      0.001           9.000                 1.11         10
      0          0               5          1         20      0.001          16.000                 1.25         20
      0          0               4          1         30      0.002          22.000                 1.36         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          0               3          1         20      0.001          15.000                 1.33         20
      0          0               5          1         30      0.002          18.000                 1.67         30
      0          0               2          2         20      0.001           9.000                 1.11         10
      0          0               1          1         20      0.001          19.000                 1.05         20
      0          0               2          1         30      0.002          23.000                  1.3         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          0               5          1         20      0.001          19.000                 1.05         20
      0          1               5          1         30      0.002          24.000                 1.25         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               3          1         20      0.001          17.000                 1.18         20
      0          0               2          1         30      0.002          22.000                 1.36         30
      0          0               1          1         10      0.001           8.000                 1.25         10
      0          1               5          1         20      0.001          16.000                 1.25         20
      0          0               3          1         30      0.002          20.000                  1.5         30
      0          0               1          2         20      0.002           8.000                 1.25         10
      0          1               4          1         20      0.001          13.000                 1.54         20
      0          0               7          1         30      0.002          17.000                 1.76         30
      0          0               2          1         10      0.001           9.000                 1.11         10
      0          0               5          1         20      0.001          16.000                 1.25         20
      0          0               4          1         30      0.002          24.000                 1.25         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          0               3          1         20      0.001          19.000                 1.05         20
      0          0               4          1         30      0.002          25.000                  1.2         30
      0          0               2          2         20      0.001           9.500                 1.06         10
      0          0               3          1         20      0.001          17.000                 1.18         20
      0          0               1          1         30      0.002          22.000                 1.36         30
      0          0               3          1         10      0.001           9.000                 1.11         10
      0          0               3          1         20      0.001          16.000                 1.25         20
      0          0               5          1         30      0.002          21.000                 1.43         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          1               2          1         20      0.001          16.000                 1.25         20
      0          1               1          1         30      0.002          22.000                 1.36         30
      0          0               1          2         20      0.001           9.500                 1.06         10
      0          0               1          1         20      0.001          18.000                 1.11         20
      0          0               2          1         30      0.002          24.000                 1.25         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          0               3          1         20      0.001          15.000                 1.33         20
      0          0               3          1         30      0.002          20.000                  1.5         30
      0          0               1          2         20      0.001           8.500                 1.18         10
      0          1               1          1         20      0.001          14.000                 1.43         20
      0          1               4          1         30      0.002          21.000                 1.43         30
      0          0               2          1         10      0.001           9.000                 1.11         10
      0          0               3          1         20      0.001          15.000                 1.33         20
      0          1               3          1         30      0.002          23.000                  1.3         30
      0          0               1          2         20      0.002           9.000                 1.11         10
      0          0               2          1         20      0.001          18.000                 1.11         20
      0          0               7          1         30      0.002          23.000                  1.3         30
      0          0               1          3         30      0.002          10.000                  1.0         10
      0          0               1          1         20      0.001          18.000                 1.11         20
      0          0               7          1         30      0.002          24.000                 1.25         30
      0          0               2          1         10      0.001           6.000                 1.67         10
      0          0               5          1         20      0.001          14.000                 1.43         20
      0          0               5          1         30      0.002          17.000                 1.76         30
      0          1               1          1         10      0.001           9.000                 1.11         10
      0          0               2          1         20      0.001          19.000                 1.05         20
      0          0               6          1         30      0.002          23.000                  1.3         30
      0          0               3          2         20      0.002           9.500                 1.06         10
      0          0               4          1         20      0.001          16.000                 1.25         20
      0          0               2          1         30      0.002          22.000                 1.36         30
      0          0               1          1         10      0.001           8.000                 1.25         10
      0          1               2          1         20      0.001          12.000                 1.67         20
      0          3               3          1         30      0.002          14.000                 2.14         30
      0          0               2          1         10      0.001           9.000                 1.11         10
      0          0               2          1         20      0.001          15.000                 1.33         20
      0          2               2          1         30      0.002          19.000                 1.58         30
      0          0               4          1         10      0.001           9.000                 1.11         10
      0          0               4          1         20      0.001          17.000                 1.18         20
      0          0               4          1         30      0.002          25.000                  1.2         30
      0          0               1          2         20      0.001          10.000                  1.0         10
      0          0               4          1         20      0.001          16.000                 1.25         20
      0          0               4          1         30      0.002          22.000                 1.36         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          0               6          1         20      0.001          16.000                 1.25         20
      0          1               1          1         30      0.002          22.000                 1.36         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          0               1          1         20      0.001          19.000                 1.05         20
      0          1               1          1         30      0.002          24.000                 1.25         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               1          1         20      0.001          15.000                 1.33         20
      0          1               3          1         30      0.002          19.000                 1.58         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          1               3          1         20      0.002          15.000                 1.33         20
      0          0               3          1         30      0.002          19.000                 1.58         30
      0          0               1          2         20      0.001           9.000                 1.11         10
      0          0               1          1         20      0.001          16.000                 1.25         20
      0          0               5          1         30      0.002          19.000                 1.58         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               5          1         20      0.001          16.000                 1.25         20
      0          0               2          1         30      0.002          23.000                  1.3         30
      0          0               2          3         30      0.002          10.000                  1.0         10
      0          0               4          1         20      0.001          18.000                 1.11         20
      0          0               5          1         30      0.002          19.000                 1.58         30
      0          0               3          1         10      0.001           9.000                 1.11         10
      0          0               3          1         20      0.001          15.000                 1.33         20
      0          1               2          1         30      0.002          17.000                 1.76         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               3          2         40      0.003          19.000                 1.05         20
      0          0               5          1         30      0.002          27.000                 1.11         30
      0          1               2          1         10      0.001           9.000                 1.11         10
      0          0               2          1         20      0.001          17.000                 1.18         20
      0          0               5          1         30      0.002          24.000                 1.25         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               2          1         20      0.001          18.000                 1.11         20
      0          0               3          1         30      0.002          23.000                  1.3         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          0               2          1         20      0.001          18.000                 1.11         20
      0          0               2          1         30      0.002          23.000                  1.3         30
      0          0               2          1         10      0.001           8.000                 1.25         10
      0          0               1          2         40      0.003          15.000                 1.33         20
      0          1               2          1         30      0.002          19.000                 1.58         30
      0          0               2          1         10      0.001           8.000                 1.25         10
      0          0               5          1         20      0.001          16.000                 1.25         20
      0          0               3          1         30      0.002          21.000                 1.43         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          0               6          1         20      0.001          20.000                  1.0         20
      0          0               6          1         30      0.002          24.000                 1.25         30
      0          0               1          1         10      0.001          10.000                  1.0         10
      0          1               2          1         20      0.001          14.000                 1.43         20
      0          1               1          2         60      0.004          19.000                 1.58         30
      0          0               1          1         10      0.001           9.000                 1.11         10
      0          0               2          1         20      0.001          16.000                 1.25         20
      0          1               3          1         30      0.002          22.000                 1.36         30
      0          0               2          1         10      0.001          10.000                  1.0         10
      0          1               1          1         20      0.001          14.000                 1.43         20
      0          0               4          1         30      0.002          18.000                 1.67         30
      0          0               4          1         10      0.001           8.000                 1.25         10
      0          2               4          1         20      0.001          15.000                 1.33         20
      0          3               4          1         30      0.002          19.000                 1.58         30
      0          0               3          1         10      0.001          10.000                  1.0         10
