success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      0          1               0          1         10      0.001           8.000                 1.25         10
      0          1               0          8        160      0.011          16.250                 1.23         20
      0          1               0          3         90      0.008          19.333                 1.56         30
      0          1               0         21        210      0.015           9.143                  1.1         10
      0          1               0          5        100      0.007          16.800                  1.2         20
      0          1               0          2         60      0.004          22.000                 1.37         30
      0          1               0         25        250      0.018           8.720                 1.15         10
      0          1               0          4         80      0.005          16.000                 1.26         20
      0          1               0          1         30      0.002          25.000                  1.2         30
      0          1               0          5         50      0.004           9.000                 1.11         10
      0          1               0          3         60      0.004          17.000                 1.18         20
      0          1               0          3         90      0.006          21.667                 1.39         30
      0          1               0         13        130      0.009           9.615                 1.04         10
      0          1               0          2         40      0.003          15.000                 1.33         20
      0          1               0          3         90      0.006          18.667                 1.61         30
      0          1               0         10        100      0.007           8.500                 1.18         10
      0          1               0          6        120      0.008          17.167                 1.17         20
      0          1               0          2         60      0.004          21.500                  1.4         30
      0          1               0         42        420      0.029           9.238                 1.09         10
      0          1               0         23        460      0.030          15.957                 1.26         20
      0          1               0          3         90      0.006          21.000                 1.44         30
      0          1               0          1         10      0.001           9.000                 1.11         10
      0          1               0          2         40      0.002          16.500                 1.21         20
      0          2               0          1         30      0.002          22.000                 1.36         30
      0          1               0         10        100      0.007           8.300                 1.21         10
      0          1               0          3         60      0.004          15.000                 1.34         20
      0          1               0          4        120      0.008          20.250                 1.49         30
      0          1               0          6         60      0.005           8.333                  1.2         10
      0          1               0          2         40      0.003          14.000                 1.44         20
      0          3               0          1         30      0.002          17.000                 1.76         30
      0          2               0         57        570      0.038           9.667                 1.04         10
      0          2               0          8        160      0.011          14.375                 1.39         20
      0          1               0          1         30      0.002          24.000                 1.25         30
      0          1               0         52        520      0.035           9.750                 1.03         10
      0          1               0         41        820      0.052          17.341                 1.16         20
      0          1               0          1         30      0.002          25.000                  1.2         30
      0          1               0         17        170      0.012           8.941                 1.12         10
      0          1               0         10        200      0.012          17.700                 1.13         20
      0          1               0          1         30      0.002          22.000                 1.36         30
      0          1               0         15        150      0.010           9.333                 1.08         10
      0          1               0         10        200      0.013          16.200                 1.24         20
      0          1               0          4        120      0.008          23.500                 1.28         30
      0          1               0         20        200      0.013           9.200                 1.09         10
      0          1               0          1         20      0.001          16.000                 1.25         20
      0          1               0          7        210      0.014          21.571                  1.4         30
      0          1               0         23        230      0.016           9.826                 1.02         10
      0          1               0          3         60      0.004          17.333                 1.15         20
      0          1               0          1         30      0.002          24.000                 1.25         30
      0          1               0          3         30      0.002           9.667                 1.04         10
      0          1               0          2         40      0.003          15.500                 1.29         20
      0          1               0          4        120      0.008          20.750                 1.45         30
      0          1               0         11        110      0.007           8.455                  1.2         10
      0          1               0          2         40      0.003          13.500                 1.48         20
      0          1               0          1         30      0.002          21.000                 1.43         30
      0          1               0          8         80      0.006           7.750                  1.3         10
      0          1               0          8        160      0.010          15.375                 1.31         20
      0          1               0          1         30      0.002          23.000                  1.3         30
      0          1               0         27        270      0.018           9.259                 1.09         10
      0          1               0          9        180      0.012          17.222                 1.16         20
      0          1               0          2         60      0.004          22.000                 1.37         30
      0          1               0         35        350      0.023           9.486                 1.06         10
      0          1               0         20        400      0.025          18.250                  1.1         20
      0          1               0          4        120      0.008          24.000                 1.25         30
      0          1               0          5         50      0.004           5.600                  1.8         10
      0          1               0          1         20      0.001          14.000                 1.43         20
      0          1               0          2         60      0.004          19.500                 1.56         30
      0          1               0          1         10      0.001           9.000                 1.11         10
      0          1               0          6        120      0.008          18.333                 1.09         20
      0          2               0          4        120      0.007          23.250                 1.29         30
      0          1               0        114       1140      0.076           8.947                 1.13         10
      0          1               0          7        140      0.009          16.714                  1.2         20
      0          1               0          2         60      0.004          21.500                  1.4         30
      0          1               0         19        190      0.013           8.789                 1.14         10
      0          1               0          3         60      0.004          12.333                 1.62         20
      0          1               0          2         60      0.004          15.000                 2.01         30
      0          1               0         35        350      0.024           8.629                 1.17         10
      0          1               0          1         20      0.001          15.000                 1.33         20
      0          2               0          1         30      0.002          19.000                 1.58         30
      0          1               0         50        500      0.034           9.340                 1.08         10
      0          1               0          3         60      0.004          17.000                 1.18         20
      0          1               0          1         30      0.002          25.000                  1.2         30
      0          1               0         36        360      0.024           9.417                 1.07         10
      0          1               0          2         40      0.003          16.000                 1.25         20
      0          1               0          4        120      0.008          22.000                 1.37         30
      0          1               0          9         90      0.006           8.778                 1.15         10
      0          1               0          5        100      0.007          15.800                 1.27         20
      0          1               0          5        150      0.010          21.200                 1.42         30
      0          1               0         73        730      0.049           9.562                 1.05         10
      0          1               0          3         60      0.004          18.333                 1.09         20
      0          1               0          1         30      0.002          24.000                 1.25         30
      0          1               0          7         70      0.005           8.286                 1.22         10
      0          4               0          2         40      0.002          15.000                 1.33         20
      0          1               0          1         30      0.002          19.000                 1.58         30
      0          1               0         26        260      0.018           9.308                 1.08         10
      0          1               0          2         40      0.003          15.000                 1.33         20
      0          2               0          5        150      0.027          20.600                 1.46         30
      0          1               0         27        270      0.018           9.000                 1.12         10
      0          1               0          9        180      0.012          17.111                 1.17         20
      0          1               0          2         60      0.004          19.000                 1.58         30
      0          1               0        111       1110      0.075           9.586                 1.05         10
