success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         33        118      0.028          5
      1          0               0         46        132      0.023          5
      1          0               0         35        128      0.017          5
      1          0               0         27         75      0.014          5
      1          0               0         47        133      0.023          5
      1          0               0         32        104      0.016          5
      1          0               0         40        132      0.019          5
      1          0               0         31        121      0.015          5
      1          0               0         28        113      0.014          5
      1          0               0         33        133      0.018          5
      1          0               0         45        143      0.023          5
      1          0               0         35        105      0.017          5
      1          0               0         31        109      0.016          5
      1          0               0         26         94      0.013          5
      1          0               0         31         90      0.016          5
      1          0               0         35        106      0.017          5
      1          0               0         23        104      0.012          5
      1          0               0         37        121      0.018          5
      1          0               0         45        155      0.022          5
      1          0               0         33         81      0.016          5
      1          0               0         42        122      0.021          5
      1          0               0         31        107      0.016          5
      1          0               0         32         87      0.016          5
      1          0               0         32        124      0.016          5
      1          0               0         34        124      0.017          5
      1          0               0         59        166      0.039          5
      1          0               0         23         86      0.011          5
      1          0               0         24         93      0.012          5
      1          0               0         47        117      0.023          5
      1          0               0         31         99      0.016          5
      1          0               0         29         77      0.015          5
      1          0               0         37        120      0.019          5
      1          0               0         41        116      0.020          5
      1          0               0         35        139      0.017          5
      1          0               0         30        122      0.015          5
      1          0               0         24         78      0.012          5
      1          0               0         27         94      0.013          5
      1          0               0         40        122      0.020          5
      1          0               0         34         87      0.016          5
      1          0               0         33        137      0.017          5
      1          0               0         33        151      0.018          5
      1          0               0         38        120      0.020          5
      1          0               0         34        107      0.017          5
      1          0               0         33        118      0.017          5
      1          0               0         42        140      0.021          5
      1          0               0         37        107      0.018          5
      1          0               0         37        126      0.018          5
      1          0               0         30         87      0.015          5
      1          0               0         33         95      0.016          5
      1          0               0         39        105      0.019          5
      1          0               0         42        160      0.024          6
      1          0               0         46        151      0.026          6
      1          0               0         37        165      0.021          6
      1          0               0         28        103      0.016          6
      1          0               0         47        145      0.027          6
      1          0               0         32        134      0.020          6
      1          0               0         40        156      0.024          6
      1          0               0         31        131      0.018          6
      1          0               0         28        136      0.016          6
      1          0               0         33        163      0.021          6
      1          0               0         45        169      0.027          6
      1          0               0         35        140      0.021          6
      1          0               0         31        117      0.019          6
      1          0               0         50        143      0.030          6
      1          0               0         31        118      0.018          6
      1          0               0         35        138      0.020          6
      1          0               0         23        112      0.014          6
      1          0               0         37        142      0.021          6
      1          0               0         45        184      0.027          6
      1          0               0         33         92      0.019          6
      1          0               0         42        132      0.023          6
      1          0               0         31        125      0.018          6
      1          0               0         32        116      0.019          6
      1          0               0         32        143      0.019          6
      1          0               0         34        135      0.020          6
      1          0               0         59        189      0.034          6
      1          0               0         23        109      0.013          6
      1          0               0         41        170      0.024          6
      1          0               0         47        128      0.026          6
      1          0               0         30        122      0.017          6
      1          0               0         29         88      0.016          6
      1          0               0         37        127      0.021          6
      1          0               0         41        129      0.024          6
      1          0               0         35        149      0.020          6
      1          0               0         30        141      0.017          6
      1          0               0         24         82      0.014          6
      1          0               0         27        114      0.016          6
      1          0               0         40        135      0.024          6
      1          0               0         34        102      0.019          6
      1          0               0         33        150      0.019          6
      1          0               0         33        161      0.020          6
      1          0               0         38        137      0.022          6
      1          0               0         39        146      0.023          6
      1          0               0         33        141      0.019          6
      1          0               0         42        161      0.024          6
      1          0               0         37        123      0.021          6
      1          0               0         37        146      0.022          6
      1          0               0         30         99      0.017          6
      1          0               0         33        109      0.019          6
      1          0               0         39        126      0.022          6
      1          0               0         43        202      0.029          7
      1          0               0         46        179      0.031          7
      1          0               0         37        201      0.025          7
      1          0               0         28        110      0.019          7
      1          0               0         47        179      0.031          7
      1          0               0         32        159      0.021          7
      1          0               0         40        183      0.027          7
      1          0               0         31        148      0.021          7
      1          0               0         28        160      0.019          7
      1          0               0         34        192      0.024          7
      1          0               0         45        180      0.031          7
      1          0               0         35        151      0.032          7
      1          0               0         31        136      0.021          7
      1          0               0         50        185      0.034          7
      1          0               0         31        136      0.021          7
      1          0               0         35        146      0.023          7
      1          0               0         23        125      0.016          7
      1          0               0         37        164      0.024          7
      1          0               0         45        208      0.029          7
      1          0               0         33        106      0.021          7
      1          0               0         42        154      0.027          7
      1          0               0         36        161      0.023          7
      1          0               0         32        125      0.021          7
      1          0               0         32        159      0.021          7
      1          0               0         34        158      0.023          7
      1          0               0         59        197      0.038          7
      1          0               0         36        145      0.023          7
      1          0               0         40        193      0.027          7
      1          0               0         47        144      0.030          7
      1          0               0         29        147      0.019          7
      1          0               0         29        105      0.019          7
      1          0               0         37        133      0.024          7
      1          0               0         41        162      0.027          7
      1          0               0         35        161      0.022          7
      1          0               0         30        152      0.020          7
      1          0               0         24        102      0.016          7
      1          0               0         34        148      0.022          7
      1          0               0         40        172      0.026          7
      1          0               0         34        135      0.022          7
      1          0               0         45        194      0.029          7
      1          0               0         33        183      0.023          7
      1          0               0         38        163      0.025          7
      1          0               0         39        168      0.026          7
      1          0               0         33        172      0.022          7
      1          0               0         42        181      0.028          7
      1          0               0         37        143      0.025          7
      1          0               0         37        174      0.025          7
      1          0               0         30        115      0.020          7
      1          0               0         33        122      0.021          7
      1          0               0         39        161      0.025          7
      1          0               0         43        222      0.032          8
      1          0               0         46        207      0.034          8
      1          0               0         37        211      0.027          8
      1          0               0         28        117      0.021          8
      1          0               0         47        210      0.035          8
      1          0               0         32        161      0.023          8
      1          0               0         39        202      0.046          8
      1          0               0         31        173      0.025          8
      1          0               0         29        189      0.021          8
      1          0               0         34        224      0.026          8
      1          0               0         45        206      0.033          8
      1          0               0         35        175      0.025          8
      1          0               0         31        152      0.023          8
      1          0               0         50        199      0.037          8
      1          0               0         37        173      0.027          8
      1          0               0         35        163      0.025          8
      1          0               0         23        143      0.017          8
      1          0               0         37        194      0.027          8
      1          0               0         45        240      0.033          8
      1          0               0         33        136      0.024          8
      1          0               0         42        186      0.030          8
      1          0               0         36        186      0.026          8
      1          0               0         32        130      0.023          8
      1          0               0         32        187      0.023          8
      1          0               0         34        177      0.025          8
      1          0               0         59        217      0.042          8
      1          0               0         36        165      0.026          8
      1          0               0         40        237      0.030          8
      1          0               0         46        185      0.033          8
      1          0               0         29        158      0.022          8
      1          0               0         29        126      0.021          8
      1          0               0         41        174      0.030          8
      1          0               0         41        180      0.030          8
      1          0               0         35        171      0.025          8
      1          0               0         30        162      0.022          8
      1          0               0         24        120      0.018          8
      1          0               0         34        163      0.024          8
      1          0               0         40        195      0.030          8
      1          0               0         34        159      0.024          8
      1          0               0         45        207      0.033          8
      1          0               0         33        207      0.026          8
      1          0               0         38        181      0.028          8
      1          0               0         39        184      0.028          8
      1          0               0         33        179      0.024          8
      1          0               0         42        206      0.031          8
      1          0               0         37        160      0.028          8
      1          0               0         37        191      0.028          8
      1          0               0         30        130      0.022          8
      1          0               0         33        142      0.023          8
      1          0               0         39        184      0.028          8
      1          0               0         43        245      0.035          9
      1          0               0         46        228      0.037          9
      1          0               0         37        227      0.030          9
      1          0               0         28        123      0.022          9
      1          0               0         47        237      0.038          9
      1          0               0         32        176      0.026          9
      1          0               0         39        220      0.033          9
      1          0               0         31        184      0.026          9
      1          0               0         29        212      0.024          9
      1          0               0         34        241      0.029          9
