success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         42        209      0.097         10
      1          0               0         45        186      0.093         10
      1          0               0         39        144      0.059         10
      1          0               0         69        169      0.099         10
      1          0               0         69        199      0.094         10
      1          0               0         92        236      0.123         10
      1          0               0         80        277      0.107         10
      1          0               0         29        140      0.040         10
      1          0               0         61        232      0.149         10
      1          0               0         75        397      0.131         10
      1          0               0         58        250      0.090         10
      1          0               0         69        316      0.103         10
      1          0               0         29        148      0.047         10
      1          0               0         47        167      0.135         10
      1          0               0         65        195      0.091         10
      1          0               0         60        284      0.081         10
      1          0               0         43        125      0.057         10
      1          0               0         68        260      0.109         10
      1          0               0         38        178      0.069         10
      1          0               0         84        209      0.111         10
      1          0               0         33        148      0.046         10
      1          0               0         76        341      0.108         10
      1          0               0         66        162      0.088         10
      1          0               0         69        262      0.128         10
      1          0               0         72        319      0.100         10
      1          0               0         72        227      0.112         10
      1          0               0         52        138      0.077         10
      1          0               0         51        219      0.073         10
      1          0               0         44        125      0.107         10
      1          0               0         22        126      0.037         10
      1          0               0         76        311      0.102         10
      1          0               0         62        291      0.092         10
      1          0               0         56        134      0.079         10
      1          0               0         42        146      0.101         10
      1          0               0         59        146      0.079         10
      1          0               0         49        197      0.092         10
      1          0               0         49        149      0.066         10
      1          0               0         97        238      0.132         10
      1          0               0         70        195      0.107         10
      1          0               0         61        245      0.082         10
      1          0               0         52        167      0.137         10
      1          0               0         50        224      0.123         10
      1          0               0         63        186      0.119         10
      1          0               0         65        261      0.189         10
      1          0               0         36        126      0.088         10
      1          0               0         50        159      0.122         10
      1          0               0         85        319      0.122         10
      1          0               0         72        296      0.109         10
      1          0               0         59        179      0.082         10
      1          0               0         89        330      0.152         10
      1          0               0         52        156      0.075         10
      1          0               0         59        233      0.090         10
      1          0               0         73        240      0.105         10
      1          0               0         65        194      0.133         10
      1          0               0         58        285      0.085         10
      1          0               0         65        254      0.093         10
      1          0               0         50        227      0.077         10
      1          0               0         84        231      0.208         10
      1          0               0         90        261      0.201         10
      1          0               0         49        207      0.086         10
      1          0               0         57        203      0.085         10
      1          0               0         83        324      0.153         10
      1          0               0         59        234      0.108         10
      1          0               0         53        240      0.085         10
      1          0               0         61        142      0.124         10
      1          0               0         83        263      0.148         10
      1          0               0         46        266      0.079         10
      1          0               0         57        214      0.079         10
      1          0               0         63        268      0.154         10
      1          0               0         20        109      0.030         10
      1          0               0         34        167      0.051         10
      1          0               0         42        147      0.062         10
      1          0               0         27        156      0.044         10
      1          0               0         52        162      0.073         10
      1          0               0         66        185      0.091         10
      1          0               0         66        285      0.106         10
      1          0               0         90        333      0.140         10
      1          0               0         74        214      0.116         10
      1          0               0         37        161      0.059         10
