success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         48        130      0.030          5
      1          0               0         44        106      0.026          5
      1          0               0         44        112      0.026          5
      1          0               0         33        117      0.028          5
      1          0               0         45        102      0.048          5
      1          0               0         47        227      0.118         10
      1          0               0         80        354      0.179         10
      1          0               0         88        394      0.235         10
      1          0               0         63        236      0.136         10
      1          0               0         55        225      0.147         10
      1          0               0         36        216      0.132         15
      1          0               0         26        128      0.082         15
      1          0               0         78        475      0.507         15
      1          0               0         99        466      0.429         15
      1          0               0         78        517      0.440         15
      1          0               0         77        438      0.515         20
      1          0               0         43        319      0.133         20
      1          0               0        108        729      0.724         20
      1          0               0        115        943      0.395         20
      1          0               0         88        588      0.522         20
      1          0               0         88        723      0.676         25
      1          0               0         48        384      0.212         25
      1          0               0         96        709      0.724         25
      1          0               0        104        776      0.430         25
      1          0               0        106        798      0.601         25
