collision           collision_obst       flowtime            makespan             run_time             success         sum_of_dists         max_dist            
0                    0                    143                  22                   0.0                  100                  141.0                22.0                
0                    0                    138                  18                   0.0                  100                  138.0                18.0                
0                    0                    88                   13                   0.0                  100                  88.0                 13.0                
0                    0                    113                  15                   0.0                  100                  113.0                15.0                
0                    0                    108                  17                   0.0                  100                  107.0                17.0                
0                    0                    98                   15                   0.0                  100                  98.0                 15.0                
0                    0                    89                   17                   0.0                  100                  89.0                 17.0                
0                    0                    100                  23                   0.0                  100                  100.0                23.0                
0                    0                    111                  15                   0.0                  100                  111.0                15.0                
0                    0                    128                  21                   0.0                  100                  128.0                21.0                
0                    0                    156                  21                   0.0                  100                  156.0                21.0                
0                    0                    169                  24                   0.0                  100                  168.0                24.0                
0                    0                    114                  24                   0.0                  100                  113.0                23.0                
0                    0                    100                  18                   0.0                  100                  100.0                18.0                
0                    0                    102                  15                   0.0                  100                  102.0                15.0                
0                    0                    101                  21                   0.0                  100                  101.0                21.0                
0                    0                    86                   17                   0.0                  100                  86.0                 17.0                
0                    0                    87                   15                   0.0                  100                  87.0                 15.0                
0                    0                    112                  16                   0.0                  100                  112.0                16.0                
0                    0                    96                   20                   0.0                  100                  96.0                 20.0                
0                    0                    115                  17                   0.0                  100                  109.0                17.0                
0                    0                    120                  20                   0.0                  100                  120.0                20.0                
0                    0                    112                  18                   0.0                  100                  112.0                18.0                
0                    0                    141                  17                   0.0                  100                  125.0                17.0                
0                    0                    131                  23                   0.0                  100                  130.0                23.0                
0                    0                    93                   20                   0.0                  100                  93.0                 20.0                
0                    0                    88                   15                   0.0                  100                  87.0                 14.0                
0                    0                    104                  21                   0.0                  100                  104.0                21.0                
0                    0                    95                   22                   0.0                  100                  95.0                 22.0                
0                    0                    83                   15                   0.0                  100                  83.0                 15.0                
0                    0                    71                   13                   0.0                  100                  71.0                 13.0                
0                    0                    100                  21                   0.0                  100                  100.0                21.0                
0                    0                    53                   12                   0.0                  100                  53.0                 12.0                
0                    0                    91                   16                   0.0                  100                  91.0                 16.0                
0                    0                    83                   11                   0.0                  100                  83.0                 11.0                
0                    0                    112                  18                   0.0                  100                  112.0                18.0                
0                    0                    72                   13                   0.0                  100                  72.0                 13.0                
0                    0                    104                  20                   0.0                  100                  104.0                20.0                
0                    0                    103                  17                   0.0                  100                  98.0                 17.0                
0                    0                    120                  19                   0.0                  100                  120.0                19.0                
0                    0                    83                   18                   0.0                  100                  83.0                 18.0                
0                    0                    114                  18                   0.0                  100                  113.0                18.0                
0                    0                    121                  19                   0.0                  100                  121.0                19.0                
0                    0                    94                   16                   0.0                  100                  94.0                 16.0                
0                    0                    75                   14                   0.0                  100                  75.0                 14.0                
0                    0                    84                   16                   0.0                  100                  84.0                 16.0                
0                    0                    181                  23                   0.0                  100                  180.0                22.0                
0                    0                    100                  16                   0.0                  100                  100.0                16.0                
0                    0                    102                  19                   0.0                  100                  102.0                19.0                
0                    0                    117                  22                   0.0                  100                  116.0                22.0                
0                    0                    103                  20                   0.0                  100                  102.0                20.0                
0                    0                    114                  20                   0.0                  100                  114.0                20.0                
0                    0                    94                   15                   0.0                  100                  94.0                 15.0                
0                    0                    88                   16                   0.0                  100                  88.0                 16.0                
0                    0                    150                  20                   0.0                  100                  150.0                20.0                
0                    0                    111                  21                   0.0                  100                  111.0                21.0                
0                    0                    104                  16                   0.0                  100                  104.0                16.0                
0                    0                    78                   13                   0.0                  100                  78.0                 13.0                
0                    0                    91                   18                   0.0                  100                  91.0                 18.0                
0                    0                    149                  25                   0.0                  100                  148.0                24.0                
0                    0                    109                  16                   0.0                  100                  109.0                16.0                
0                    0                    143                  21                   0.0                  100                  143.0                21.0                
0                    0                    102                  16                   0.0                  100                  101.0                16.0                
0                    0                    140                  21                   0.0                  100                  140.0                21.0                
0                    0                    117                  22                   0.0                  100                  117.0                22.0                
0                    0                    121                  24                   0.0                  100                  121.0                24.0                
0                    0                    101                  17                   0.0                  100                  101.0                17.0                
0                    0                    114                  20                   0.0                  100                  112.0                20.0                
0                    0                    134                  19                   0.0                  100                  126.0                19.0                
0                    0                    95                   15                   0.0                  100                  95.0                 15.0                
0                    0                    112                  19                   0.0                  100                  112.0                19.0                
0                    0                    107                  21                   0.0                  100                  105.0                21.0                
0                    0                    117                  20                   0.0                  100                  117.0                20.0                
0                    0                    111                  16                   0.0                  100                  111.0                16.0                
0                    0                    100                  15                   0.0                  100                  100.0                15.0                
0                    0                    87                   16                   0.0                  100                  87.0                 16.0                
0                    0                    117                  20                   0.0                  100                  117.0                20.0                
0                    0                    71                   27                   0.0                  100                  71.0                 27.0                
0                    0                    92                   13                   0.0                  100                  92.0                 13.0                
0                    0                    112                  17                   0.0                  100                  112.0                17.0                
0                    0                    111                  16                   0.0                  100                  111.0                16.0                
0                    0                    90                   20                   0.0                  100                  90.0                 20.0                
0                    0                    77                   17                   0.0                  100                  76.0                 17.0                
0                    0                    90                   19                   0.0                  100                  79.0                 19.0                
0                    0                    123                  16                   0.0                  100                  123.0                16.0                
0                    0                    62                   13                   0.0                  100                  62.0                 13.0                
0                    0                    98                   20                   0.0                  100                  98.0                 20.0                
0                    0                    117                  19                   0.0                  100                  117.0                19.0                
0                    0                    106                  20                   0.0                  100                  106.0                20.0                
0                    0                    71                   16                   0.0                  100                  71.0                 16.0                
0                    0                    71                   14                   0.0                  100                  71.0                 14.0                
0                    0                    100                  16                   0.0                  100                  100.0                16.0                
0                    0                    119                  20                   0.0                  100                  119.0                20.0                
0                    0                    96                   15                   0.0                  100                  96.0                 15.0                
0                    0                    112                  19                   0.0                  100                  111.0                19.0                
0                    0                    113                  26                   0.0                  100                  113.0                26.0                
0                    0                    79                   17                   0.0                  100                  79.0                 17.0                
0                    0                    111                  16                   0.0                  100                  111.0                16.0                
0                    0                    121                  18                   0.0                  100                  121.0                18.0                
0                    0                    82                   17                   0.0                  100                  82.0                 17.0                
0                    0                    85                   15                   0.0                  100                  80.0                 15.0                
0                    0                    66                   14                   0.0                  100                  66.0                 14.0                
0                    0                    152                  22                   0.0                  100                  152.0                22.0                
0                    0                    114                  16                   0.0                  100                  114.0                16.0                
0                    0                    107                  18                   0.0                  100                  107.0                18.0                
0                    0                    108                  17                   0.0                  100                  108.0                17.0                
0                    0                    98                   16                   0.0                  100                  94.0                 15.0                
0                    0                    144                  23                   0.0                  100                  144.0                23.0                
0                    0                    84                   14                   0.0                  100                  84.0                 14.0                
0                    0                    134                  22                   0.0                  100                  126.0                22.0                
0                    0                    104                  20                   0.0                  100                  104.0                20.0                
0                    0                    77                   12                   0.0                  100                  77.0                 12.0                
0                    0                    111                  15                   0.0                  100                  111.0                15.0                
0                    0                    164                  23                   0.0                  100                  164.0                23.0                
0                    0                    87                   16                   0.0                  100                  87.0                 16.0                
0                    0                    105                  17                   0.0                  100                  105.0                17.0                
0                    0                    156                  22                   0.0                  100                  156.0                22.0                
0                    0                    127                  19                   0.0                  100                  120.0                19.0                
0                    0                    141                  22                   0.0                  100                  141.0                22.0                
0                    0                    84                   16                   0.0                  100                  84.0                 16.0                
0                    0                    97                   16                   0.0                  100                  94.0                 16.0                
0                    0                    103                  15                   0.0                  100                  103.0                15.0                
0                    0                    105                  15                   0.0                  100                  105.0                15.0                
0                    0                    120                  23                   0.0                  100                  120.0                23.0                
0                    0                    110                  17                   0.0                  100                  110.0                17.0                
0                    0                    105                  17                   0.0                  100                  101.0                17.0                
0                    0                    134                  24                   0.0                  100                  134.0                24.0                
0                    0                    81                   16                   0.0                  100                  81.0                 16.0                
0                    0                    116                  19                   0.0                  100                  116.0                19.0                
0                    0                    98                   18                   0.0                  100                  98.0                 18.0                
0                    0                    108                  16                   0.0                  100                  108.0                16.0                
0                    0                    84                   12                   0.0                  100                  84.0                 12.0                
0                    0                    203                  28                   0.0                  100                  202.0                28.0                
0                    0                    108                  15                   0.0                  100                  108.0                15.0                
0                    0                    93                   14                   0.0                  100                  93.0                 14.0                
0                    0                    67                   13                   0.0                  100                  67.0                 13.0                
0                    0                    59                   10                   0.0                  100                  59.0                 10.0                
0                    0                    66                   15                   0.0                  100                  66.0                 15.0                
0                    0                    126                  21                   0.0                  100                  126.0                21.0                
0                    0                    86                   12                   0.0                  100                  86.0                 12.0                
0                    0                    73                   14                   0.0                  100                  73.0                 14.0                
0                    0                    98                   19                   0.0                  100                  98.0                 19.0                
0                    0                    153                  20                   0.0                  100                  153.0                20.0                
0                    0                    91                   14                   0.0                  100                  91.0                 14.0                
0                    0                    118                  21                   0.0                  100                  118.0                21.0                
0                    0                    100                  17                   0.0                  100                  100.0                17.0                
0                    0                    101                  17                   0.0                  100                  101.0                17.0                
0                    0                    91                   14                   0.0                  100                  91.0                 14.0                
0                    0                    94                   17                   0.0                  100                  94.0                 17.0                
0                    0                    100                  15                   0.0                  100                  100.0                15.0                
0                    0                    135                  18                   0.0                  100                  135.0                18.0                
0                    0                    106                  22                   0.0                  100                  106.0                22.0                
0                    0                    91                   23                   0.0                  100                  87.0                 23.0                
0                    0                    87                   12                   0.0                  100                  86.0                 12.0                
0                    0                    86                   14                   0.0                  100                  86.0                 14.0                
0                    0                    93                   15                   0.0                  100                  93.0                 15.0                
0                    0                    78                   13                   0.0                  100                  75.0                 13.0                
0                    0                    146                  20                   0.0                  100                  146.0                20.0                
0                    0                    108                  15                   0.0                  100                  108.0                15.0                
0                    0                    107                  24                   0.0                  100                  107.0                24.0                
0                    0                    105                  17                   0.0                  100                  105.0                17.0                
0                    0                    113                  16                   0.0                  100                  113.0                16.0                
0                    0                    147                  24                   0.0                  100                  139.0                24.0                
0                    0                    90                   15                   0.0                  100                  90.0                 15.0                
0                    0                    121                  25                   0.0                  100                  120.0                25.0                
0                    0                    98                   19                   0.0                  100                  98.0                 19.0                
0                    0                    88                   15                   0.0                  100                  88.0                 15.0                
0                    0                    118                  16                   0.0                  100                  118.0                16.0                
0                    0                    103                  17                   0.0                  100                  100.0                17.0                
0                    0                    163                  23                   0.0                  100                  163.0                23.0                
0                    0                    79                   15                   0.0                  100                  79.0                 15.0                
0                    0                    117                  22                   0.0                  100                  117.0                22.0                
0                    0                    96                   19                   0.0                  100                  96.0                 19.0                
0                    0                    123                  23                   0.0                  100                  123.0                23.0                
0                    0                    121                  25                   0.0                  100                  121.0                25.0                
0                    0                    111                  22                   0.0                  100                  111.0                22.0                
0                    0                    88                   17                   0.0                  100                  88.0                 17.0                
0                    0                    104                  22                   0.0                  100                  104.0                22.0                
0                    0                    131                  21                   0.0                  100                  131.0                21.0                
0                    0                    92                   14                   0.0                  100                  92.0                 14.0                
0                    0                    100                  19                   0.0                  100                  94.0                 19.0                
0                    0                    221                  31                   0.0                  100                  221.0                31.0                
0                    0                    104                  18                   0.0                  100                  104.0                18.0                
0                    0                    112                  20                   0.0                  100                  112.0                20.0                
0                    0                    133                  18                   0.0                  100                  133.0                18.0                
0                    0                    124                  19                   0.0                  100                  119.0                19.0                
0                    0                    98                   17                   0.0                  100                  98.0                 17.0                
0                    0                    104                  18                   0.0                  100                  104.0                18.0                
0                    0                    115                  19                   0.0                  100                  115.0                19.0                
0                    0                    155                  23                   0.0                  100                  154.0                23.0                
0                    0                    90                   14                   0.0                  100                  90.0                 14.0                
0                    0                    76                   11                   0.0                  100                  76.0                 11.0                
0                    0                    120                  18                   0.0                  100                  113.0                18.0                
0                    0                    88                   18                   0.0                  100                  88.0                 18.0                
0                    0                    183                  24                   0.0                  100                  183.0                24.0                
0                    0                    157                  19                   0.0                  100                  157.0                19.0                
0                    0                    100                  16                   0.0                  100                  100.0                16.0                
0                    0                    110                  18                   0.0                  100                  110.0                18.0                
0                    0                    141                  19                   0.0                  100                  140.0                19.0                
0                    0                    129                  18                   0.0                  100                  129.0                18.0                
0                    0                    122                  25                   0.0                  100                  122.0                25.0                
0                    0                    117                  16                   0.0                  100                  117.0                16.0                
0                    0                    98                   17                   0.0                  100                  98.0                 17.0                
0                    0                    85                   16                   0.0                  100                  85.0                 16.0                
0                    0                    145                  22                   0.0                  100                  145.0                22.0                
0                    0                    98                   17                   0.0                  100                  98.0                 17.0                
0                    0                    103                  25                   0.0                  100                  103.0                25.0                
0                    0                    147                  20                   0.0                  100                  146.0                20.0                
0                    0                    121                  19                   0.0                  100                  121.0                19.0                
0                    0                    81                   14                   0.0                  100                  81.0                 14.0                
0                    0                    129                  21                   0.0                  100                  129.0                21.0                
0                    0                    93                   15                   0.0                  100                  93.0                 15.0                
0                    0                    86                   16                   0.0                  100                  86.0                 16.0                
0                    0                    107                  17                   0.0                  100                  107.0                17.0                
0                    0                    123                  20                   0.0                  100                  123.0                20.0                
0                    0                    122                  18                   0.0                  100                  121.0                18.0                
0                    0                    148                  22                   0.0                  100                  148.0                22.0                
0                    0                    97                   16                   0.0                  100                  97.0                 16.0                
0                    0                    64                   11                   0.0                  100                  64.0                 11.0                
0                    0                    111                  20                   0.0                  100                  111.0                20.0                
0                    0                    70                   12                   0.0                  100                  70.0                 12.0                
0                    0                    138                  21                   0.0                  100                  126.0                21.0                
0                    0                    158                  24                   0.0                  100                  153.0                24.0                
0                    0                    144                  28                   0.0                  100                  143.0                28.0                
0                    0                    114                  27                   0.0                  100                  114.0                27.0                
0                    0                    85                   16                   0.0                  100                  85.0                 16.0                
0                    0                    104                  19                   0.0                  100                  104.0                19.0                
0                    0                    104                  16                   0.0                  100                  104.0                16.0                
0                    0                    81                   15                   0.0                  100                  81.0                 15.0                
0                    0                    112                  20                   0.0                  100                  112.0                20.0                
0                    0                    92                   17                   0.0                  100                  92.0                 17.0                
0                    0                    96                   15                   0.0                  100                  96.0                 15.0                
0                    0                    109                  20                   0.0                  100                  109.0                20.0                
0                    0                    99                   19                   0.0                  100                  99.0                 19.0                
