success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0         62        205      0.076           9.613         10
      1          0               0        109        475      0.415          14.642         20
      1          0               0        111        806      0.875          21.505         30
      1          0               0         53        574      0.870          24.849         40
      1          0               0         49        584      1.647          25.898         50
      1          0               0         75        929      3.690          29.920         60
      1          0               0         83       1074      5.593          33.518         70
      1          0               0         76       1147      7.815          32.184         80
      1          0               0         43       1073     10.908          28.279         90
      1          0               0         82       1988     31.896          26.402        100
      1          0               0         51        203      0.064           9.196         10
      1          0               0        103        538      0.373          16.204         20
      1          0               0         65        557      0.487          23.523         30
      1          0               0        159       1527      2.076          27.774         40
      1          0               0         66        817      2.207          28.409         50
      1          0               0         84       1155      4.035          31.476         60
      1          0               0         62       1070      6.738          28.661         70
      1          0               0         50       1020      8.870          26.920         80
      1          0               0         47       1052      9.605          30.340         90
      1          0               0         58       1112     15.947          30.931        100
      1          0               0         73        343      0.102           8.205         10
      1          0               0         84        676      0.377          12.500         20
      1          0               0         71        645      0.717          18.775         30
      1          0               0         64        970      1.232          23.062         40
      1          0               0         75       1162      2.139          28.733         50
      1          0               0         89        984      4.080          28.618         60
      1          0               0         92       1600      7.441          28.370         70
      1          0               0         80       1512      9.938          28.750         80
      1          0               0         84       1516     13.187          31.869         90
      1          0               0         86       1035     18.433          33.395        100
      1          0               0         86        360      0.111           8.965         10
      1          0               0        132        882      0.506          14.667         20
      1          0               0         80        740      0.640          21.688         30
      1          0               0         98        635      1.532          27.276         40
      1          0               0         87        608      2.329          32.575         50
      1          0               0         73        697      3.050          34.753         60
      1          0               0         95       1275      5.569          35.368         70
      1          0               0         71        977      6.588          35.775         80
      1          0               0         54        901      9.662          31.944         90
      1          0               0         92       1649     22.507          32.348        100
      1          0               0         79        315      0.116           7.544         10
      1          0               0         89        522      0.326          15.697         20
      1          0               0        103        779      0.797          21.534         30
      1          0               0         87        813      1.011          31.011         40
      1          0               0         87        861      1.839          34.333         50
      1          0               0         67        944      2.210          38.104         60
      1          0               0         75       1306      4.594          38.240         70
      1          0               0         86       1521      7.298          38.767         80
      1          0               0         51       1255      7.475          33.176         90
      1          0               0         53       1098     13.377          29.245        100
      1          0               0         50        170      0.063           9.100         10
      1          0               0         87        402      0.308          16.828         20
      1          0               0         80        745      0.599          23.075         30
      1          0               0         65        644      0.846          28.277         40
      1          0               0         70        905      1.983          29.200         50
      1          0               0        116       1720      5.115          32.198         60
      1          0               0        104       1367      7.121          34.452         70
      1          0               0         59        925      6.839          31.220         80
      1          0               0         60        983     13.098          29.717         90
      1          0               0         51       1007     19.407          26.059        100
      1          0               0        105        484      0.147           8.352         10
      1          0               0         80        630      0.321          15.400         20
      1          0               0        123        992      0.925          22.431         30
      1          0               0        111        945      1.502          26.775         40
      1          0               0         89       1331      2.565          29.303         50
      1          0               0         48        727      2.679          29.188         60
      1          0               0         67       1058      5.669          30.612         70
      1          0               0         57       1200      7.017          31.000         80
      1          0               0         88       1994     14.675          30.602         90
      1          0               0         71       1564     19.454          29.155        100
      1          0               0         79        254      0.099           8.696         10
      1          0               0         70        399      0.244          17.157         20
      1          0               0         78        566      0.639          21.628         30
      1          0               0         71        625      0.987          27.718         40
      1          0               0         73        969      1.833          29.342         50
      1          0               0         99       1357      4.295          29.889         60
      1          0               0         55       1206      4.164          29.091         70
      1          0               0         74       1194     11.620          28.081         80
      1          0               0         65       1262     13.309          30.323         90
      1          0               0         88       1689     25.530          28.523        100
      1          0               0         95        263      0.134           7.758         10
      1          0               0        105        539      0.411          14.610         20
      1          0               0         64        663      0.596          19.078         30
      1          0               0         67        943      1.368          23.149         40
      1          0               0         56        871      1.671          25.250         50
      1          0               0         84       1470      5.583          25.393         60
