success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0         62        205      0.074           9.613                 1.05         10
      1          0               0        109        475      0.403          14.642                 1.37         20
      1          0               0        111        806      0.847          21.505                  1.4         30
      1          0               0         53        574      0.841          24.849                 1.61         40
      1          0               0         49        584      1.393          25.898                 1.94         50
      1          0               0         75        929      3.561          29.920                 2.01         60
      1          0               0         83       1074      5.300          33.518                  2.1         70
      1          0               0         76       1147      7.493          32.184                  2.5         80
      1          0               0         43       1073     10.435          28.279                  3.2         90
      1          0               0         82       1988     30.819          26.402                  3.8        100
      1          0               0         51        203      0.062           9.196                  1.1         10
      1          0               0        103        538      0.364          16.204                 1.24         20
      1          0               0         65        557      0.451          23.523                 1.28         30
      1          0               0        159       1527      1.934          27.774                 1.44         40
      1          0               0         66        817      2.139          28.409                 1.76         50
      1          0               0         84       1155      3.906          31.476                 1.92         60
      1          0               0         62       1070      6.308          28.661                 2.45         70
      1          0               0         50       1020      7.991          26.920                 2.99         80
      1          0               0         47       1052      9.106          30.340                 2.97         90
      1          0               0         58       1112     14.651          30.931                 3.25        100
      1          0               0         73        343      0.096           8.205                 1.24         10
      1          0               0         84        676      0.360          12.500                 1.64         20
      1          0               0         71        645      0.633          18.775                 1.61         30
      1          0               0         64        970      1.054          23.062                 1.74         40
      1          0               0         75       1162      1.948          28.733                 1.74         50
      1          0               0         89        984      3.794          28.618                  2.1         60
      1          0               0         92       1600      6.882          28.370                 2.47         70
      1          0               0         80       1512      9.288          28.750                 2.79         80
      1          0               0         84       1516     12.255          31.869                 2.83         90
      1          0               0         86       1035     17.498          33.395                 3.01        100
      1          0               0         86        360      0.106           8.965                 1.12         10
      1          0               0        132        882      0.506          14.667                 1.37         20
      1          0               0         80        740      0.615          21.688                 1.39         30
      1          0               0         98        635      1.459          27.276                 1.47         40
      1          0               0         87        608      2.200          32.575                 1.54         50
      1          0               0         73        697      2.922          34.753                 1.73         60
      1          0               0         95       1275      5.146          35.368                 1.98         70
      1          0               0         71        977      6.145          35.775                 2.24         80
      1          0               0         54        901      8.779          31.944                 2.83         90
      1          0               0         92       1649     21.547          32.348                  3.1        100
      1          0               0         79        315      0.128           7.544                 1.35         10
      1          0               0         89        522      0.317          15.697                 1.28         20
      1          0               0        103        779      0.765          21.534                  1.4         30
      1          0               0         87        813      1.016          31.011                  1.3         40
      1          0               0         87        861      1.817          34.333                 1.46         50
      1          0               0         67        944      2.180          38.104                 1.58         60
      1          0               0         75       1306      4.297          38.240                 1.84         70
      1          0               0         86       1521      6.841          38.767                 2.07         80
      1          0               0         51       1255      7.236          33.176                 2.73         90
      1          0               0         53       1098     12.354          29.245                 3.43        100
      1          0               0         50        170      0.060           9.100                 1.11         10
      1          0               0         87        402      0.291          16.828                  1.2         20
      1          0               0         80        745      0.563          23.075                  1.3         30
      1          0               0         65        644      0.794          28.277                 1.42         40
      1          0               0         70        905      1.839          29.200                 1.72         50
      1          0               0        116       1720      4.636          32.198                 1.87         60
      1          0               0        104       1367      6.534          34.452                 2.04         70
      1          0               0         59        925      6.262          31.220                 2.57         80
      1          0               0         60        983     12.384          29.717                 3.03         90
      1          0               0         51       1007     17.971          26.059                 3.85        100
      1          0               0        105        484      0.133           8.352                 1.21         10
      1          0               0         80        630      0.300          15.400                 1.32         20
      1          0               0        123        992      0.881          22.431                 1.34         30
      1          0               0        111        945      1.436          26.775                  1.5         40
      1          0               0         89       1331      2.400          29.303                 1.71         50
      1          0               0         48        727      2.469          29.188                 2.07         60
      1          0               0         67       1058      5.174          30.612                 2.29         70
      1          0               0         57       1200      6.556          31.000                 2.59         80
      1          0               0         88       1994     13.871          30.602                 2.94         90
      1          0               0         71       1564     18.463          29.155                 3.44        100
      1          0               0         79        254      0.097           8.696                 1.16         10
      1          0               0         70        399      0.237          17.157                 1.18         20
      1          0               0         78        566      0.628          21.628                  1.4         30
      1          0               0         71        625      0.962          27.718                 1.45         40
      1          0               0         73        969      1.780          29.342                 1.71         50
      1          0               0         99       1357      4.216          29.889                 2.01         60
      1          0               0         55       1206      3.965          29.091                 2.42         70
      1          0               0         74       1194     10.741          28.081                 2.86         80
      1          0               0         65       1262     12.870          30.323                 2.98         90
      1          0               0         88       1689     23.959          28.523                 3.51        100
      1          0               0         95        263      0.130           7.758                 1.31         10
      1          0               0        105        539      0.395          14.610                 1.38         20
      1          0               0         64        663      0.572          19.078                 1.58         30
      1          0               0         67        943      1.264          23.149                 1.74         40
      1          0               0         56        871      1.652          25.250                 1.99         50
      1          0               0         84       1470      5.492          25.393                 2.37         60
      1          0               0         94       1314      8.754          26.000                  2.7         70
      1          0               0         90       1613     12.124          27.378                 2.93         80
      1          0               0         50       1264     11.744          26.240                 3.46         90
      1          0               0         46       1135     17.401          26.435                 3.83        100
      1          0               0         60        249      0.079           9.117                 1.11         10
      1          0               0         64        579      0.241          15.953                 1.26         20
      1          0               0         63        655      0.631          20.762                 1.45         30
      1          0               0         88        782      1.390          24.955                 1.61         40
      1          0               0         42        608      1.364          25.619                 1.96         50
      1          0               0         43        761      2.048          26.698                 2.26         60
      1          0               0         99       1209      6.860          28.939                 2.42         70
