success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         62        205      0.084         10
      1          0               0        109        475      0.453         20
      1          0               0        111        806      0.954         30
      1          0               0         53        574      1.002         40
      1          0               0         49        584      1.577         50
      1          0               0         75        929      4.062         60
      1          0               0         83       1074      6.078         70
      1          0               0         76       1147      8.435         80
      1          0               0         43       1073     12.124         90
      1          0               0         82       1988     36.759        100
      1          0               0         51        203      0.075         10
      1          0               0        103        538      0.436         20
      1          0               0         65        557      0.548         30
      1          0               0        159       1527      2.398         40
      1          0               0         66        817      2.674         50
      1          0               0         84       1155      4.900         60
      1          0               0         62       1070      7.737         70
      1          0               0         50       1020     10.016         80
      1          0               0         47       1052     11.284         90
      1          0               0         58       1112     18.001        100
      1          0               0         73        343      0.115         10
      1          0               0         84        676      0.433         20
      1          0               0         71        645      0.764         30
      1          0               0         64        970      1.292         40
      1          0               0         75       1162      2.503         50
      1          0               0         89        984      4.682         60
      1          0               0         92       1600      8.543         70
      1          0               0         80       1512     11.331         80
      1          0               0         84       1516     14.996         90
      1          0               0         86       1035     21.052        100
      1          0               0         86        360      0.128         10
      1          0               0        132        882      0.728         20
      1          0               0         80        740      0.751         30
      1          0               0         98        635      1.810         40
      1          0               0         87        608      2.745         50
      1          0               0         73        697      3.533         60
      1          0               0         95       1275      6.311         70
      1          0               0         71        977      7.511         80
      1          0               0         54        901     10.687         90
      1          0               0         92       1649     25.959        100
      1          0               0         79        315      0.140         10
      1          0               0         89        522      0.376         20
      1          0               0        103        779      0.922         30
      1          0               0         87        813      1.176         40
      1          0               0         87        861      2.219         50
      1          0               0         67        944      2.600         60
      1          0               0         75       1306      5.094         70
      1          0               0         86       1521      8.201         80
      1          0               0         51       1255      8.467         90
      1          0               0         53       1098     15.200        100
      1          0               0         50        170      0.077         10
      1          0               0         87        402      0.353         20
      1          0               0         80        745      0.688         30
      1          0               0         65        644      0.975         40
      1          0               0         70        905      2.271         50
      1          0               0        116       1720      5.684         60
      1          0               0        104       1367      8.203         70
      1          0               0         59        925      7.828         80
      1          0               0         60        983     15.338         90
      1          0               0         51       1007     22.784        100
      1          0               0        105        484      0.163         10
      1          0               0         80        630      0.360         20
      1          0               0        123        992      1.095         30
      1          0               0        111        945      1.810         40
      1          0               0         89       1331      3.018         50
      1          0               0         48        727      3.065         60
      1          0               0         67       1058      6.621         70
      1          0               0         57       1200      8.180         80
      1          0               0         88       1994     17.297         90
      1          0               0         71       1564     23.006        100
      1          0               0         79        254      0.118         10
      1          0               0         70        399      0.335         20
      1          0               0         78        566      0.764         30
      1          0               0         71        625      1.218         40
      1          0               0         73        969      2.194         50
      1          0               0         99       1357      5.117         60
      1          0               0         55       1206      5.149         70
      1          0               0         74       1194     13.248         80
      1          0               0         65       1262     15.626         90
      1          0               0         88       1689     29.408        100
      1          0               0         95        263      0.158         10
      1          0               0        105        539      0.482         20
      1          0               0         64        663      0.704         30
      1          0               0         67        943      1.600         40
      1          0               0         56        871      2.024         50
      1          0               0         84       1470      6.577         60
      1          0               0         94       1314     10.425         70
      1          0               0         90       1613     14.334         80
      1          0               0         50       1264     14.474         90
      1          0               0         46       1135     21.327        100
      1          0               0         60        249      0.088         10
      1          0               0         64        579      0.274         20
      1          0               0         63        655      0.717         30
      1          0               0         88        782      1.644         40
      1          0               0         42        608      1.599         50
      1          0               0         43        761      2.560         60
      1          0               0         99       1209      8.231         70
      1          0               0         76       1365      9.763         80
      1          0               0         80       1466     19.775         90
      1          0               0         63       1009     28.315        100
      1          0               0         48        223      0.071         10
      1          0               0         75        508      0.366         20
      1          0               0         60        667      0.661         30
      1          0               0        116       1014      2.229         40
      1          0               0        133       2074      5.124         50
      1          0               0         73       1197      3.944         60
      1          0               0         59       1185      4.891         70
      1          0               0         80       1407      9.991         80
      1          0               0         48       1271      9.365         90
      1          0               0         63       1427     20.202        100
      1          0               0         67        323      0.112         10
      1          0               0         41        374      0.210         20
      1          0               0         59        346      0.561         30
      1          0               0        129        885      2.004         40
      1          0               0        107       1118      3.128         50
      1          0               0         55        732      2.487         60
      1          0               0         85       1252      5.303         70
      1          0               0         91       1635      9.580         80
      1          0               0         99       2307     16.672         90
      1          0               0         73       1756     18.873        100
      1          0               0        108        472      0.152         10
      1          0               0         52        517      0.232         20
      1          0               0        104       1242      1.406         30
      1          0               0         85       1276      1.814         40
      1          0               0         92       1443      3.031         50
      1          0               0         79       1376      4.789         60
      1          0               0         70       1449      7.215         70
      1          0               0         81       1928     11.431         80
      1          0               0         75       1314     13.720         90
      1          0               0         55       1264     13.979        100
      1          0               0        107        457      0.161         10
      1          0               0         54        263      0.242         20
      1          0               0         50        479      0.501         30
      1          0               0         45        584      0.975         40
      1          0               0        108       1134      3.418         50
      1          0               0        107       1360      5.134         60
      1          0               0         39        960      3.710         70
      1          0               0         68       1554      8.907         80
      1          0               0         56       1310     10.477         90
      1          0               0         50       1450     15.850        100
      1          0               0         66        248      0.098         10
      1          0               0        101        635      0.485         20
      1          0               0        104        942      1.028         30
      1          0               0         68        610      1.308         40
      1          0               0         82       1146      2.690         50
      1          0               0         69       1069      4.134         60
      1          0               0         48       1146      5.143         70
      1          0               0         91       1777     11.281         80
      1          0               0         69       1898     12.294         90
      1          0               0         90       2010     22.880        100
      1          0               0         90        362      0.130         10
      1          0               0         55        442      0.248         20
      1          0               0        101       1059      0.870         30
      1          0               0         87        996      1.500         40
      1          0               0         94       1245      2.462         50
      1          0               0        103       1369      4.533         60
      1          0               0         95       1627      6.081         70
      1          0               0         85       1923      8.919         80
      1          0               0         77       1572     12.281         90
      1          0               0         67       1762     20.665        100
      1          0               0         72        207      0.102         10
      1          0               0         95        746      0.439         20
      1          0               0         93        510      0.891         30
      1          0               0         48        463      0.859         40
      1          0               0         95        962      3.248         50
      1          0               0         81       1207      4.449         60
      1          0               0         90       1170      7.188         70
      1          0               0        103       1430     12.380         80
      1          0               0         81       1257     14.697         90
      1          0               0         69        844     17.114        100
      1          0               0         31        136      0.050         10
      1          0               0        141        510      0.693         20
      1          0               0        114        735      1.156         30
      1          0               0         87       1018      1.851         40
      1          0               0        109       1006      4.149         50
      1          0               0        134       1462      8.995         60
      1          0               0        108       1103     10.777         70
      1          0               0         79       1282     14.690         80
      1          0               0        104       1412     24.865         90
      1          0               0         98       1467     32.747        100
      1          0               0        112        418      0.168         10
      1          0               0         84        761      0.335         20
      1          0               0        116        696      1.085         30
      1          0               0        102       1126      1.865         40
      1          0               0         69        892      2.441         50
      1          0               0         97       1460      5.479         60
      1          0               0         92       1473      8.203         70
      1          0               0         95       2018     11.648         80
      1          0               0         74       1642     13.294         90
      1          0               0         49       1439     16.837        100
      1          0               0         70        243      0.116         10
      1          0               0         81        496      0.350         20
      1          0               0        122        825      1.472         30
      1          0               0         67        795      1.320         40
      1          0               0         80       1116      2.757         50
      1          0               0         74       1042      4.791         60
      1          0               0         93       1086      8.829         70
      1          0               0         90       1104     13.309         80
      1          0               0         76       1147     16.403         90
      1          0               0         39       1099     15.878        100
      1          0               0         97        230      0.148         10
      1          0               0         46        270      0.183         20
      1          0               0         71        641      0.665         30
      1          0               0         98        706      1.631         40
      1          0               0         61        955      1.849         50
      1          0               0         81       1111      3.650         60
      1          0               0         99       1209      6.795         70
      1          0               0         71        871      8.040         80
      1          0               0         90       1144     13.907         90
      1          0               0         98       1669     23.873        100
      1          0               0         67        296      0.113         10
      1          0               0         72        389      0.313         20
      1          0               0        107        597      1.023         30
      1          0               0         68        616      1.075         40
      1          0               0         79        980      2.288         50
      1          0               0         81       1142      4.118         60
      1          0               0        102       1308      9.447         70
      1          0               0         61       1408      9.327         80
      1          0               0         52       1110     10.996         90
      1          0               0         49       1040     15.275        100
      1          0               0         75        209      0.108         10
      1          0               0         93        672      0.429         20
      1          0               0         67        683      0.709         30
      1          0               0        110       1385      1.990         40
      1          0               0         53        951      1.776         50
      1          0               0         80       1354      4.602         60
      1          0               0         39       1124      4.433         70
      1          0               0        105       2057     24.506         80
      1          0               0         47       1546     19.356         90
      1          0               0         68       1639     39.166        100
      1          0               0         73        328      0.113         10
      1          0               0         89        602      0.396         20
      1          0               0        103        775      0.964         30
      1          0               0         57        668      1.024         40
      1          0               0         92       1194      2.855         50
      1          0               0         97       1462      4.947         60
      1          0               0         58        867      4.684         70
      1          0               0         87       1612     10.393         80
      1          0               0         58       1217     10.735         90
      1          0               0         74       1378     17.216        100
      1          0               0         81        365      0.130         10
      1          0               0        150        919      0.571         20
      1          0               0         76        696      1.082         30
      1          0               0        111       1130      2.627         40
      1          0               0         49        664      2.179         50
      1          0               0         60        883      4.157         60
      1          0               0         70        940      7.491         70
      1          0               0         43        944      7.834         80
      1          0               0         65       1152     14.549         90
      1          0               0         86       1675     53.063        100
      1          0               0         79        325      0.111         10
      1          0               0        100        431      0.358         20
      1          0               0         64        523      0.495         30
      1          0               0        123       1038      1.740         40
      1          0               0        120       1323      3.133         50
      1          0               0         89        882      3.768         60
      1          0               0         95       1256      6.673         70
      1          0               0         56       1099      6.672         80
      1          0               0         85       1602     13.528         90
      1          0               0         75       1760     21.763        100
      1          0               0         73        182      0.099         10
      1          0               0         51        316      0.225         20
      1          0               0        137        787      1.253         30
      1          0               0         97        724      1.805         40
      1          0               0         73        878      2.258         50
      1          0               0        117       1104      6.173         60
      1          0               0        100       1572      7.658         70
      1          0               0        104       1756     10.940         80
      1          0               0         91       1809     14.637         90
      1          0               0         84       1807     18.134        100
      1          0               0         91        377      0.134         10
      1          0               0         66        595      0.284         20
      1          0               0         92        690      0.732         30
      1          0               0        143        808      1.956         40
      1          0               0        115       1229      2.769         50
      1          0               0        109       1476      4.051         60
      1          0               0         73       1296      5.249         70
      1          0               0         69       1571      9.142         80
      1          0               0         63       1577     13.226         90
      1          0               0         73       1611     25.145        100
      1          0               0        103        323      0.140         10
      1          0               0        121        662      0.554         20
      1          0               0        126        875      1.290         30
      1          0               0         98       1086      1.846         40
      1          0               0         81        994      3.212         50
      1          0               0         95       1143      5.471         60
      1          0               0         97       1382      8.935         70
      1          0               0         87       1557     12.176         80
      1          0               0         73       1549     17.804         90
      1          0               0         71       1588     27.964        100
      1          0               0         83        373      0.121         10
      1          0               0         62        592      0.262         20
      1          0               0        117        939      1.005         30
      1          0               0         59        719      1.022         40
      1          0               0         92        973      2.441         50
      1          0               0         87        885      3.662         60
      1          0               0        144       1606     10.083         70
      1          0               0         75        983      7.533         80
      1          0               0         58        925      8.748         90
      1          0               0         51        856     11.090        100
      1          0               0         58        246      0.095         10
      1          0               0         55        463      0.284         20
      1          0               0         62        646      0.673         30
      1          0               0         54       1089      1.206         40
      1          0               0         54        936      1.745         50
      1          0               0         67       1472      3.522         60
      1          0               0         60       1442      5.026         70
      1          0               0         50       1454      6.878         80
      1          0               0         83       1669     16.588         90
      1          0               0         60       1867     17.218        100
      1          0               0         96        391      0.150         10
      1          0               0        100        654      0.390         20
      1          0               0         95        996      0.805         30
      1          0               0         58        714      1.109         40
      1          0               0         91        946      3.093         50
      1          0               0         85       1309      5.604         60
      1          0               0         86       1122      9.957         70
      1          0               0         71       1245     10.765         80
      1          0               0         84       1426     20.202         90
      1          0               0         52       1372     17.864        100
      1          0               0         43        234      0.074         10
      1          0               0         71        410      0.347         20
      1          0               0         67        567      0.640         30
      1          0               0         56        482      1.067         40
      1          0               0         96        859      2.666         50
      1          0               0        105       1610      5.243         60
      1          0               0         97       1660      7.635         70
      1          0               0        100       2017     13.920         80
      1          0               0         72       1338     19.285         90
      1          0               0         76       1471     28.533        100
      1          0               0        123        358      0.170         10
      1          0               0         94        611      0.382         20
      1          0               0         73        794      0.688         30
      1          0               0         86       1058      1.403         40
      1          0               0         72       1069      1.983         50
      1          0               0         91       1507      3.714         60
      1          0               0         67       1343      4.223         70
      1          0               0         64       1663      6.146         80
      1          0               0         77       1983     13.708         90
      1          0               0         58       1760     14.395        100
      1          0               0         71        264      0.106         10
      1          0               0        113        877      0.509         20
      1          0               0         68        683      0.591         30
      1          0               0        126       1086      1.751         40
      1          0               0         69        835      1.911         50
      1          0               0         65        817      2.890         60
      1          0               0         87       1231      5.779         70
      1          0               0         70       1218      7.747         80
      1          0               0         63       1066      9.888         90
      1          0               0         61       1269     13.131        100
      1          0               0         85        279      0.125         10
      1          0               0         88        649      0.354         20
      1          0               0         92        916      0.844         30
