number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    96                   23                   0.0                  100                  96.0                 23.0                
10                   0                    0                    114                  19                   0.0                  100                  113.0                19.0                
10                   0                    0                    165                  26                   0.0                  100                  165.0                26.0                
10                   0                    0                    144                  20                   0.0                  100                  144.0                20.0                
10                   0                    0                    141                  20                   0.0                  100                  141.0                20.0                
10                   0                    0                    117                  22                   0.0                  100                  117.0                22.0                
10                   0                    0                    160                  26                   0.0                  100                  160.0                26.0                
10                   0                    0                    108                  20                   0.0                  100                  108.0                20.0                
10                   0                    0                    133                  18                   0.0                  100                  133.0                18.0                
10                   0                    0                    137                  22                   0.0                  100                  137.0                22.0                
10                   0                    0                    145                  22                   0.0                  100                  145.0                22.0                
10                   0                    0                    185                  27                   0.0                  100                  185.0                27.0                
10                   0                    0                    118                  22                   0.0                  100                  118.0                22.0                
10                   0                    0                    166                  30                   0.0                  100                  166.0                30.0                
10                   0                    0                    141                  24                   0.0                  100                  141.0                24.0                
10                   0                    0                    115                  23                   0.0                  100                  115.0                23.0                
10                   0                    0                    122                  27                   0.0                  100                  122.0                27.0                
10                   0                    0                    101                  22                   0.0                  100                  101.0                22.0                
10                   0                    0                    129                  24                   0.0                  100                  129.0                24.0                
10                   0                    0                    136                  22                   0.0                  100                  136.0                22.0                
10                   0                    0                    92                   18                   0.0                  100                  92.0                 18.0                
10                   0                    0                    126                  19                   0.0                  100                  126.0                19.0                
10                   0                    0                    110                  22                   0.0                  100                  109.0                22.0                
10                   0                    0                    143                  30                   0.0                  100                  143.0                30.0                
10                   0                    0                    136                  22                   0.0                  100                  136.0                22.0                
10                   0                    0                    117                  22                   0.0                  100                  117.0                22.0                
10                   0                    0                    108                  23                   0.0                  100                  108.0                23.0                
10                   0                    0                    131                  22                   0.0                  100                  131.0                22.0                
10                   0                    0                    92                   19                   0.0                  100                  92.0                 19.0                
10                   0                    0                    178                  23                   0.0                  100                  178.0                23.0                
10                   0                    0                    105                  17                   0.0                  100                  105.0                17.0                
10                   0                    0                    116                  23                   0.0                  100                  116.0                23.0                
10                   0                    0                    126                  19                   0.0                  100                  126.0                19.0                
10                   0                    0                    131                  21                   0.0                  100                  130.0                21.0                
10                   0                    0                    123                  24                   0.0                  100                  123.0                24.0                
10                   0                    0                    174                  27                   0.0                  100                  174.0                27.0                
10                   0                    0                    96                   22                   0.0                  100                  95.0                 22.0                
10                   0                    0                    178                  32                   0.0                  100                  178.0                32.0                
10                   0                    0                    119                  17                   0.0                  100                  119.0                17.0                
10                   0                    0                    135                  23                   0.0                  100                  135.0                23.0                
10                   0                    0                    121                  22                   0.0                  100                  107.0                22.0                
10                   0                    0                    113                  22                   0.0                  100                  113.0                22.0                
10                   0                    0                    164                  25                   0.0                  100                  164.0                25.0                
10                   0                    0                    197                  31                   0.0                  100                  197.0                31.0                
10                   0                    0                    102                  17                   0.0                  100                  102.0                17.0                
10                   0                    0                    101                  15                   0.0                  100                  101.0                15.0                
10                   0                    0                    142                  24                   0.0                  100                  142.0                24.0                
10                   0                    0                    124                  18                   0.0                  100                  124.0                18.0                
10                   0                    0                    124                  18                   0.0                  100                  124.0                18.0                
10                   0                    0                    183                  29                   0.0                  100                  177.0                29.0                
10                   0                    0                    127                  24                   0.0                  100                  127.0                24.0                
10                   0                    0                    144                  23                   0.0                  100                  144.0                23.0                
10                   0                    0                    131                  26                   0.0                  100                  131.0                26.0                
10                   0                    0                    163                  25                   0.0                  100                  163.0                25.0                
10                   0                    0                    97                   18                   0.0                  100                  97.0                 18.0                
10                   0                    0                    153                  22                   0.0                  100                  149.0                22.0                
10                   0                    0                    131                  18                   0.0                  100                  129.0                18.0                
10                   0                    0                    97                   15                   0.0                  100                  97.0                 15.0                
10                   0                    0                    121                  24                   0.0                  100                  121.0                24.0                
10                   0                    0                    144                  27                   0.0                  100                  144.0                27.0                
10                   0                    0                    137                  20                   0.0                  100                  137.0                20.0                
10                   0                    0                    149                  24                   0.0                  100                  149.0                24.0                
10                   0                    0                    189                  28                   0.0                  100                  188.0                28.0                
10                   0                    0                    114                  21                   0.0                  100                  110.0                21.0                
10                   0                    0                    181                  28                   0.0                  100                  175.0                28.0                
10                   0                    0                    132                  18                   0.0                  100                  131.0                18.0                
10                   0                    0                    128                  20                   0.0                  100                  128.0                20.0                
10                   0                    0                    146                  29                   0.0                  100                  146.0                29.0                
10                   0                    0                    123                  20                   0.0                  100                  123.0                20.0                
10                   0                    0                    138                  21                   0.0                  100                  136.0                21.0                
10                   0                    0                    128                  21                   0.0                  100                  116.0                21.0                
10                   0                    0                    122                  26                   0.0                  100                  122.0                26.0                
10                   0                    0                    148                  26                   0.0                  100                  148.0                26.0                
10                   0                    0                    159                  25                   0.0                  100                  158.0                25.0                
10                   0                    0                    158                  30                   0.0                  100                  158.0                30.0                
10                   0                    0                    157                  23                   0.0                  100                  156.0                23.0                
10                   0                    0                    197                  33                   0.0                  100                  193.0                33.0                
10                   0                    0                    110                  19                   0.0                  100                  110.0                19.0                
10                   0                    0                    115                  26                   0.0                  100                  115.0                26.0                
10                   0                    0                    125                  17                   0.0                  100                  124.0                17.0                
10                   0                    0                    147                  26                   0.0                  100                  147.0                26.0                
10                   0                    0                    143                  22                   0.0                  100                  143.0                22.0                
10                   0                    0                    131                  22                   0.0                  100                  129.0                22.0                
10                   0                    0                    107                  20                   0.0                  100                  107.0                20.0                
10                   0                    0                    129                  27                   0.0                  100                  121.0                27.0                
10                   0                    0                    149                  20                   0.0                  100                  149.0                20.0                
10                   0                    0                    127                  17                   0.0                  100                  118.0                17.0                
10                   0                    0                    118                  16                   0.0                  100                  118.0                16.0                
10                   0                    0                    150                  22                   0.0                  100                  150.0                22.0                
10                   0                    0                    199                  31                   0.0                  100                  199.0                31.0                
10                   0                    0                    124                  20                   0.0                  100                  124.0                20.0                
10                   0                    0                    176                  25                   0.0                  100                  176.0                25.0                
10                   0                    0                    119                  18                   0.0                  100                  113.0                18.0                
10                   0                    0                    120                  18                   0.0                  100                  120.0                18.0                
10                   0                    0                    174                  28                   0.0                  100                  170.0                28.0                
10                   0                    0                    171                  24                   0.0                  100                  171.0                24.0                
10                   0                    0                    137                  21                   0.0                  100                  137.0                21.0                
10                   0                    0                    107                  21                   0.0                  100                  106.0                21.0                
10                   0                    0                    149                  24                   0.0                  100                  149.0                24.0                
10                   0                    0                    198                  29                   0.0                  100                  198.0                29.0                
10                   0                    0                    178                  23                   0.0                  100                  178.0                23.0                
10                   0                    0                    190                  31                   0.0                  100                  190.0                31.0                
10                   0                    0                    177                  28                   0.0                  100                  165.0                27.0                
10                   0                    0                    123                  20                   0.0                  100                  110.0                20.0                
10                   0                    0                    178                  24                   0.0                  100                  178.0                24.0                
10                   0                    0                    127                  21                   0.0                  100                  127.0                21.0                
10                   0                    0                    153                  22                   0.0                  100                  153.0                22.0                
10                   0                    0                    141                  25                   0.0                  100                  141.0                25.0                
10                   0                    0                    203                  27                   0.0                  100                  203.0                27.0                
10                   0                    0                    84                   20                   0.0                  100                  84.0                 20.0                
10                   0                    0                    113                  19                   0.0                  100                  113.0                19.0                
10                   0                    0                    122                  22                   0.0                  100                  119.0                22.0                
10                   0                    0                    168                  26                   0.0                  100                  167.0                26.0                
10                   0                    0                    117                  18                   0.0                  100                  117.0                18.0                
10                   0                    0                    149                  24                   0.0                  100                  149.0                24.0                
10                   0                    0                    145                  19                   0.0                  100                  145.0                19.0                
10                   0                    0                    127                  23                   0.0                  100                  127.0                23.0                
10                   0                    0                    154                  29                   0.0                  100                  154.0                29.0                
10                   0                    0                    180                  23                   0.0                  100                  180.0                23.0                
10                   0                    0                    121                  22                   0.0                  100                  121.0                22.0                
10                   0                    0                    151                  21                   0.0                  100                  142.0                21.0                
10                   0                    0                    135                  21                   0.0                  100                  135.0                21.0                
10                   0                    0                    112                  19                   0.0                  100                  112.0                19.0                
10                   0                    0                    158                  22                   0.0                  100                  158.0                22.0                
10                   0                    0                    155                  25                   0.0                  100                  155.0                25.0                
10                   0                    0                    96                   22                   0.0                  100                  96.0                 22.0                
10                   0                    0                    162                  30                   0.0                  100                  162.0                30.0                
10                   0                    0                    174                  25                   0.0                  100                  174.0                25.0                
10                   0                    0                    129                  19                   0.0                  100                  129.0                19.0                
10                   0                    0                    126                  26                   0.0                  100                  125.0                26.0                
10                   0                    0                    138                  24                   0.0                  100                  135.0                24.0                
10                   0                    0                    132                  21                   0.0                  100                  129.0                20.0                
10                   0                    0                    202                  28                   0.0                  100                  200.0                28.0                
10                   0                    0                    128                  28                   0.0                  100                  120.0                28.0                
10                   0                    0                    236                  31                   0.0                  100                  233.0                31.0                
10                   0                    0                    113                  21                   0.0                  100                  113.0                21.0                
10                   0                    0                    117                  16                   0.0                  100                  114.0                16.0                
10                   0                    0                    142                  21                   0.0                  100                  142.0                21.0                
10                   0                    0                    151                  22                   0.0                  100                  151.0                22.0                
10                   0                    0                    135                  22                   0.0                  100                  135.0                22.0                
10                   0                    0                    151                  30                   0.0                  100                  145.0                30.0                
10                   0                    0                    102                  17                   0.0                  100                  102.0                17.0                
