success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        136        521      0.257           5.382                 1.92         10
      1          0               0        187       1017      1.136           8.674                 2.34         20
      1          0               0        138       1051      3.610           6.594                 4.72         30
      1          0               0        101        720     12.152           2.752                 15.4         40
      1          0               0         93        949     46.843           2.237                 24.3         50
      1          0               0        104       1442    123.143           1.875                 33.8         60
      1          0               0        146       1780    204.337           2.034                 35.7         70
      1          0               0        140       1507    498.490           1.121                 75.1         80
      1          0               0        101       1365    478.362           1.000                 90.0         90
      1          0               0        172       2285    858.646           1.000                1e+02        100
      1          0               0         76        373      0.161           6.421                  1.6         10
      1          0               0        127        560      1.059           8.890                 2.29         20
      1          0               0         71        550      3.870           6.817                 4.61         30
      1          0               0         47        553      9.635           4.851                 8.48         40
      1          0               0        131       1352    100.385           3.008                 17.1         50
      1          0               0        118       1845    125.803           1.839                 35.2         60
      1          0               0        110       1617    195.093           1.009                 69.7         70
      1          0               0        101       1566    244.033           1.000                 80.0         80
      1          0               0         83       1675    283.466           1.000                 90.0         90
      1          0               0        102       1713    454.909           1.000                1e+02        100
      1          0               0        176        600      0.601           6.852                 1.48         10
      1          0               0        100        862      2.377           7.550                 2.85         20
      1          0               0        129       1174      8.762           6.969                 4.49         30
      1          0               0         76        750     18.145           6.921                 6.06         40
      1          0               0         99       1229     65.732           4.778                 11.8         50
      1          0               0        143       1553    175.939           3.888                 21.4         60
      1          0               0        137       1843    310.810           2.453                 33.8         70
      1          0               0        146       2393    366.546           1.767                 49.3         80
      1          0               0        147       2207    507.513           1.014                 89.4         90
      1          0               0        137       2298    719.986           1.000                1e+02        100
      1          0               0         84        446      0.216           5.560                 1.82         10
      1          0               0        155        796      2.522           6.594                 3.15         20
      1          0               0        193       1289     27.542           3.264                 11.8         30
      1          0               0         84       1138     26.692           4.952                  9.0         40
      1          0               0        123       1174     89.109           1.691                 36.9         50
      1          0               0         89       1220    132.195           1.551                 46.0         60
      1          0               0        138       1882    343.723           1.986                 37.5         70
      1          0               0        170       2206    522.317           2.082                 39.8         80
      1          0               0        160       2311    702.511           1.106                 85.2         90
      1          0               0        158       1802    930.415           1.000                1e+02        100
      1          0               0        146        478      0.505           7.370                 1.38         10
      1          0               0         62        467      1.505           5.919                 3.65         20
      1          0               0        135        986     14.190           4.963                 6.35         30
      1          0               0        116        927     29.449           5.638                 7.19         40
      1          0               0        123       1110     59.285           5.593                 9.24         50
      1          0               0        144       1480    168.271           2.458                 25.9         60
      1          0               0        140       1554    338.039           1.871                 39.8         70
      1          0               0        143       1862    535.779           1.021                 79.2         80
      1          0               0        120       1730    407.944           1.025                 88.9         90
      1          0               0        130       1374    718.533           1.023                 98.8        100
      1          0               0        230        777      0.452           6.717                 1.51         10
      1          0               0        155       1143      2.815           7.652                  2.7         20
      1          0               0        124       1149      7.377           5.677                 5.46         30
      1          0               0        184       1728     22.503           5.158                 8.02         40
      1          0               0        162       1544     61.808           2.506                 22.0         50
