success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        138        414      0.117          5
      1          0               0         52        182      0.027          5
      1          0               0         62        214      0.033          5
      1          0               0         43        127      0.022          5
      1          0               0        122        318      0.060          5
      1          0               0        138        738      0.129         10
      1          0               0        168        539      0.159         10
      1          0               0         63        399      0.061         10
      1          0               0        180        511      0.161         10
      1          0               0        122        640      0.113         10
      1          0               0        137        990      0.183         15
      1          0               0        168        925      0.312         15
      1          0               0        118        708      0.241         15
      1          0               0        180        962      0.285         15
      1          0               0        134       1087      0.271         15
      1          0               0        135       1565      0.245         20
      1          0               0        169       1413      0.319         20
      1          0               0        118        898      0.214         20
      1          0               0        179       1390      0.308         20
      1          0               0        134       1372      0.243         20
      1          0               0        154       2055      0.379         25
      1          0               0        169       1784      0.381         25
      1          0               0        118       1195      0.261         25
      1          0               0        178       1711      0.380         25
      1          0               0        134       1822      0.313         25
