success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        192        334      0.105          5
      1          0               0        216        527      0.116          5
      1          0               0        114        265      0.060          5
      1          0               0        262        378      0.139          5
      1          0               0        229        566      0.123          5
      1          0               0        318        747      0.213          5
      1          0               0        178        284      0.098          5
      1          0               0        182        465      0.123          5
      1          0               0        261        794      0.146          5
      1          0               0        119        242      0.062          5
      1          0               0        158        311      0.083          5
      1          0               0        186        582      0.105          5
      1          0               0        270        576      0.142          5
      1          0               0        105        247      0.060          5
      1          0               0        244        593      0.139          5
      1          0               0         74        214      0.039          5
      1          0               0         73        196      0.039          5
      1          0               0        231        400      0.128          5
      1          0               0        227        305      0.120          5
      1          0               0        103        253      0.055          5
      1          0               0        214        423      0.113          5
      1          0               0         26         93      0.014          5
      1          0               0        219        476      0.115          5
      1          0               0        231        490      0.121          5
      1          0               0         50        133      0.026          5
      1          0               0        115        181      0.064          5
      1          0               0        168        301      0.102          5
      1          0               0        198        292      0.106          5
      1          0               0        185        486      0.104          5
      1          0               0         76        203      0.042          5
      1          0               0        176        382      0.100          5
      1          0               0        137        400      0.077          5
      1          0               0        198        453      0.113          5
      1          0               0        112        293      0.061          5
      1          0               0        145        432      0.081          5
      1          0               0        269        433      0.155          5
      1          0               0        211        616      0.116          5
      1          0               0        250        780      0.139          5
      1          0               0        195        519      0.108          5
      1          0               0        265        507      0.146          5
      1          0               0        243        506      0.132          5
      1          0               0        175        388      0.093          5
      1          0               0         87        197      0.050          5
      1          0               0        242        394      0.129          5
      1          0               0        137        274      0.077          5
      1          0               0        293        458      0.157          5
      1          0               0        181        405      0.098          5
      1          0               0        265        692      0.148          5
      1          0               0         71        218      0.040          5
      1          0               0        262        770      0.153          5
      1          0               0        191        408      0.120          6
      1          0               0        239        651      0.153          6
      1          0               0        114        257      0.073          6
      1          0               0        120        334      0.076          6
      1          0               0        234        584      0.146          6
      1          0               0        347        742      0.235          6
      1          0               0        203        463      0.130          6
      1          0               0        198        573      0.133          6
      1          0               0        217        646      0.140          6
      1          0               0        238        661      0.148          6
      1          0               0        165        222      0.099          6
      1          0               0        192        722      0.123          6
      1          0               0        138        247      0.084          6
      1          0               0        126        242      0.084          6
      1          0               0        314        907      0.204          6
      1          0               0        132        327      0.084          6
      1          0               0        162        317      0.101          6
      1          0               0        259        510      0.163          6
      1          0               0         42        159      0.026          6
      1          0               0        119        292      0.076          6
      1          0               0        261        636      0.171          6
      1          0               0         70        162      0.043          6
      1          0               0        219        480      0.131          6
      1          0               0        252        427      0.155          6
      1          0               0        194        327      0.122          6
      1          0               0        190        456      0.119          6
      1          0               0        179        428      0.119          6
      1          0               0        244        364      0.151          6
      1          0               0        184        477      0.122          6
      1          0               0         76        256      0.048          6
      1          0               0        176        375      0.114          6
      1          0               0        104        212      0.068          6
      1          0               0        198        658      0.167          6
      1          0               0        115        306      0.073          6
      1          0               0         93        268      0.057          6
      1          0               0        271        486      0.186          6
      1          0               0        235        701      0.151          6
      1          0               0        301        892      0.190          6
      1          0               0        210        589      0.142          6
      1          0               0        267        520      0.194          6
      1          0               0        297        804      0.199          6
      1          0               0        233        423      0.145          6
