success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        309       1719      0.300           9.974                  1.0         10
      1          0               0        309       3453      0.557          19.913                  1.0         20
      1          0               0        309       5083      0.817          29.848                 1.01         30
      1          0               0        309       5944      1.074          39.812                  1.0         40
      1          0               0        309       7584      1.342          49.573                 1.01         50
      1          0               0        309       9042      1.612          59.036                 1.02         60
      1          0               0        309      10655      1.873          68.783                 1.02         70
      1          0               0        337      12877      2.337          78.279                 1.02         80
      1          0               0        368      15351      2.857          88.073                 1.02         90
      1          0               0        368      17058      3.166          97.288                 1.03        100
      1          0               0        312       1693      0.301          10.000                  1.0         10
      1          0               0        312       3094      0.559          19.971                  1.0         20
      1          0               0        348       4232      0.911          29.744                 1.01         30
      1          0               0        347       5877      1.202          39.692                 1.01         40
      1          0               0        347       7608      1.501          49.550                 1.01         50
      1          0               0        347       9734      1.803          59.375                 1.01         60
      1          0               0        347      11196      2.224          69.207                 1.01         70
      1          0               0        347      13550      2.382          78.810                 1.02         80
      1          0               0        346      15313      2.673          88.561                 1.02         90
      1          0               0        347      18009      2.986          97.787                 1.02        100
      1          0               0        273       1607      0.261           9.864                 1.02         10
      1          0               0        351       3639      0.627          19.886                 1.01         20
      1          0               0        351       5113      0.905          29.812                 1.01         30
      1          0               0        351       6655      1.214          39.738                 1.01         40
      1          0               0        351       8280      1.501          49.658                 1.01         50
      1          0               0        350      10526      1.792          59.523                 1.01         60
      1          0               0        350      12569      2.113          68.703                 1.02         70
      1          0               0        350      14418      2.426          78.371                 1.02         80
      1          0               0        350      15366      2.731          87.546                 1.03         90
      1          0               0        350      17032      3.022          96.951                 1.03        100
      1          0               0        356       1783      0.337          10.000                  1.0         10
      1          0               0        386       3791      0.684          19.940                  1.0         20
      1          0               0        386       5285      1.004          29.904                  1.0         30
      1          0               0        386       7382      1.328          39.777                 1.01         40
      1          0               0        386       9290      1.648          49.671                 1.01         50
      1          0               0        386      11196      1.980          59.539                 1.01         60
      1          0               0        386      13199      2.280          69.223                 1.01         70
      1          0               0        386      15232      2.641          78.109                 1.02         80
      1          0               0        386      17356      2.986          87.119                 1.03         90
      1          0               0        385      19532      3.307          96.522                 1.04        100
      1          0               0        361       1687      0.344           9.986                  1.0         10
      1          0               0        361       3132      0.635          19.950                  1.0         20
      1          0               0        361       4728      0.935          29.878                  1.0         30
      1          0               0        361       6887      1.242          39.809                  1.0         40
      1          0               0        384       8771      1.642          49.682                 1.01         50
      1          0               0        384      10425      1.973          59.411                 1.01         60
      1          0               0        384      12124      2.292          68.896                 1.02         70
      1          0               0        384      14065      2.639          78.708                 1.02         80
      1          0               0        384      16404      2.965          88.523                 1.02         90
      1          0               0        384      18053      3.285          98.182                 1.02        100
      1          0               0        248       1558      0.236          10.000                  1.0         10
      1          0               0        278       3298      0.490          19.964                  1.0         20
      1          0               0        303       5255      0.819          29.723                 1.01         30
      1          0               0        315       6493      1.076          39.705                 1.01         40
      1          0               0        315       8041      1.401          49.562                 1.01         50
      1          0               0        315       9694      1.640          59.448                 1.01         60
      1          0               0        315      11119      1.938          69.273                 1.01         70
      1          0               0        315      13011      2.409          78.978                 1.01         80
      1          0               0        336      15128      2.620          88.110                 1.02         90
      1          0               0        337      17089      2.885          97.623                 1.02        100
      1          0               0        306       1288      0.287           9.958                  1.0         10
      1          0               0        306       3092      0.548          19.912                  1.0         20
      1          0               0        378       5320      0.975          29.754                 1.01         30
      1          0               0        378       7267      1.306          39.582                 1.01         40
      1          0               0        378       9009      1.691          49.495                 1.01         50
      1          0               0        378      10448      2.536          59.354                 1.01         60
      1          0               0        378      12450      2.250          69.243                 1.01         70
      1          0               0        378      13682      2.615          79.085                 1.01         80
      1          0               0        378      15557      2.906          88.190                 1.02         90
      1          0               0        378      17269      3.222          97.995                 1.02        100
      1          0               0        276       1894      0.262           9.982                  1.0         10
      1          0               0        364       4249      0.646          19.951                  1.0         20
      1          0               0        364       5727      0.947          29.717                 1.01         30
      1          0               0        364       7613      1.250          39.643                 1.01         40
      1          0               0        364       9303      1.872          49.486                 1.01         50
      1          0               0        364      10905      1.854          59.310                 1.01         60
      1          0               0        364      12557      2.164          69.077                 1.01         70
      1          0               0        364      14355      2.472          78.841                 1.01         80
      1          0               0        364      16480      2.830          87.890                 1.02         90
      1          0               0        364      18849      3.117          97.547                 1.03        100
      1          0               0        359       1435      0.333           9.975                  1.0         10
      1          0               0        359       3177      0.638          19.936                  1.0         20
      1          0               0        370       4636      0.945          29.814                 1.01         30
      1          0               0        370       6139      1.262          39.757                 1.01         40
      1          0               0        370       8275      1.635          49.635                 1.01         50
      1          0               0        370       9989      1.887          58.784                 1.02         60
      1          0               0        370      11490      2.219          68.619                 1.02         70
      1          0               0        369      13433      2.507          77.957                 1.03         80
      1          0               0        381      16470      3.194          86.787                 1.04         90
      1          0               0        381      18508      3.278          96.257                 1.04        100
      1          0               0        367       2076      0.346           9.967                  1.0         10
      1          0               0        367       3744      0.661          19.183                 1.04         20
      1          0               0        367       5125      0.992          28.586                 1.05         30
      1          0               0        367       7058      1.274          38.540                 1.04         40
      1          0               0        367       8911      1.585          48.414                 1.03         50
      1          0               0        367      10860      1.908          58.011                 1.03         60
      1          0               0        366      12491      2.204          67.833                 1.03         70
      1          0               0        366      14397      2.527          77.186                 1.04         80
      1          0               0        366      16577      2.853          86.563                 1.04         90
      1          0               0        366      18593      3.165          96.060                 1.04        100
      1          0               0        277       1190      0.257          10.000                  1.0         10
      1          0               0        302       3159      0.532          19.937                  1.0         20
      1          0               0        350       4531      0.925          29.809                 1.01         30
      1          0               0        350       5908      1.180          39.737                 1.01         40
      1          0               0        384       7285      1.620          49.664                 1.01         50
      1          0               0        384       9428      1.947          59.076                 1.02         60
      1          0               0        384      12358      2.284          68.393                 1.02         70
      1          0               0        384      14026      2.612          78.247                 1.02         80
      1          0               0        384      15966      2.953          88.057                 1.02         90
      1          0               0        385      17300      3.278          97.195                 1.03        100
      1          0               0        295       1367      0.279           9.983                  1.0         10
      1          0               0        328       2474      0.573          19.960                  1.0         20
      1          0               0        328       4159      0.849          29.918                  1.0         30
      1          0               0        328       6177      1.116          39.820                  1.0         40
      1          0               0        328       7723      1.402          49.409                 1.01         50
      1          0               0        328       9474      1.676          58.573                 1.02         60
      1          0               0        328      11400      1.967          68.189                 1.03         70
      1          0               0        328      13032      2.563          77.826                 1.03         80
      1          0               0        328      14524      2.525          87.024                 1.03         90
      1          0               0        328      16750      2.818          96.716                 1.03        100
      1          0               0        350       1875      0.330          10.000                  1.0         10
      1          0               0        380       3695      0.700          19.826                 1.01         20
      1          0               0        380       4874      0.988          29.800                 1.01         30
      1          0               0        380       6654      1.306          39.689                 1.01         40
      1          0               0        380       8338      1.622          49.637                 1.01         50
      1          0               0        380       9939      1.945          59.474                 1.01         60
      1          0               0        380      11847      2.250          69.189                 1.01         70
      1          0               0        393      14397      2.678          78.684                 1.02         80
      1          0               0        393      16396      3.020          88.504                 1.02         90
