success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        442       3212      1.508          19.740                 1.01         20
      1          0               0        604       5166      7.907          39.421                 1.02         40
      1          0               0       1056      13043     42.577          58.456                 1.03         60
      1          0               0        958      15978     51.150          78.104                 1.02         80
      1          0               0        722      16710     78.647          96.870                 1.03        100
      1          0               0       1011      19702    160.645         113.841                 1.05        120
      1          0               0        561      14867     80.857         133.078                 1.05        140
      1          0               0        625      19492    116.692         150.032                 1.07        160
      1          0               0        586      19262    111.836         166.224                 1.08        180
      1          0               0        557      22806    201.846         181.697                  1.1        200
      1          0               0        691       5655      2.675          19.637                 1.02         20
      1          0               0        788       9233      8.958          39.346                 1.02         40
      1          0               0        643       7504     17.160          59.075                 1.02         60
      1          0               0        683      11097     49.274          78.635                 1.02         80
      1          0               0       1112      18073    112.813          97.751                 1.02        100
      1          0               0        489      12847     78.686         112.738                 1.06        120
      1          0               0        401      12510     87.751         130.955                 1.07        140
      1          0               0        927      20155    171.345         151.615                 1.06        160
      1          0               0        732      16086    141.480         167.598                 1.07        180
      1          0               0        788      24785    193.341         183.195                 1.09        200
      1          0               0        750       5257      2.913          19.808                 1.01         20
      1          0               0       1148      10231     13.170          39.610                 1.01         40
      1          0               0        697      10071     16.414          59.221                 1.01         60
      1          0               0       1059       8900     48.917          78.444                 1.02         80
      1          0               0        564       8365     34.336          95.606                 1.05        100
      1          0               0        484      11705     42.683         112.273                 1.07        120
      1          0               0        677      14954     81.303         132.467                 1.06        140
      1          0               0        813      21743    164.661         147.727                 1.08        160
      1          0               0       1077      28078    397.083         163.868                  1.1        180
      1          0               0       1040      29456    335.242         178.512                 1.12        200
      1          0               0        677       4808      2.573          19.719                 1.02         20
      1          0               0        628       7107      7.415          38.807                 1.03         40
      1          0               0        903      11669     21.410          59.405                 1.01         60
      1          0               0        805      11170     32.469          76.494                 1.05         80
      1          0               0        902      14415     66.032          95.904                 1.04        100
      1          0               0        934      14090    127.869         113.011                 1.06        120
      1          0               0       1030      17998    229.467         127.193                  1.1        140
      1          0               0        750      21601    218.350         145.860                  1.1        160
      1          0               0        750      18919    273.331         164.060                  1.1        180
      1          0               0        934      27109    320.421         182.134                  1.1        200
      1          0               0        604       5225      2.297          19.742                 1.01         20
      1          0               0        688       6136      7.715          39.642                 1.01         40
      1          0               0        841       8158     35.926          59.451                 1.01         60
      1          0               0       1331      14314     95.639          78.555                 1.02         80
      1          0               0        754      17991     51.646          97.638                 1.02        100
      1          0               0       1010      21923    106.977         116.631                 1.03        120
      1          0               0       1181      17754    207.766         135.992                 1.03        140
      1          0               0        911      25462    230.963         151.102                 1.06        160
      1          0               0        769      29426    169.295         169.615                 1.06        180
      1          0               0        874      34883    327.959         186.636                 1.07        200
      1          0               0        408       2642      2.876          19.748                 1.01         20
      1          0               0        173       2019      3.711          39.110                 1.02         40
      1          0               0       1008       9663     43.048          59.443                 1.01         60
      1          0               0        923      13951     66.059          79.105                 1.01         80
      1          0               0        853      17002     93.353          98.067                 1.02        100
      1          0               0        915      26624    142.882         116.442                 1.03        120
      1          0               0        902      23874    191.012         134.914                 1.04        140
      1          0               0       1086      32494    280.692         153.236                 1.04        160
