success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        350       1611      0.376           9.834                 1.02         10
      1          0               0        433       2907      0.839          18.508                 1.09         20
      1          0               0        581       4594      1.743          29.272                 1.03         30
      1          0               0        493       5133      2.010          38.686                 1.04         40
      1          0               0        891      11021      5.151          48.189                 1.04         50
      1          0               0        975      13075      7.136          56.723                 1.06         60
      0          0               0       1000      70000     10.277          65.059                 1.08         70
      0          0               0       1000      80000     10.950          76.026                 1.05         80
      1          0               0        999      20584     10.890          87.273                 1.03         90
      1          0               0        977      21045     12.593          94.759                 1.06        100
      1          0               0        799       3028      0.768           9.701                 1.03         10
      1          0               0        863       6135      1.830          18.443                 1.09         20
      1          0               0        882       8013      2.675          29.215                 1.03         30
      1          0               0        952      12064      4.118          38.767                 1.03         40
      1          0               0        808      10537      4.273          47.863                 1.05         50
      1          0               0        572       9749      3.902          55.656                 1.08         60
      1          0               0        954      12894      7.875          67.000                 1.05         70
      1          0               0        904      18013      8.438          77.199                 1.04         80
      1          0               0        799      15140      8.696          86.618                 1.04         90
      1          0               0        657      13424      7.826          95.391                 1.05        100
      1          0               0        478       1987      0.456           9.847                 1.02         10
      1          0               0        907       5885      1.795          19.593                 1.02         20
      0          0               0       1000      30000      3.129          29.529                 1.02         30
      1          0               0        997       9128      4.197          39.233                 1.02         40
      1          0               0        667       7353      3.407          48.694                 1.03         50
      0          0               0       1000      60000      6.751          58.648                 1.02         60
      0          0               0       1000      70000      7.859          67.681                 1.04         70
      1          0               0        615       6906      5.082          77.769                 1.03         80
      1          0               0        763       9686      7.878          86.836                 1.04         90
      1          0               0        868      11943     12.018          94.985                 1.05        100
      1          0               0        282       1053      0.291           9.915                 1.01         10
      1          0               0        610       4109      1.312          19.652                 1.02         20
      1          0               0        866       6638      3.196          28.133                 1.07         30
      1          0               0        794       7098      3.887          38.435                 1.04         40
      0          0               0       1000      50000      5.734          48.252                 1.04         50
      0          0               0       1000      60000      7.312          57.519                 1.04         60
      1          0               0        976      12752      8.773          67.482                 1.04         70
      1          0               0        861      16641      9.179          74.545                 1.07         80
