success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        121        356      0.218         10
      1          0               0        188        473      0.258         10
      1          0               0        329       1279      0.424         10
      1          0               0        253       1213      0.314         10
      1          0               0        232       1238      0.307         10
      1          0               0        158        588      0.224         10
      1          0               0        187        457      0.231         10
      1          0               0        174        744      0.233         10
      1          0               0        288        705      0.424         10
      1          0               0        228       1211      0.327         10
      1          0               0        381       1426      0.472         10
      1          0               0        257        829      0.306         10
      1          0               0        112        298      0.141         10
      1          0               0        343        743      0.417         10
      1          0               0        215        763      0.277         10
      1          0               0        336        957      0.422         10
      1          0               0        166        544      0.222         10
      1          0               0        310        678      0.411         10
      1          0               0        175        692      0.237         10
      1          0               0        191        661      0.248         10
      1          0               0        269       1061      0.348         10
      1          0               0         43        239      0.057         10
      1          0               0        146        497      0.185         10
      1          0               0         89        418      0.118         10
      1          0               0        143        559      0.191         10
      1          0               0        338       1121      0.415         10
      1          0               0        142        424      0.183         10
      1          0               0        131        405      0.164         10
      1          0               0        324       1067      0.442         10
      1          0               0        197        717      0.251         10
      1          0               0        136        682      0.176         10
      1          0               0        227        740      0.291         10
      1          0               0         88        379      0.129         10
      1          0               0        236        699      0.316         10
      1          0               0        166        478      0.230         10
      1          0               0        289        848      0.358         10
      1          0               0        163        391      0.196         10
      1          0               0        168        695      0.229         10
      1          0               0        164        526      0.205         10
      1          0               0        150        847      0.197         10
      1          0               0        136        701      0.171         10
      1          0               0        245        976      0.407         10
      1          0               0        280        962      0.416         10
      1          0               0        138        509      0.191         10
      1          0               0        193        912      0.258         10
      1          0               0         92        336      0.123         10
      1          0               0        145        612      0.187         10
      1          0               0        194        521      0.236         10
      1          0               0        207        599      0.251         10
      1          0               0        215        894      0.274         10
      1          0               0        115        374      0.150         10
      1          0               0        271        819      0.346         10
      1          0               0        363        883      0.450         10
      1          0               0        211        741      0.268         10
      1          0               0        142        468      0.175         10
      1          0               0        130        528      0.163         10
      1          0               0        155        621      0.196         10
      1          0               0        124        503      0.165         10
      1          0               0        149        737      0.196         10
      1          0               0        173        457      0.250         10
      1          0               0        329       1438      0.410         10
      1          0               0        264        628      0.327         10
      1          0               0        173        607      0.220         10
      1          0               0        261        838      0.328         10
      1          0               0        158        376      0.195         10
      1          0               0        240        975      0.319         10
      1          0               0        253       1184      0.337         10
      1          0               0        331       1178      0.443         10
      1          0               0        236        983      0.292         10
      1          0               0        272        537      0.340         10
      1          0               0        153        548      0.192         10
      1          0               0        178        436      0.224         10
      1          0               0        137        668      0.180         10
      1          0               0        154        771      0.203         10
      1          0               0        289       1027      0.359         10
      1          0               0        166        790      0.231         10
      1          0               0        185        634      0.234         10
      1          0               0        250        917      0.326         10
      1          0               0        197        809      0.267         10
      1          0               0        274        852      0.364         10
      1          0               0        131        377      0.257         10
      1          0               0         85        388      0.108         10
      1          0               0        143        354      0.176         10
      1          0               0        102        366      0.139         10
      1          0               0        256        793      0.382         10
      1          0               0        144        407      0.211         10
      1          0               0        173        725      0.242         10
      1          0               0        362       1437      0.456         10
      1          0               0        243        900      0.401         10
      1          0               0        217        485      0.303         10
      1          0               0        132        485      0.158         10
      1          0               0        233       1039      0.293         10
      1          0               0        157        432      0.186         10
      1          0               0        177        865      0.245         10
      1          0               0        178        564      0.232         10
      1          0               0        142        566      0.170         10
      1          0               0        242       1026      0.301         10
      1          0               0        152        389      0.196         10
      1          0               0         90        388      0.113         10
      1          0               0         93        319      0.120         10
      1          0               0        226        853      0.270         10
      1          0               0        220        969      0.266         10
      1          0               0        116        548      0.141         10
      1          0               0        220        710      0.276         10
      1          0               0        234        755      0.274         10
      1          0               0        277        881      0.330         10
      1          0               0         98        452      0.121         10
      1          0               0        217        854      0.257         10
      1          0               0        150        330      0.180         10
      1          0               0        162        556      0.191         10
      1          0               0        210        691      0.263         10
      1          0               0        195        678      0.239         10
      1          0               0        208        783      0.257         10
      1          0               0        232        626      0.273         10
      1          0               0        155        860      0.199         10
      1          0               0        138        603      0.173         10
      1          0               0        350       1017      0.417         10
      1          0               0        173        607      0.206         10
      1          0               0        344        808      0.405         10
      1          0               0        107        347      0.139         10
      1          0               0        152        426      0.184         10
      1          0               0        240       1307      0.300         10
      1          0               0         38        220      0.047         10
      1          0               0        223        791      0.267         10
      1          0               0        182        481      0.221         10
      1          0               0        284        778      0.334         10
      1          0               0        127        290      0.149         10
      1          0               0         77        371      0.097         10
      1          0               0        138        714      0.175         10
      1          0               0        276       1074      0.355         10
      1          0               0        191        508      0.233         10
      1          0               0        332       1686      0.402         10
      1          0               0        181        723      0.223         10
      1          0               0        110        512      0.205         10
      1          0               0        132        519      0.171         10
      1          0               0        156        723      0.201         10
      1          0               0        250        622      0.317         10
      1          0               0        198        588      0.249         10
      1          0               0        267        669      0.399         10
      1          0               0        123        347      0.151         10
      1          0               0        205        534      0.256         10
      1          0               0        135        558      0.166         10
      1          0               0        222        541      0.263         10
      1          0               0        216        769      0.260         10
      1          0               0        117        536      0.143         10
      1          0               0        219        496      0.279         10
      1          0               0        221        745      0.266         10
      1          0               0        122        539      0.159         10
      1          0               0        241        780      0.296         10
      1          0               0        234       1022      0.292         10
      1          0               0        206        647      0.242         10
      1          0               0        293        668      0.348         10
      1          0               0        133        417      0.161         10
      1          0               0        313       1049      0.383         10
      1          0               0        167        517      0.196         10
      1          0               0        193        596      0.234         10
      1          0               0        146        821      0.175         10
      1          0               0        167        571      0.205         10
      1          0               0        135        636      0.169         10
      1          0               0        339       1538      0.414         10
      1          0               0        123        487      0.151         10
      1          0               0        118        412      0.147         10
      1          0               0        103        428      0.124         10
      1          0               0        141        497      0.167         10
      1          0               0        298        990      0.359         10
      1          0               0        176        784      0.221         10
      1          0               0        289       1153      0.352         10
      1          0               0        130        630      0.191         10
      1          0               0        212        836      0.246         10
      1          0               0        314        843      0.393         10
      1          0               0        102        471      0.130         10
      1          0               0        333       1759      0.384         10
      1          0               0        164        604      0.190         10
      1          0               0         81        376      0.096         10
      1          0               0        291       1478      0.367         10
      1          0               0         96        360      0.112         10
      1          0               0        197        626      0.247         10
      1          0               0        197        343      0.221         10
      1          0               0        178        562      0.204         10
      1          0               0        255        950      0.298         10
      1          0               0        290       1064      0.336         10
      1          0               0        202        700      0.232         10
      1          0               0        227        747      0.273         10
      1          0               0        117        465      0.147         10
      1          0               0        235       1102      0.294         10
      1          0               0         79        296      0.095         10
      1          0               0        181        832      0.218         10
      1          0               0        164        619      0.193         10
      1          0               0         61        243      0.074         10
      1          0               0        244        913      0.296         10
      1          0               0         93        183      0.112         10
      1          0               0        108        408      0.126         10
      1          0               0        108        471      0.127         10
      1          0               0        267       1103      0.313         10
      1          0               0        293        466      0.332         10
      1          0               0         92        345      0.106         10
      1          0               0        181        539      0.207         10
      1          0               0        217        976      0.264         10
      1          0               0        130        654      0.158         10
      1          0               0        132        697      0.155         10
      1          0               0        229        862      0.292         10
      1          0               0        235        635      0.267         10
      1          0               0        246        842      0.290         10
      1          0               0        175        694      0.213         10
      1          0               0        183       1010      0.247         10
      1          0               0        164        888      0.197         10
      1          0               0        181        635      0.208         10
      1          0               0        153        589      0.178         10
      1          0               0        174        588      0.216         10
      1          0               0        133        339      0.166         10
      1          0               0        388        700      0.450         10
      1          0               0        238        741      0.271         10
      1          0               0        267        615      0.304         10
      1          0               0        152        631      0.180         10
      1          0               0        208        821      0.239         10
      1          0               0         69        287      0.085         10
      1          0               0        189        618      0.225         10
      1          0               0        217        604      0.266         10
      1          0               0        173        919      0.216         10
      1          0               0         73        271      0.088         10
      1          0               0        146        523      0.170         10
      1          0               0        323       1265      0.369         10
      1          0               0        188        499      0.217         10
      1          0               0        100        376      0.116         10
      1          0               0        273        763      0.329         10
      1          0               0        266        773      0.304         10
      1          0               0        140        625      0.162         10
      1          0               0        184        424      0.213         10
      1          0               0        181        610      0.208         10
      1          0               0        177        811      0.206         10
      1          0               0        250        972      0.306         10
      1          0               0        317       1065      0.373         10
      1          0               0        123        517      0.150         10
      1          0               0        233        689      0.266         10
      1          0               0        129        440      0.152         10
      1          0               0        127        540      0.150         10
      1          0               0        259       1035      0.302         10
      1          0               0        111        335      0.132         10
      1          0               0        175        507      0.219         10
      1          0               0        167        633      0.208         10
      1          0               0         90        403      0.110         10
      1          0               0        179        573      0.217         10
      1          0               0        257        738      0.299         10
      1          0               0         73        279      0.086         10
      1          0               0        168        587      0.194         10
      1          0               0        320       1724      0.370         10
      1          0               0        137        616      0.159         10
      1          0               0        203        521      0.234         10
      1          0               0        330       1339      0.410         10
      1          0               0        144        577      0.173         10
      1          0               0        107        667      0.334         20
      1          0               0        273       1719      0.874         20
      1          0               0        209       1596      0.689         20
      1          0               0        220       1047      0.674         20
      1          0               0        281       1562      0.920         20
      1          0               0        221       1143      0.762         20
      1          0               0         96        452      0.286         20
      1          0               0        217       1474      0.667         20
      1          0               0        335       1476      1.006         20
      1          0               0        180       1126      0.594         20
      1          0               0        352       2448      1.051         20
      1          0               0        223       1038      0.676         20
      1          0               0        222       1302      0.759         20
      1          0               0        225        926      0.769         20
      1          0               0        240       1845      0.711         20
      1          0               0        353       1686      1.064         20
      1          0               0        219       1993      0.788         20
      1          0               0        140        749      0.469         20
      1          0               0        223       1572      0.713         20
      1          0               0        220       1593      0.748         20
      1          0               0        117        540      0.388         20
      1          0               0        207       1595      0.639         20
      1          0               0        290       1615      0.898         20
      1          0               0         94        745      0.286         20
      1          0               0        197       1426      0.653         20
      1          0               0        273       1313      0.800         20
      1          0               0        241       1721      0.824         20
      1          0               0        213       1525      0.634         20
      1          0               0        322       1772      1.076         20
      1          0               0        217       1300      0.637         20
      1          0               0        250       1963      0.765         20
      1          0               0        261       1369      0.806         20
      1          0               0        161       1134      0.517         20
      1          0               0        188       1059      0.584         20
      1          0               0        198       1450      0.671         20
      1          0               0        160        949      0.478         20
      1          0               0        267        965      0.831         20
      1          0               0        148       1478      0.461         20
      1          0               0        239       1354      0.709         20
      1          0               0        244       1793      0.735         20
      1          0               0        229       1692      0.747         20
      1          0               0        295       1825      0.960         20
      1          0               0        208       1221      0.625         20
      1          0               0        207       1550      0.655         20
      1          0               0        274       1508      0.837         20
      1          0               0        225       1176      0.746         20
      1          0               0        244       1054      0.742         20
      1          0               0        327       1078      0.937         20
      1          0               0        307       1254      0.929         20
      1          0               0        354       2242      1.058         20
      1          0               0        316       1170      0.998         20
      1          0               0        350       1281      1.015         20
      1          0               0        299       1630      0.868         20
      1          0               0        132        741      0.430         20
      1          0               0        335       1228      1.308         20
