success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         50        197      0.046         10
      1          0               0         49        455      0.112         20
      1          0               0         50        764      0.237         30
      1          0               0         51       1014      0.396         40
      1          0               0         50       1316      0.699         50
      1          0               0         52       1583      1.451         60
      1          0               0         56       1963      2.224         70
      1          0               0         57       2328      4.090         80
      1          0               0         60       2661      5.693         90
      1          0               0         66       3093      7.909        100
      1          0               0         45        242      0.042         10
      1          0               0         43        404      0.087         20
      1          0               0         44        729      0.168         30
      1          0               0         46        932      0.265         40
      1          0               0         45       1284      0.571         50
      1          0               0         62       1779      1.043         60
      1          0               0         56       2122      1.747         70
      1          0               0         65       2694      3.138         80
      1          0               0         67       3282      4.943         90
      1          0               0         75       3932      8.531        100
      1          0               0         29        159      0.031         10
      1          0               0         38        434      0.102         20
      1          0               0         37        631      0.183         30
      1          0               0         57       1003      0.523         40
      1          0               0         55       1388      0.884         50
      1          0               0         57       1531      1.448         60
      1          0               0         57       1911      2.321         70
      1          0               0         59       2443      3.677         80
      1          0               0         78       3411      6.800         90
      1          0               0         76       3823      8.728        100
      1          0               0         40        241      0.045         10
      1          0               0         52        519      0.128         20
      1          0               0         53        751      0.225         30
      1          0               0         50       1029      0.441         40
      1          0               0         53       1269      0.935         50
      1          0               0         58       1595      1.424         60
      1          0               0         57       1888      2.211         70
      1          0               0         61       2442      3.674         80
      1          0               0         65       2744      5.300         90
      1          0               0         71       3362      7.427        100
      1          0               0         30        181      0.029         10
      1          0               0         47        407      0.105         20
      1          0               0         44        674      0.181         30
      1          0               0         46       1008      0.377         40
      1          0               0         50       1286      0.695         50
      1          0               0         49       1556      1.285         60
      1          0               0         52       1871      2.047         70
      1          0               0         53       2224      3.310         80
      1          0               0         56       2434      4.712         90
      1          0               0         59       2959      7.127        100
      1          0               0         47        167      0.045         10
      1          0               0         46        421      0.105         20
      1          0               0         44        676      0.203         30
      1          0               0         45        951      0.405         40
      1          0               0         59       1443      0.920         50
      1          0               0         56       1663      1.432         60
      1          0               0         57       2020      2.234         70
      1          0               0         62       2504      3.338         80
      1          0               0         63       3044      5.833         90
      1          0               0         69       3457      8.268        100
      1          0               0         35        185      0.041         10
      1          0               0         40        426      0.096         20
      1          0               0         44        716      0.209         30
      1          0               0         53       1093      0.447         40
      1          0               0         51       1314      0.986         50
      1          0               0         55       1573      1.581         60
      1          0               0         52       1701      2.137         70
      1          0               0         50       2155      3.498         80
      1          0               0         61       2892      5.784         90
      1          0               0         63       3375      7.510        100
      1          0               0         42        205      0.043         10
      1          0               0         39        444      0.093         20
      1          0               0         41        629      0.184         30
      1          0               0         45        943      0.437         40
      1          0               0         51       1278      0.713         50
      1          0               0         62       1698      1.600         60
      1          0               0         62       1952      2.488         70
      1          0               0         64       2584      3.996         80
      1          0               0         75       3281      5.811         90
      1          0               0         81       4062      8.599        100
      1          0               0         41        292      0.047         10
      1          0               0         48        533      0.119         20
      1          0               0         51        743      0.245         30
      1          0               0         53       1176      0.493         40
      1          0               0         51       1473      1.037         50
      1          0               0         66       2070      1.897         60
      1          0               0         68       2273      2.788         70
      1          0               0         75       2952      4.934         80
      1          0               0         94       3912      8.643         90
      1          0               0         98       4997     12.275        100
      1          0               0         36        267      0.040         10
      1          0               0         48        534      0.109         20
      1          0               0         48        741      0.223         30
      1          0               0         48        987      0.394         40
      1          0               0         61       1487      1.081         50
      1          0               0         61       1958      2.202         60
      1          0               0         66       2345      3.321         70
      1          0               0         68       2983      4.678         80
      1          0               0         65       3406      6.916         90
      1          0               0         69       4079      9.514        100
      1          0               0         45        218      0.046         10
      1          0               0         43        436      0.102         20
      1          0               0         44        642      0.185         30
