success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         73        272      0.079         10
      1          0               0         46        237      0.128         20
      1          0               0         90        534      0.920         30
      1          0               0         91        679      2.128         40
      1          0               0        100       1094      4.755         50
      1          0               0         69        765     10.228         60
      1          0               0         85        988     20.740         70
      1          0               0         48        710     45.174         80
      1          0               0        103       1569    151.592         90
      1          0               0         57       1212    104.985        100
      1          0               0         81        363      0.103         10
      1          0               0         67        503      0.210         20
      1          0               0         83        752      0.606         30
      1          0               0         76        774      0.955         40
      1          0               0         88       1097      2.026         50
      1          0               0         62        955      2.123         60
      1          0               0         95       1554      6.883         70
      1          0               0         87       2054     14.577         80
      1          0               0        111       3352     35.484         90
      1          0               0        114       4024     87.539        100
      1          0               0         81        245      0.102         10
      1          0               0         69        717      0.335         20
      1          0               0         83        698      0.930         30
      1          0               0         78       1016      2.909         40
      1          0               0         58        738      3.553         50
      1          0               0         66        913      8.428         60
      1          0               0         69        832     15.903         70
      1          0               0         61        934     21.888         80
      1          0               0         75       1476     55.606         90
      1          0               0         88       2023     95.091        100
      1          0               0         94        341      0.110         10
      1          0               0         57        410      0.147         20
      1          0               0         81        562      0.534         30
      1          0               0         37        423      0.465         40
      1          0               0         64        573      2.808         50
      1          0               0         71        712      4.431         60
      1          0               0         69       1039     13.055         70
      1          0               0         67       1103     18.693         80
      1          0               0         75       1427     32.806         90
      1          0               0         38        898     21.119        100
      1          0               0         34        144      0.035         10
      1          0               0         28        129      0.075         20
      1          0               0         52        479      0.439         30
      1          0               0        121       1580      2.489         40
      1          0               0         80       1178      3.449         50
      1          0               0         84       1778      8.853         60
      1          0               0         91       1767     15.825         70
      1          0               0         85       1508     27.815         80
      1          0               0         92       1888     47.909         90
      1          0               0         88       1950     68.662        100
      1          0               0         71        263      0.092         10
      1          0               0         70        375      0.208         20
      1          0               0         40        322      0.337         30
      1          0               0         76        643      1.674         40
      1          0               0         46        486      1.738         50
      1          0               0        103       1496      8.293         60
      1          0               0         63        838      8.773         70
      1          0               0         89       1488     25.372         80
      1          0               0         92       1579     80.642         90
      1          0               0         97       2711    126.996        100
      1          0               0         61        321      0.077         10
      1          0               0         52        313      0.147         20
      1          0               0         60        493      0.450         30
      1          0               0        108       1365      2.573         40
      1          0               0         45        551      2.058         50
      1          0               0         74        883     14.149         60
      1          0               0        103       1369     34.873         70
      1          0               0        113       2099     70.609         80
      1          0               0        110       2881    111.737         90
      1          0               0         64       1508     77.103        100
      1          0               0         64        175      0.071         10
      1          0               0         59        365      0.193         20
      1          0               0         51        445      0.385         30
      1          0               0         32        328      0.490         40
      1          0               0         69        844      3.514         50
      1          0               0         79        842     11.110         60
      1          0               0         87       1159     22.218         70
      1          0               0         90       1173     39.773         80
      1          0               0         95       2116     62.578         90
      1          0               0        101       2227     85.846        100
      1          0               0         75        251      0.084         10
      1          0               0         83        353      0.271         20
      1          0               0         88        547      0.644         30
      1          0               0         53        478      1.007         40
      1          0               0         98       1117      9.254         50
      1          0               0         45        552      5.086         60
      1          0               0         67        814     16.504         70
      1          0               0         99       1265     51.854         80
      1          0               0         73       1164     57.278         90
      1          0               0         64       1166     77.717        100
      1          0               0         64        283      0.084         10
      1          0               0         54        273      0.145         20
      1          0               0         55        465      0.325         30
      1          0               0         65        542      0.753         40
      1          0               0         75       1290      2.471         50
      1          0               0         67        870      9.252         60
      1          0               0         69        982     19.889         70
      1          0               0        100       2020     35.842         80
      1          0               0         74       1150     56.167         90
      1          0               0         80       1269     80.778        100
      1          0               0         69        193      0.073         10
      1          0               0         90        447      0.250         20
      1          0               0        107        921      0.760         30
      1          0               0        130       1496      1.865         40
      1          0               0        119       1872      6.968         50
      1          0               0        122       2602     14.999         60
      1          0               0        101       1964     21.957         70
      1          0               0        108       2004     39.994         80
      1          0               0         95       1978    108.099         90
      1          0               0        116       2910    167.888        100
      1          0               0         33        102      0.035         10
      1          0               0         64        375      0.166         20
      1          0               0         96        851      0.674         30
      1          0               0         72        797      1.083         40
      1          0               0        105       1239      4.097         50
      1          0               0         63        851      4.882         60
      1          0               0         72       1186     15.566         70
      1          0               0         85       1631     32.241         80
      1          0               0         70       1581     47.858         90
      1          0               0        100       2634    118.508        100
      1          0               0         23        106      0.026         10
      1          0               0         65        424      0.192         20
      1          0               0         71        493      0.470         30
      1          0               0         88       1063      1.839         40
      1          0               0         84       1201      5.344         50
      1          0               0         69        935      6.943         60
      1          0               0         95       1790     19.420         70
      1          0               0         82       1631     27.092         80
      1          0               0         63       1606     21.788         90
      1          0               0         76       1880     66.416        100
      1          0               0         21         70      0.021         10
      1          0               0         46        294      0.119         20
      1          0               0         51        503      0.319         30
      1          0               0         65        837      1.470         40
