success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         76        259      0.109         10
      1          0               0         33        137      0.049         10
      1          0               0         71        295      0.106         10
      1          0               0         50        173      0.072         10
      1          0               0         58        252      0.088         10
      1          0               0         33        131      0.049         10
      1          0               0         80        273      0.112         10
      1          0               0         80        249      0.114         10
      1          0               0         47        234      0.074         10
      1          0               0         71        263      0.104         10
      1          0               0         55        163      0.083         10
      1          0               0         58        222      0.083         10
      1          0               0         47        130      0.067         10
      1          0               0         42        194      0.064         10
      1          0               0         79        301      0.113         10
      1          0               0         36        165      0.056         10
      1          0               0         54        159      0.081         10
      1          0               0         41        202      0.064         10
      1          0               0         38        167      0.061         10
      1          0               0         68        180      0.096         10
      1          0               0         49        236      0.078         10
      1          0               0         66        323      0.093         10
      1          0               0         25         93      0.040         10
      1          0               0         73        184      0.109         10
      1          0               0         80        171      0.127         10
      1          0               0         65        285      0.108         10
      1          0               0         78        250      0.108         10
      1          0               0         59        332      0.092         10
      1          0               0         40        178      0.067         10
      1          0               0         59        233      0.093         10
      1          0               0         57        206      0.095         10
      1          0               0         54        151      0.081         10
      1          0               0         62        189      0.091         10
      1          0               0         60        250      0.089         10
      1          0               0         51        217      0.089         10
      1          0               0         76        244      0.108         10
      1          0               0         73        300      0.113         10
      1          0               0         60        171      0.091         10
      1          0               0         84        219      0.129         10
      1          0               0         29        107      0.047         10
      1          0               0         71        302      0.104         10
      1          0               0         56        171      0.081         10
      1          0               0         36        163      0.061         10
      1          0               0         28        147      0.044         10
      1          0               0         56        144      0.088         10
      1          0               0         56        159      0.079         10
      1          0               0         49        180      0.073         10
      1          0               0         75        386      0.121         10
      1          0               0         77        246      0.118         10
      1          0               0         36        143      0.052         10
      1          0               0         38        147      0.055         10
      1          0               0         49        159      0.072         10
      1          0               0         72        297      0.107         10
      1          0               0         75        268      0.108         10
      1          0               0         81        254      0.137         10
      1          0               0         58        292      0.095         10
      1          0               0         21         86      0.031         10
      1          0               0         56        305      0.090         10
      1          0               0         32        162      0.049         10
      1          0               0         26        135      0.040         10
      1          0               0         91        447      0.147         10
      1          0               0         63        240      0.090         10
      1          0               0         51        165      0.076         10
      1          0               0         64        210      0.093         10
      1          0               0         58        231      0.090         10
      1          0               0         43        130      0.066         10
      1          0               0         40        177      0.063         10
      1          0               0         58        358      0.093         10
      1          0               0         48        278      0.075         10
      1          0               0         56        223      0.081         10
      1          0               0         80        380      0.124         10
      1          0               0         52        228      0.075         10
      1          0               0         64        310      0.093         10
      1          0               0         62        198      0.096         10
      1          0               0         75        173      0.106         10
      1          0               0         60        288      0.092         10
      1          0               0         71        290      0.105         10
      1          0               0         38        224      0.058         10
      1          0               0         69        194      0.107         10
      1          0               0         24         92      0.035         10
      1          0               0         61        269      0.093         10
      1          0               0         51        222      0.090         10
      1          0               0         67        283      0.106         10
      1          0               0         66        177      0.097         10
      1          0               0         48        156      0.095         10
      1          0               0         70        316      0.105         10
      1          0               0         53        196      0.082         10
      1          0               0         89        237      0.123         10
      1          0               0         49        155      0.074         10
      1          0               0         44        251      0.067         10
      1          0               0         28        133      0.041         10
      1          0               0         65        188      0.090         10
      1          0               0         73        343      0.115         10
      1          0               0         43        210      0.068         10
      1          0               0         72        259      0.104         10
      1          0               0         34        145      0.052         10
      1          0               0         97        460      0.145         10
      1          0               0         79        226      0.112         10
      1          0               0         76        301      0.121         10
      1          0               0         48        172      0.071         10
      1          0               0         57        213      0.083         10
      1          0               0         89        267      0.124         10
      1          0               0        102        199      0.149         10
      1          0               0         32        118      0.047         10
      1          0               0         69        239      0.103         10
      1          0               0         88        304      0.124         10
      1          0               0         10         60      0.015         10
      1          0               0         62        245      0.091         10
      1          0               0         57        258      0.089         10
      1          0               0         50        282      0.080         10
      1          0               0         58        136      0.156         10
      1          0               0         60        201      0.091         10
      1          0               0         47        255      0.075         10
      1          0               0         70        248      0.101         10
      1          0               0         51        217      0.076         10
      1          0               0         51        176      0.076         10
      1          0               0         79        258      0.123         10
      1          0               0         87        286      0.125         10
      1          0               0         79        303      0.117         10
      1          0               0         86        350      0.133         10
      1          0               0         71        429      0.120         10
      1          0               0         94        285      0.132         10
      1          0               0         80        274      0.124         10
      1          0               0         68        217      0.103         10
      1          0               0         80        335      0.122         10
      1          0               0         59        204      0.100         10
      1          0               0         35        180      0.057         10
      1          0               0         39        125      0.062         10
      1          0               0        101        308      0.140         10
      1          0               0         42        285      0.068         10
      1          0               0         50        206      0.075         10
      1          0               0         26        110      0.039         10
      1          0               0         90        236      0.146         10
      1          0               0         42        144      0.060         10
      1          0               0         57        224      0.082         10
      1          0               0         66        196      0.094         10
      1          0               0         45        181      0.068         10
      1          0               0         42        203      0.071         10
      1          0               0         52        251      0.075         10
      1          0               0         47        181      0.076         10
      1          0               0        107        270      0.177         10
      1          0               0         71        258      0.106         10
      1          0               0         33        121      0.051         10
      1          0               0         74        210      0.105         10
      1          0               0         58        209      0.091         10
      1          0               0         37        167      0.057         10
      1          0               0         67        305      0.105         10
      1          0               0         77        304      0.120         10
      1          0               0         72        322      0.114         10
      1          0               0         93        360      0.131         10
      1          0               0         69        235      0.101         10
      1          0               0         74        327      0.104         10
      1          0               0         44        189      0.071         10
      1          0               0         51        229      0.082         10
      1          0               0         30        148      0.048         10
      1          0               0         59        264      0.090         10
      1          0               0         40        154      0.066         10
      1          0               0         79        296      0.128         10
      1          0               0         29        117      0.050         10
      1          0               0         82        215      0.116         10
      1          0               0         34        117      0.048         10
      1          0               0         83        353      0.135         10
      1          0               0         87        332      0.130         10
