success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        101        370      0.126         10
      1          0               0         36        173      0.043         10
      1          0               0         81        257      0.096         10
      1          0               0         63        212      0.068         10
      1          0               0         64        216      0.073         10
      1          0               0         38        176      0.043         10
      1          0               0         49        192      0.059         10
      1          0               0         88        260      0.097         10
      1          0               0         97        361      0.119         10
      1          0               0        120        392      0.158         10
      1          0               0        118        368      0.141         10
      1          0               0         61        206      0.067         10
      1          0               0         53        168      0.058         10
      1          0               0         68        218      0.084         10
      1          0               0        108        315      0.127         10
      1          0               0         48        204      0.058         10
      1          0               0        115        219      0.132         10
      1          0               0         50        237      0.061         10
      1          0               0         41        188      0.049         10
      1          0               0         54        197      0.063         10
      1          0               0         69        319      0.087         10
      1          0               0         93        370      0.106         10
      1          0               0         35        125      0.043         10
      1          0               0         86        241      0.100         10
      1          0               0         73        236      0.085         10
      1          0               0         74        320      0.092         10
      1          0               0         82        159      0.111         10
      1          0               0         89        330      0.108         10
      1          0               0         44        195      0.052         10
      1          0               0         79        356      0.104         10
      1          0               0         92        333      0.150         10
      1          0               0         37        121      0.041         10
      1          0               0         80        209      0.089         10
      1          0               0         97        320      0.105         10
      1          0               0         67        237      0.089         10
      1          0               0         81        198      0.091         10
      1          0               0         76        232      0.087         10
      1          0               0         83        297      0.097         10
      1          0               0        127        367      0.154         10
      1          0               0         35        121      0.043         10
      1          0               0         92        489      0.107         10
      1          0               0         63        214      0.069         10
      1          0               0         44        164      0.056         10
      1          0               0        102        300      0.139         10
      1          0               0         71        212      0.092         10
      1          0               0         75        186      0.083         10
      1          0               0         60        207      0.066         10
      1          0               0         88        436      0.124         10
      1          0               0         64        249      0.084         10
      1          0               0         62        181      0.070         10
      1          0               0         54        167      0.061         10
      1          0               0         53        202      0.061         10
      1          0               0         88        376      0.104         10
      1          0               0         85        340      0.103         10
      1          0               0         80        253      0.109         10
      1          0               0         53        263      0.075         10
      1          0               0         23         90      0.025         10
      1          0               0         67        212      0.078         10
      1          0               0         32        169      0.037         10
      1          0               0         32        132      0.035         10
      1          0               0        107        483      0.145         10
      1          0               0         70        269      0.080         10
      1          0               0         59        183      0.065         10
      1          0               0         68        234      0.075         10
      1          0               0         81        315      0.101         10
      1          0               0         76        212      0.088         10
      1          0               0         67        271      0.087         10
      1          0               0         98        467      0.140         10
      1          0               0         70        225      0.082         10
      1          0               0         64        191      0.076         10
      1          0               0         62        231      0.077         10
      1          0               0         58        240      0.064         10
      1          0               0         74        261      0.081         10
      1          0               0         70        202      0.079         10
      1          0               0        108        296      0.133         10
      1          0               0         91        295      0.110         10
      1          0               0         64        272      0.078         10
      1          0               0         44        223      0.050         10
      1          0               0         72        212      0.094         10
      1          0               0         26        101      0.028         10
      1          0               0         71        234      0.088         10
      1          0               0         70        269      0.096         10
      1          0               0         79        345      0.093         10
      1          0               0         79        263      0.094         10
      1          0               0         52        179      0.071         10
      1          0               0         62        299      0.072         10
      1          0               0        113        325      0.145         10
      1          0               0         95        202      0.101         10
      1          0               0        120        359      0.146         10
      1          0               0         49        275      0.056         10
      1          0               0         28        124      0.031         10
      1          0               0         75        208      0.081         10
