success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0         77        239      0.242           6.766                 1.53         10
      1          0               0         48        241      0.933           6.375                 3.24         20
      1          0               0         88        547      9.562           3.386                 9.34         30
      1          0               0         85        920     26.367           2.106                 19.3         40
      1          0               0         53        577     27.309           2.000                 26.6         50
      1          0               0         66       1002     91.176           1.909                 33.6         60
      1          0               0         62       1053    172.433           1.032                 68.9         70
      1          0               0         64        774    173.332           1.031                 78.8         80
      1          0               0         96       1428    568.495           1.021                 89.1         90
      1          0               0         71       1217    582.813           1.028                 98.6        100
      1          0               0         88        333      0.364           6.080                 1.67         10
      1          0               0         93        477      2.141           4.570                 4.84         20
      1          0               0         73        497      6.420           4.918                 6.28         30
      1          0               0         73        611     19.198           3.479                 12.2         40
      1          0               0         66        570     55.424           2.409                 23.5         50
      1          0               0         32        466     55.047           1.719                 38.4         60
      1          0               0         65        891    177.629           1.646                 47.4         70
      1          0               0         68        841    269.011           1.824                 47.1         80
      1          0               0         84       1715    509.676           1.000                 90.0         90
      1          0               0         98       2000    763.686           1.000                1e+02        100
      1          0               0         44        199      0.187           6.250                 1.65         10
      1          0               0         36        234      0.769           8.306                 2.48         20
      1          0               0         60        416      5.638           6.117                 5.16         30
      1          0               0         91        708     26.084           4.275                 9.71         40
      1          0               0         70        825     48.463           2.629                 20.1         50
      1          0               0         54        577     69.580           1.000                 60.0         60
      1          0               0         92        747    140.478           1.000                 70.0         70
      1          0               0         30        438     66.938           1.000                 80.0         80
      1          0               0         61        717    196.744           1.000                 90.0         90
      1          0               0         50        701    222.879           1.000                1e+02        100
      1          0               0         98        327      0.217           6.408                 1.63         10
      1          0               0         85        475      0.815           7.894                  2.6         20
      1          0               0        103        912      5.826           5.689                 5.42         30
      1          0               0         93       1102     38.267           3.419                 12.6         40
      1          0               0         84       1408     73.193           2.869                 20.8         50
      1          0               0         87       1302    130.783           1.046                 59.1         60
      1          0               0         91       1546    259.748           1.000                 70.0         70
      1          0               0        106       2282    334.268           1.000                 80.0         80
      1          0               0         77       2119    457.430           1.000                 90.0         90
      1          0               0         67       1454    553.699           1.000                1e+02        100
      1          0               0         64        157      0.280           6.281                  1.6         10
      1          0               0         64        482      1.395           8.344                 2.48         20
      1          0               0         67        607      9.009           5.015                 6.25         30
      1          0               0         46        509     15.396           3.543                 12.3         40
      1          0               0         34        497     29.682           2.059                 26.8         50
      1          0               0         73        930    131.259           1.123                 56.3         60
      1          0               0         64       1115    121.642           1.125                 65.6         70
      1          0               0         63       1042    143.457           1.048                 78.1         80
      1          0               0         60       1022    220.860           1.017                 89.2         90
      1          0               0         67       1053    350.302           1.000                1e+02        100
      1          0               0         58        271      0.126           6.086                 1.66         10
      1          0               0        102        534      1.747           5.353                 3.93         20
      1          0               0         83        526      5.403           4.024                 8.21         30
      1          0               0         41        396      8.664           2.171                 23.2         40
      1          0               0         43        440     36.336           1.674                 33.5         50
      1          0               0         44        582     79.619           1.000                 60.0         60
      1          0               0         62        967    129.824           1.000                 70.0         70
      1          0               0         52        763    217.308           1.000                 80.0         80
      1          0               0         73        737    402.003           1.000                 90.0         90
      1          0               0         75       1056    585.511           1.000                1e+02        100
      1          0               0         52        200      0.215           5.885                 1.72         10
      1          0               0         64        383      1.549           6.516                 3.17         20
      1          0               0         71        507      9.428           3.690                 8.67         30
      1          0               0         62        800     22.440           1.532                 31.3         40
      1          0               0         58        868     31.050           1.759                 33.9         50
      1          0               0         70        920     67.763           1.257                 52.9         60
      1          0               0         66       1379    101.706           1.348                 57.8         70
      1          0               0         67       1592    257.135           1.164                 73.4         80
      1          0               0         86       1657    499.730           1.256                 78.5         90
      1          0               0         70       1807    440.095           1.114                 94.3        100
      1          0               0        142        722      0.598           5.634                 1.83         10
      1          0               0         94        775      1.433           8.915                 2.26         20
      1          0               0         97       1020     10.177           5.000                 6.33         30
      1          0               0         78       1054     19.564           4.462                 9.28         40
      1          0               0         89       1377     59.137           2.865                 18.8         50
      1          0               0         84       1140    113.426           1.714                 38.8         60
      1          0               0         65        995    162.606           1.508                 52.2         70
      1          0               0         79       1580    164.501           1.456                 61.8         80
      1          0               0         97       1592    318.247           1.000                 90.0         90
      1          0               0         52       1129    338.981           1.000                1e+02        100
      1          0               0        137        518      0.623           5.679                  1.8         10
      1          0               0         64        409      1.966           4.141                 5.17         20
      1          0               0         89        711     16.014           2.483                 13.0         30
      1          0               0         90        877     33.627           2.611                 16.4         40
      1          0               0         78       1247     66.966           2.474                 21.7         50
      1          0               0         46        716     51.536           1.957                 31.7         60
      1          0               0         89       1398    181.366           1.056                 68.0         70
      1          0               0         94       1554    229.287           1.021                 79.1         80
      1          0               0         94       1659    344.976           1.011                 89.5         90
      1          0               0         74       1263    398.034           1.000                1e+02        100
      1          0               0         48        199      0.191           6.354                  1.6         10
      1          0               0        137        627      3.783           4.737                 4.38         20
      1          0               0        101        664     18.402           2.604                 13.4         30
      1          0               0         93        808     40.144           2.441                 17.8         40
      1          0               0         69        828     73.246           1.101                 47.5         50
      1          0               0         59        759    100.777           1.085                 57.5         60
      1          0               0         76       1273    127.831           1.000                 70.0         70
      1          0               0         64       1041    155.269           1.000                 80.0         80
      1          0               0         33        614    140.494           1.000                 90.0         90
      1          0               0         47        934    356.215           1.000                1e+02        100
      1          0               0         91        503      0.398           5.769                 1.77         10
      1          0               0        121        524      3.607           4.074                 5.05         20
      1          0               0         53        417      5.711           4.283                 7.22         30
      1          0               0         69        829     18.857           4.841                 9.14         40
      1          0               0         82        872     47.587           3.598                 16.8         50
      1          0               0         99       1324    155.282           1.101                 57.2         60
      1          0               0         90       1505    252.134           1.056                 68.1         70
      1          0               0         62       1311    262.509           1.000                 80.0         80
      1          0               0         56       1107    248.144           1.000                 90.0         90
      1          0               0         73       1416    464.723           1.000                1e+02        100
      1          0               0        114        412      0.279           4.982                 2.09         10
      1          0               0         72        614      0.922           6.889                 2.99         20
      1          0               0         69        589      3.209           5.884                 5.28         30
