success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         43        269      0.042         10
      1          0               0         46        267      0.042         10
      1          0               0         37        242      0.033         10
      1          0               0         30        153      0.027         10
      1          0               0         47        268      0.044         10
      1          0               0         32        183      0.028         10
      1          0               0         39        255      0.036         10
      1          0               0         31        201      0.028         10
      1          0               0         29        231      0.027         10
      1          0               0         34        267      0.034         10
      1          0               0         46        285      0.042         10
      1          0               0         35        202      0.033         10
      1          0               0         31        185      0.028         10
      1          0               0         50        258      0.046         10
      1          0               0         38        216      0.036         10
      1          0               0         35        194      0.031         10
      1          0               0         23        174      0.021         10
      1          0               0         37        245      0.033         10
      1          0               0         45        291      0.041         10
      1          0               0         33        191      0.030         10
      1          0               0         42        227      0.056         10
      1          0               0         36        240      0.034         10
      1          0               0         38        179      0.037         10
      1          0               0         40        227      0.037         10
      1          0               0         34        204      0.031         10
      1          0               0         59        293      0.052         10
      1          0               0         36        213      0.032         10
      1          0               0         40        264      0.038         10
      1          0               0         46        224      0.042         10
      1          0               0         29        186      0.026         10
      1          0               0         29        168      0.026         10
      1          0               0         41        236      0.037         10
      1          0               0         41        226      0.037         10
      1          0               0         35        201      0.031         10
      1          0               0         30        200      0.029         10
      1          0               0         31        154      0.033         10
      1          0               0         38        218      0.034         10
      1          0               0         40        232      0.036         10
      1          0               0         34        212      0.031         10
      1          0               0         45        277      0.040         10
      1          0               0         33        230      0.032         10
      1          0               0         38        219      0.034         10
      1          0               0         39        244      0.035         10
      1          0               0         40        226      0.038         10
      1          0               0         42        232      0.040         10
      1          0               0         36        189      0.032         10
      1          0               0         42        246      0.039         10
      1          0               0         33        184      0.030         10
      1          0               0         33        188      0.029         10
      1          0               0         39        225      0.036         10
      1          0               0         33        234      0.029         10
      1          0               0         30        175      0.029         10
      1          0               0         38        185      0.034         10
      1          0               0         30        176      0.027         10
      1          0               0         49        254      0.044         10
      1          0               0         38        204      0.035         10
      1          0               0         31        206      0.028         10
      1          0               0         34        223      0.031         10
      1          0               0         33        210      0.029         10
      1          0               0         37        224      0.034         10
      1          0               0         39        260      0.036         10
      1          0               0         37        260      0.036         10
      1          0               0         34        174      0.033         10
      1          0               0         47        290      0.047         10
      1          0               0         41        254      0.037         10
      1          0               0         38        242      0.035         10
      1          0               0         37        218      0.036         10
      1          0               0         36        201      0.032         10
      1          0               0         52        237      0.045         10
      1          0               0         35        270      0.034         10
      1          0               0         35        223      0.033         10
      1          0               0         34        250      0.031         10
      1          0               0         33        222      0.031         10
      1          0               0         41        253      0.039         10
      1          0               0         31        157      0.028         10
      1          0               0         36        248      0.035         10
      1          0               0         44        251      0.039         10
      1          0               0         44        244      0.041         10
      1          0               0         29        149      0.027         10
      1          0               0         44        267      0.039         10
      1          0               0         36        213      0.035         10
      1          0               0         43        209      0.039         10
      1          0               0         42        206      0.037         10
      1          0               0         51        324      0.046         10
      1          0               0         39        223      0.040         10
      1          0               0         37        156      0.034         10
      1          0               0         39        211      0.036         10
      1          0               0         43        262      0.041         10
      1          0               0         28        189      0.026         10
      1          0               0         46        220      0.041         10
      1          0               0         43        189      0.038         10
      1          0               0         40        253      0.039         10
      1          0               0         42        263      0.042         10
      1          0               0         28        177      0.038         10
      1          0               0         57        317      0.051         10
      1          0               0         40        171      0.035         10
      1          0               0         26        153      0.024         10
      1          0               0         40        224      0.037         10
      1          0               0         47        238      0.042         10
      1          0               0         33        227      0.030         10
      1          0               0         40        247      0.035         10
      1          0               0         35        147      0.031         10
      1          0               0         46        302      0.041         10
      1          0               0         40        214      0.037         10
      1          0               0         44        224      0.039         10
      1          0               0         32        229      0.031         10
      1          0               0         31        202      0.030         10
      1          0               0         37        214      0.034         10
      1          0               0         46        257      0.041         10
      1          0               0         46        219      0.042         10
      1          0               0         43        253      0.040         10
      1          0               0         42        274      0.040         10
      1          0               0         31        201      0.029         10
      1          0               0         33        209      0.030         10
      1          0               0         29        209      0.026         10
      1          0               0         35        195      0.036         10
      1          0               0         46        267      0.046         10
      1          0               0         35        218      0.037         10
      1          0               0         37        183      0.038         10
      1          0               0         30        167      0.029         10
      1          0               0         42        210      0.041         10
      1          0               0         34        193      0.033         10
      1          0               0         44        232      0.043         10
      1          0               0         42        273      0.043         10
      1          0               0         41        214      0.039         10
      1          0               0         30        190      0.031         10
      1          0               0         32        214      0.031         10
      1          0               0         39        237      0.039         10
      1          0               0         39        185      0.038         10
      1          0               0         37        229      0.037         10
      1          0               0         36        172      0.035         10
      1          0               0         35        200      0.034         10
      1          0               0         35        243      0.035         10
      1          0               0         32        184      0.031         10
      1          0               0         42        194      0.040         10
      1          0               0         27        173      0.026         10
      1          0               0         29        185      0.029         10
      1          0               0         35        185      0.036         10
      1          0               0         46        267      0.045         10
      1          0               0         30        156      0.029         10
      1          0               0         46        240      0.044         10
      1          0               0         38        195      0.037         10
      1          0               0         49        258      0.048         10
      1          0               0         42        238      0.044         10
      1          0               0         38        182      0.038         10
      1          0               0         38        208      0.036         10
      1          0               0         34        187      0.031         10
      1          0               0         47        249      0.044         10
      1          0               0         34        190      0.034         10
      1          0               0         36        205      0.035         10
      1          0               0         40        223      0.039         10
      1          0               0         41        212      0.040         10
      1          0               0         41        273      0.044         10
      1          0               0         36        208      0.036         10
      1          0               0         37        177      0.035         10
      1          0               0         28        212      0.027         10
      1          0               0         41        173      0.039         10
      1          0               0         41        209      0.040         10
      1          0               0         46        244      0.044         10
      1          0               0         46        288      0.044         10
      1          0               0         48        303      0.047         10
      1          0               0         40        249      0.039         10
      1          0               0         48        239      0.044         10
      1          0               0         41        215      0.041         10
      1          0               0         50        294      0.050         10
      1          0               0         39        296      0.037         10
      1          0               0         36        207      0.037         10
      1          0               0         40        238      0.041         10
      1          0               0         48        235      0.045         10
      1          0               0         34        213      0.032         10
      1          0               0         51        279      0.049         10
      1          0               0         52        211      0.048         10
      1          0               0         39        264      0.037         10
      1          0               0         30        189      0.029         10
      1          0               0         41        194      0.041         10
      1          0               0         43        259      0.043         10
      1          0               0         41        276      0.041         10
      1          0               0         35        237      0.034         10
      1          0               0         28        216      0.027         10
      1          0               0         34        221      0.035         10
      1          0               0         50        256      0.046         10
      1          0               0         37        256      0.036         10
      1          0               0         45        189      0.043         10
      1          0               0         44        257      0.042         10
      1          0               0         33        221      0.033         10
      1          0               0         45        174      0.044         10
      1          0               0         44        234      0.042         10
      1          0               0         42        297      0.040         10
      1          0               0         41        174      0.039         10
      1          0               0         37        209      0.038         10
      1          0               0         43        220      0.041         10
      1          0               0         32        229      0.032         10
      1          0               0         40        224      0.039         10
      1          0               0         40        202      0.038         10
      1          0               0         52        295      0.051         10
      1          0               0         37        219      0.036         10
      1          0               0         35        220      0.035         10
      1          0               0         34        207      0.033         10
      1          0               0         38        243      0.038         10
      1          0               0         40        248      0.038         10
      1          0               0         41        209      0.039         10
      1          0               0         36        218      0.033         10
      1          0               0         44        167      0.047         10
      1          0               0         34        222      0.038         10
      1          0               0         44        281      0.048         10
      1          0               0         35        195      0.033         10
      1          0               0         41        269      0.038         10
      1          0               0         44        274      0.043         10
      1          0               0         54        215      0.054         10
      1          0               0         40        206      0.039         10
      1          0               0         42        260      0.040         10
      1          0               0         25        185      0.025         10
      1          0               0         35        191      0.035         10
      1          0               0         47        261      0.046         10
      1          0               0         36        262      0.036         10
      1          0               0         32        177      0.031         10
      1          0               0         41        233      0.039         10
      1          0               0         33        233      0.033         10
      1          0               0         45        229      0.043         10
      1          0               0         35        216      0.034         10
      1          0               0         46        273      0.044         10
      1          0               0         40        231      0.042         10
      1          0               0         42        228      0.042         10
      1          0               0         46        274      0.045         10
      1          0               0         36        230      0.035         10
      1          0               0         25        149      0.025         10
      1          0               0         38        220      0.037         10
      1          0               0         51        197      0.047         10
      1          0               0         37        191      0.036         10
      1          0               0         41        220      0.040         10
      1          0               0         41        198      0.040         10
      1          0               0         38        207      0.036         10
      1          0               0         39        206      0.038         10
      1          0               0         43        253      0.043         10
      1          0               0         45        274      0.044         10
      1          0               0         42        205      0.040         10
      1          0               0         39        210      0.038         10
      1          0               0         46        234      0.043         10
      1          0               0         45        233      0.045         10
      1          0               0         49        207      0.048         10
      1          0               0         43        171      0.042         10
      1          0               0         34        213      0.034         10
      1          0               0         37        227      0.035         10
      1          0               0         44        194      0.042         10
      1          0               0         24        180      0.024         10
      1          0               0         24        125      0.023         10
      1          0               0         52        247      0.051         10
      1          0               0         47        284      0.046         10
      1          0               0         31        234      0.032         10
      1          0               0         37        183      0.036         10
      1          0               0         43        499      0.081         20
      1          0               0         44        410      0.096         20
      1          0               0         39        473      0.076         20
      1          0               0         37        330      0.068         20
      1          0               0         45        443      0.083         20
      1          0               0         49        421      0.091         20
      1          0               0         39        417      0.085         20
      1          0               0         47        426      0.093         20
      1          0               0         41        510      0.080         20
      1          0               0         36        480      0.069         20
      1          0               0         46        546      0.089         20
      1          0               0         36        462      0.069         20
      1          0               0         44        443      0.086         20
      1          0               0         50        460      0.098         20
      1          0               0         39        431      0.075         20
      1          0               0         40        466      0.080         20
      1          0               0         34        378      0.070         20
      1          0               0         48        531      0.097         20
      1          0               0         45        499      0.088         20
      1          0               0         49        424      0.094         20
      1          0               0         43        406      0.085         20
      1          0               0         44        476      0.089         20
      1          0               0         56        528      0.113         20
      1          0               0         46        487      0.093         20
      1          0               0         36        437      0.073         20
      1          0               0         58        532      0.113         20
      1          0               0         36        437      0.073         20
      1          0               0         45        487      0.092         20
      1          0               0         48        436      0.091         20
      1          0               0         37        425      0.072         20
      1          0               0         45        425      0.088         20
      1          0               0         42        389      0.080         20
      1          0               0         54        526      0.102         20
      1          0               0         40        458      0.075         20
      1          0               0         39        418      0.072         20
      1          0               0         33        380      0.061         20
      1          0               0         38        426      0.071         20
      1          0               0         47        492      0.085         20
      1          0               0         43        530      0.086         20
      1          0               0         49        574      0.092         20
      1          0               0         35        387      0.067         20
      1          0               0         42        452      0.077         20
      1          0               0         42        475      0.077         20
      1          0               0         43        503      0.083         20
      1          0               0         42        425      0.079         20
      1          0               0         36        375      0.067         20
      1          0               0         42        465      0.083         20
      1          0               0         36        416      0.068         20
      1          0               0         33        402      0.062         20
      1          0               0         52        549      0.096         20
      1          0               0         36        428      0.067         20
      1          0               0         39        435      0.077         20
      1          0               0         44        435      0.084         20
      1          0               0         39        372      0.075         20
      1          0               0         49        496      0.095         20
      1          0               0         50        425      0.093         20
      1          0               0         42        458      0.077         20
      1          0               0         36        473      0.068         20
      1          0               0         44        457      0.081         20
      1          0               0         38        438      0.075         20
      1          0               0         39        510      0.084         20
      1          0               0         41        509      0.089         20
      1          0               0         37        412      0.082         20
      1          0               0         46        510      0.099         20
      1          0               0         42        455      0.086         20
      1          0               0         38        450      0.111         20
      1          0               0         41        464      0.090         20
      1          0               0         46        447      0.094         20
      1          0               0         53        409      0.105         20
      1          0               0         46        564      0.100         20
      1          0               0         39        448      0.085         20
      1          0               0         35        467      0.077         20
      1          0               0         33        431      0.073         20
      1          0               0         49        548      0.112         20
      1          0               0         31        326      0.060         20
      1          0               0         37        470      0.080         20
      1          0               0         44        444      0.085         20
      1          0               0         45        477      0.096         20
      1          0               0         32        358      0.064         20
      1          0               0         44        525      0.086         20
      1          0               0         51        442      0.096         20
      1          0               0         43        439      0.081         20
      1          0               0         43        474      0.082         20
      1          0               0         51        566      0.096         20
      1          0               0         38        436      0.071         20
      1          0               0         37        368      0.067         20
      1          0               0         38        481      0.073         20
      1          0               0         43        455      0.085         20
      1          0               0         48        495      0.093         20
      1          0               0         46        429      0.083         20
      1          0               0         43        374      0.079         20
      1          0               0         40        494      0.076         20
      1          0               0         42        477      0.081         20
      1          0               0         45        411      0.085         20
      1          0               0         57        504      0.106         20
      1          0               0         40        407      0.076         20
      1          0               0         54        369      0.098         20
      1          0               0         42        482      0.081         20
      1          0               0         46        507      0.086         20
      1          0               0         38        413      0.073         20
      1          0               0         48        521      0.091         20
      1          0               0         43        344      0.081         20
      1          0               0         47        581      0.091         20
      1          0               0         40        386      0.081         20
      1          0               0         44        402      0.087         20
      1          0               0         38        492      0.074         20
      1          0               0         38        377      0.069         20
      1          0               0         44        507      0.092         20
      1          0               0         45        460      0.085         20
      1          0               0         46        379      0.086         20
      1          0               0         43        454      0.082         20
      1          0               0         43        469      0.082         20
      1          0               0         37        406      0.073         20
      1          0               0         39        482      0.076         20
      1          0               0         48        476      0.090         20
      1          0               0         36        410      0.070         20
      1          0               0         47        566      0.090         20
      1          0               0         48        490      0.090         20
      1          0               0         43        518      0.084         20
      1          0               0         36        384      0.068         20
      1          0               0         46        376      0.091         20
      1          0               0         39        405      0.084         20
      1          0               0         43        436      0.086         20
      1          0               0         50        536      0.100         20
      1          0               0         46        439      0.091         20
      1          0               0         49        436      0.109         20
      1          0               0         32        455      0.068         20
      1          0               0         39        474      0.082         20
      1          0               0         40        401      0.082         20
      1          0               0         52        531      0.103         20
      1          0               0         36        412      0.071         20
      1          0               0         38        393      0.074         20
      1          0               0         37        480      0.080         20
      1          0               0         47        474      0.094         20
      1          0               0         45        417      0.092         20
      1          0               0         31        349      0.062         20
      1          0               0         29        368      0.059         20
      1          0               0         51        442      0.098         20
      1          0               0         45        503      0.134         20
      1          0               0         44        437      0.086         20
      1          0               0         46        539      0.090         20
      1          0               0         42        390      0.077         20
      1          0               0         49        479      0.090         20
      1          0               0         43        455      0.084         20
      1          0               0         39        469      0.076         20
      1          0               0         58        448      0.106         20
      1          0               0         38        417      0.071         20
      1          0               0         47        491      0.089         20
      1          0               0         49        465      0.094         20
      1          0               0         38        428      0.073         20
      1          0               0         48        484      0.093         20
      1          0               0         41        444      0.078         20
      1          0               0         40        478      0.080         20
      1          0               0         47        466      0.089         20
      1          0               0         37        354      0.070         20
      1          0               0         43        432      0.078         20
      1          0               0         40        346      0.072         20
      1          0               0         42        466      0.080         20
      1          0               0         46        528      0.089         20
      1          0               0         46        464      0.088         20
      1          0               0         46        574      0.095         20
      1          0               0         40        471      0.077         20
      1          0               0         47        493      0.088         20
      1          0               0         42        460      0.082         20
      1          0               0         50        469      0.091         20
      1          0               0         38        526      0.076         20
      1          0               0         53        471      0.098         20
      1          0               0         40        536      0.082         20
      1          0               0         48        445      0.090         20
      1          0               0         35        462      0.068         20
      1          0               0         51        535      0.097         20
      1          0               0         51        442      0.099         20
      1          0               0         54        521      0.101         20
      1          0               0         41        394      0.078         20
      1          0               0         40        386      0.075         20
      1          0               0         57        607      0.108         20
      1          0               0         42        501      0.085         20
      1          0               0         42        469      0.083         20
      1          0               0         47        418      0.089         20
      1          0               0         40        394      0.076         20
      1          0               0         50        466      0.093         20
      1          0               0         36        461      0.072         20
      1          0               0         46        447      0.084         20
      1          0               0         48        490      0.092         20
      1          0               0         52        500      0.100         20
      1          0               0         45        383      0.089         20
