success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         42        243      0.040         10
      1          0               0         48        581      0.097         20
      1          0               0         49        838      0.151         30
      1          0               0         51       1077      0.239         40
      1          0               0         47       1369      0.299         50
      1          0               0         46       1695      0.386         60
      1          0               0         51       2039      0.610         70
      1          0               0         53       2359      0.813         80
      1          0               0         56       2657      1.374         90
      1          0               0         64       3157      1.978        100
      1          0               0         47        247      0.043         10
      1          0               0         49        468      0.090         20
      1          0               0         48        736      0.133         30
      1          0               0         48        973      0.196         40
      1          0               0         48       1211      0.305         50
      1          0               0         51       1507      0.400         60
      1          0               0         49       1912      0.576         70
      1          0               0         58       2301      0.883         80
      1          0               0         56       2690      1.239         90
      1          0               0         52       2906      1.522        100
      1          0               0         40        277      0.038         10
      1          0               0         41        550      0.081         20
      1          0               0         42        804      0.125         30
      1          0               0         41       1052      0.191         40
      1          0               0         41       1323      0.281         50
      1          0               0         42       1616      0.357         60
      1          0               0         42       1863      0.482         70
      1          0               0         56       2295      0.833         80
      1          0               0         56       2553      1.167         90
      1          0               0         57       2818      1.484        100
      1          0               0         37        241      0.034         10
      1          0               0         41        492      0.076         20
      1          0               0         47        813      0.131         30
      1          0               0         45       1063      0.197         40
      1          0               0         45       1372      0.295         50
      1          0               0         47       1663      0.367         60
      1          0               0         50       2103      0.543         70
      1          0               0         51       2453      0.786         80
      1          0               0         49       2779      1.210         90
      1          0               0         56       3064      1.767        100
      1          0               0         37        268      0.036         10
      1          0               0         46        570      0.085         20
      1          0               0         46        899      0.132         30
      1          0               0         47       1159      0.192         40
      1          0               0         47       1526      0.268         50
      1          0               0         47       1863      0.374         60
      1          0               0         50       2168      0.592         70
      1          0               0         48       2470      0.785         80
      1          0               0         52       2817      1.064         90
      1          0               0         56       3151      1.595        100
      1          0               0         48        274      0.045         10
      1          0               0         49        584      0.092         20
      1          0               0         49        872      0.145         30
      1          0               0         48       1151      0.194         40
      1          0               0         46       1379      0.260         50
      1          0               0         55       1798      0.450         60
      1          0               0         55       2133      0.665         70
      1          0               0         53       2428      0.819         80
      1          0               0         52       2743      1.203         90
      1          0               0         53       3115      1.684        100
      1          0               0         44        267      0.041         10
      1          0               0         44        521      0.081         20
      1          0               0         45        789      0.133         30
      1          0               0         42       1085      0.174         40
      1          0               0         48       1348      0.317         50
      1          0               0         49       1755      0.390         60
      1          0               0         52       2035      0.545         70
      1          0               0         53       2457      0.765         80
      1          0               0         51       2780      1.028         90
      1          0               0         55       3101      1.624        100
      1          0               0         48        289      0.043         10
      1          0               0         48        553      0.084         20
      1          0               0         47        808      0.135         30
      1          0               0         51       1114      0.216         40
      1          0               0         49       1458      0.282         50
      1          0               0         49       1761      0.390         60
      1          0               0         57       2095      0.599         70
      1          0               0         57       2431      0.915         80
      1          0               0         55       2635      1.291         90
      1          0               0         57       2998      1.591        100
      1          0               0         41        288      0.038         10
      1          0               0         40        557      0.116         20
      1          0               0         44        842      0.132         30
      1          0               0         51       1148      0.229         40
      1          0               0         53       1485      0.357         50
      1          0               0         56       1778      0.539         60
      1          0               0         53       2135      0.661         70
      1          0               0         53       2552      0.901         80
      1          0               0         53       2838      1.237         90
      1          0               0         52       3185      1.554        100
      1          0               0         51        304      0.047         10
      1          0               0         51        540      0.097         20
      1          0               0         50        885      0.172         30
      1          0               0         55       1153      0.262         40
      1          0               0         54       1428      0.346         50
      1          0               0         53       1702      0.450         60
      1          0               0         55       2067      0.639         70
      1          0               0         56       2288      0.841         80
      1          0               0         54       2501      1.071         90
      1          0               0         57       2901      1.585        100
      1          0               0         46        276      0.046         10
      1          0               0         46        500      0.090         20
      1          0               0         56        846      0.176         30
      1          0               0         55       1155      0.241         40
      1          0               0         55       1433      0.331         50
      1          0               0         55       1823      0.436         60
      1          0               0         56       2130      0.583         70
      1          0               0         57       2447      0.845         80
      1          0               0         58       2771      1.305         90
      1          0               0         56       3070      1.720        100
      1          0               0         49        317      0.047         10
      1          0               0         49        589      0.100         20
      1          0               0         48        887      0.157         30
      1          0               0         48       1112      0.221         40
      1          0               0         55       1487      0.378         50
      1          0               0         53       1712      0.441         60
      1          0               0         51       2008      0.586         70
      1          0               0         53       2294      0.720         80
      1          0               0         53       2638      0.927         90
      1          0               0         52       3073      1.385        100
      1          0               0         43        270      0.042         10
      1          0               0         42        541      0.086         20
      1          0               0         49        835      0.161         30
      1          0               0         51       1161      0.241         40
      1          0               0         51       1482      0.316         50
      1          0               0         49       1786      0.428         60
      1          0               0         51       2129      0.635         70
      1          0               0         54       2407      0.819         80
      1          0               0         56       2676      1.064         90
      1          0               0         54       3110      1.440        100
      1          0               0         45        294      0.047         10
