success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        246        843      0.286         10
      1          0               0        100        483      0.123         10
      1          0               0         94        439      0.119         10
      1          0               0        339        950      0.392         10
      1          0               0        198        574      0.234         10
      1          0               0        288        987      0.336         10
      1          0               0        235        571      0.282         10
      1          0               0        182        999      0.228         10
      1          0               0        237        956      0.273         10
      1          0               0        247        804      0.282         10
      1          0               0        201        993      0.234         10
      1          0               0        243       1556      0.287         10
      1          0               0        200        733      0.245         10
      1          0               0        111        551      0.145         10
      1          0               0        257       1625      0.313         10
      1          0               0        215        861      0.243         10
      1          0               0         91        289      0.105         10
      1          0               0        249        741      0.283         10
      1          0               0        187        442      0.211         10
      1          0               0         88        405      0.103         10
      1          0               0        167        736      0.197         10
      1          0               0         92        288      0.106         10
      1          0               0        274        753      0.309         10
      1          0               0        222        748      0.252         10
      1          0               0        262        769      0.296         10
      1          0               0        283       1014      0.321         10
      1          0               0        153        557      0.186         10
      1          0               0        230        856      0.261         10
      1          0               0        196        992      0.233         10
      1          0               0        185        549      0.226         10
      1          0               0        232       1164      0.283         10
      1          0               0        209        910      0.262         10
      1          0               0        283        900      0.329         10
      1          0               0        122        549      0.154         10
      1          0               0        156        648      0.189         10
      1          0               0        216       1045      0.273         10
      1          0               0        253        892      0.293         10
      1          0               0        276        783      0.314         10
      1          0               0        214       1240      0.258         10
      1          0               0        188        643      0.218         10
      1          0               0        252       1295      0.294         10
      1          0               0        228        616      0.263         10
      1          0               0        195        724      0.224         10
      1          0               0        174        680      0.203         10
      1          0               0        235        699      0.265         10
      1          0               0        210        726      0.267         10
      1          0               0        112        628      0.130         10
      1          0               0        279        921      0.320         10
      1          0               0        183        857      0.210         10
      1          0               0        339        946      0.379         10
      1          0               0        200        498      0.230         10
      1          0               0        251       1295      0.284         10
      1          0               0         89        534      0.105         10
      1          0               0        215        728      0.248         10
      1          0               0        231       1139      0.274         10
      1          0               0        284        880      0.344         10
      1          0               0        136        603      0.167         10
      1          0               0        192        507      0.219         10
      1          0               0        237       1082      0.295         10
      1          0               0        324        947      0.372         10
      1          0               0        249        926      0.285         10
      1          0               0        139        429      0.158         10
      1          0               0        196        956      0.232         10
      1          0               0        220       1111      0.265         10
      1          0               0        322       1244      0.387         10
      1          0               0        244        805      0.275         10
      1          0               0        258        966      0.296         10
      1          0               0        150        287      0.180         10
      1          0               0        266        512      0.303         10
      1          0               0        201        539      0.227         10
      1          0               0        221        516      0.262         10
      1          0               0        104        432      0.121         10
      1          0               0        239        745      0.275         10
      1          0               0        284        961      0.357         10
      1          0               0        103        391      0.122         10
      1          0               0        247        764      0.300         10
      1          0               0        175        754      0.215         10
      1          0               0         92        318      0.105         10
      1          0               0        152        659      0.193         10
      1          0               0         94        264      0.105         10
      1          0               0        233        958      0.266         10
      1          0               0        252        826      0.286         10
      1          0               0        246        838      0.279         10
      1          0               0        104        441      0.123         10
      1          0               0        239        994      0.276         10
      1          0               0        271        492      0.308         10
      1          0               0        260        698      0.292         10
      1          0               0        135        534      0.153         10
      1          0               0        306        689      0.350         10
      1          0               0        194        913      0.223         10
      1          0               0        297        490      0.331         10
      1          0               0        321       1514      0.373         10
      1          0               0        194        434      0.231         10
      1          0               0        248        690      0.318         10
      1          0               0        127        428      0.157         10
      1          0               0        154        526      0.174         10
      1          0               0        117        409      0.134         10
      1          0               0        237        697      0.288         10
      1          0               0        157        672      0.188         10
      1          0               0        184        972      0.252         10
      1          0               0        268        697      0.321         10
      1          0               0        162        407      0.181         10
      1          0               0         93        355      0.112         10
      1          0               0        198       1258      0.234         10
      1          0               0        302       1527      0.343         10
      1          0               0        133        367      0.150         10
      1          0               0        104        278      0.119         10
      1          0               0        336       1338      0.385         10
      1          0               0         88        288      0.103         10
      1          0               0        149        625      0.169         10
      1          0               0        118        555      0.142         10
      1          0               0        125        538      0.151         10
      1          0               0        232        838      0.292         10
      1          0               0        288        795      0.330         10
      1          0               0        219        898      0.250         10
      1          0               0        329        596      0.368         10
      1          0               0        289       1028      0.325         10
      1          0               0        215        956      0.255         10
      1          0               0        113        428      0.139         10
      1          0               0        210        909      0.251         10
      1          0               0        218        730      0.267         10
      1          0               0        284        636      0.333         10
      1          0               0        111        356      0.131         10
      1          0               0        339       1024      0.380         10
      1          0               0        237        900      0.270         10
      1          0               0        314        915      0.357         10
      1          0               0        316       1549      0.360         10
      1          0               0        196       1033      0.224         10
      1          0               0        135        521      0.154         10
      1          0               0         90        361      0.103         10
      1          0               0        237        892      0.273         10
      1          0               0        208        817      0.251         10
