success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        261        871      0.255         10
      1          0               0        365       1324      0.346         10
      1          0               0        115        444      0.106         10
      1          0               0        335       1191      0.307         10
      1          0               0        181        571      0.159         10
      1          0               0        360       1569      0.332         10
      1          0               0        244        462      0.231         10
      1          0               0        238       1187      0.238         10
      1          0               0        249        948      0.231         10
      1          0               0        277        879      0.254         10
      1          0               0        217        960      0.188         10
      1          0               0        182        959      0.171         10
      1          0               0        333        834      0.318         10
      1          0               0        113        537      0.105         10
      1          0               0        245       1258      0.242         10
      1          0               0        251        924      0.227         10
      1          0               0        223        462      0.191         10
      1          0               0        278        843      0.254         10
      1          0               0        197        510      0.169         10
      1          0               0         92        444      0.082         10
      1          0               0        177        840      0.168         10
      1          0               0        268        622      0.241         10
      1          0               0        316        809      0.286         10
      1          0               0        265       1020      0.239         10
      1          0               0        304        926      0.273         10
      1          0               0        329       1045      0.300         10
      1          0               0        161        418      0.144         10
      1          0               0        240        553      0.209         10
      1          0               0        224        683      0.209         10
      1          0               0        164        449      0.156         10
      1          0               0        244       1131      0.230         10
      1          0               0        218       1033      0.222         10
      1          0               0        322       1424      0.304         10
      1          0               0        143        409      0.126         10
      1          0               0        186        706      0.175         10
      1          0               0        282       1151      0.274         10
      1          0               0        280        837      0.245         10
      1          0               0        363       1449      0.331         10
      1          0               0        217       1112      0.246         10
      1          0               0        235        816      0.230         10
      1          0               0        374       1904      0.356         10
      1          0               0        267        775      0.263         10
      1          0               0        197        683      0.175         10
      1          0               0        223        737      0.210         10
      1          0               0        280        625      0.250         10
      1          0               0        232        746      0.228         10
      1          0               0        122        609      0.111         10
      1          0               0        295        949      0.272         10
      1          0               0        217        724      0.194         10
      1          0               0        279        966      0.252         10
      1          0               0        228        567      0.202         10
      1          0               0        257        878      0.229         10
      1          0               0        262       1195      0.236         10
      1          0               0        265        819      0.256         10
      1          0               0        340       1511      0.326         10
      1          0               0        299       1307      0.281         10
      1          0               0        144        589      0.130         10
      1          0               0        169        468      0.155         10
      1          0               0        312       1317      0.304         10
      1          0               0        359       1298      0.328         10
      1          0               0        365       1257      0.356         10
      1          0               0        155        440      0.136         10
      1          0               0        205        781      0.193         10
      1          0               0        228       1102      0.236         10
      1          0               0        293        906      0.287         10
      1          0               0        281        558      0.248         10
      1          0               0        313        915      0.301         10
      1          0               0        165        388      0.151         10
      1          0               0        305        786      0.277         10
      1          0               0        209        506      0.181         10
      1          0               0        230        674      0.212         10
      1          0               0        131        438      0.117         10
      1          0               0        244        842      0.213         10
      1          0               0        325       1086      0.345         10
      1          0               0        304        647      0.270         10
      1          0               0        261        654      0.255         10
      1          0               0        295        907      0.297         10
      1          0               0         95        312      0.082         10
      1          0               0        224        642      0.210         10
      1          0               0         98        229      0.082         10
      1          0               0        244        873      0.227         10
      1          0               0        267        873      0.244         10
      1          0               0        263        946      0.238         10
      1          0               0        115        485      0.113         10
      1          0               0        225        840      0.202         10
      1          0               0        327        747      0.298         10
      1          0               0        300        767      0.264         10
      1          0               0        142        431      0.121         10
      1          0               0        403        987      0.367         10
      1          0               0        319       1275      0.300         10
      1          0               0        214        656      0.187         10
      1          0               0        336       1276      0.327         10
      1          0               0        208        519      0.191         10
      1          0               0        255        659      0.268         10
      1          0               0        198        657      0.178         10
      1          0               0        188        674      0.160         10
      1          0               0         94        358      0.080         10
      1          0               0        257        954      0.240         10
      1          0               0        331       1091      0.312         10
      1          0               0        254       1165      0.264         10
      1          0               0        312        968      0.297         10
      1          0               0        252        708      0.221         10
      1          0               0         93        358      0.082         10
      1          0               0        319       1202      0.308         10
      1          0               0        312       1258      0.295         10
      1          0               0        137        466      0.116         10
      1          0               0        357       1022      0.314         10
      1          0               0        347       1354      0.313         10
      1          0               0        115        394      0.100         10
      1          0               0        154        490      0.131         10
      1          0               0        143        534      0.133         10
      1          0               0        103        419      0.093         10
      1          0               0        254        909      0.258         10
      1          0               0        312        828      0.275         10
      1          0               0        229        825      0.214         10
      1          0               0        372        560      0.340         10
      1          0               0        213        732      0.190         10
      1          0               0        265       1142      0.266         10
      1          0               0        163        523      0.155         10
      1          0               0        200        737      0.189         10
      1          0               0        259        816      0.253         10
      1          0               0        310        717      0.293         10
      1          0               0        112        407      0.099         10
      1          0               0        351       1364      0.314         10
      1          0               0        247       1012      0.218         10
      1          0               0        258        750      0.230         10
      1          0               0        351       1357      0.316         10
      1          0               0        245       1318      0.224         10
      1          0               0        136        501      0.117         10
      1          0               0        114        479      0.097         10
      1          0               0        290        956      0.292         10
      1          0               0        239       1075      0.220         10
      1          0               0        115        508      0.105         10
      1          0               0        358       1037      0.315         10
      1          0               0        282       1394      0.276         10
      1          0               0        200        462      0.176         10
      1          0               0        198        779      0.182         10
      1          0               0         79        303      0.072         10
      1          0               0        306        965      0.304         10
      1          0               0        168        513      0.143         10
      1          0               0        328        895      0.318         10
      1          0               0        359        873      0.331         10
      1          0               0        225        744      0.198         10
      1          0               0        243        530      0.210         10
      1          0               0        386        664      0.348         10
      1          0               0        255        599      0.239         10
      1          0               0        177        442      0.162         10
      1          0               0        131        516      0.118         10
      1          0               0        345       1121      0.302         10
      1          0               0        215        635      0.188         10
      1          0               0        235        658      0.213         10
      1          0               0        114        433      0.097         10
      1          0               0        205        646      0.184         10
      1          0               0        129        565      0.121         10
      1          0               0        251        732      0.233         10
      1          0               0        141        464      0.122         10
      1          0               0        196        592      0.178         10
      1          0               0        283       1578      0.300         10
      1          0               0        251        987      0.252         10
      1          0               0        330        789      0.299         10
      1          0               0        366        888      0.346         10
      1          0               0        277        849      0.284         10
      1          0               0        222        817      0.212         10
      1          0               0        318       1519      0.300         10
      1          0               0        334       1226      0.337         10
      1          0               0        250       1185      0.232         10
      1          0               0        205        697      0.174         10
      1          0               0        190        648      0.170         10
      1          0               0        231        509      0.227         10
      1          0               0         93        389      0.081         10
      1          0               0        165        391      0.143         10
      1          0               0        231        717      0.207         10
      1          0               0        223        886      0.201         10
      1          0               0        209        449      0.186         10
      1          0               0        297        981      0.257         10
      1          0               0        229       1175      0.218         10
      1          0               0         87        333      0.082         10
      1          0               0        363       1286      0.332         10
      1          0               0         56        235      0.049         10
      1          0               0        323        932      0.312         10
      1          0               0        160        487      0.139         10
      1          0               0        334        887      0.308         10
      1          0               0        272        697      0.241         10
      1          0               0        209        815      0.189         10
      1          0               0        245       1114      0.230         10
      1          0               0        109        423      0.100         10
      1          0               0        195        489      0.181         10
      1          0               0        208        591      0.192         10
      1          0               0        200        813      0.196         10
      1          0               0        233        655      0.207         10
      1          0               0        261        979      0.242         10
      1          0               0        439        990      0.395         10
      1          0               0        308        966      0.294         10
      1          0               0        223       1049      0.197         10
      1          0               0        169        289      0.144         10
      1          0               0        163        452      0.140         10
      1          0               0        142        452      0.124         10
      1          0               0         93        422      0.084         10
      1          0               0        215        874      0.202         10
      1          0               0        175        503      0.151         10
      1          0               0        210        529      0.197         10
      1          0               0        270        694      0.242         10
      1          0               0        167        445      0.145         10
      1          0               0        238       1102      0.217         10
      1          0               0        414       1408      0.393         10
      1          0               0        345        496      0.298         10
      1          0               0        172        564      0.153         10
      1          0               0        178        550      0.169         10
      1          0               0        235        602      0.207         10
      1          0               0        118        335      0.112         10
      1          0               0        303        859      0.278         10
      1          0               0        339       1257      0.310         10
      1          0               0        341       1146      0.313         10
      1          0               0         95        266      0.080         10
      1          0               0        244        576      0.221         10
      1          0               0        221        824      0.216         10
      1          0               0        285        537      0.262         10
      1          0               0        126        467      0.112         10
      1          0               0        146        671      0.136         10
      1          0               0         96        294      0.083         10
      1          0               0        255       1002      0.246         10
      1          0               0        284        980      0.266         10
      1          0               0         39        208      0.034         10
      1          0               0        239       1147      0.226         10
      1          0               0        352       1284      0.318         10
      1          0               0        287       1143      0.289         10
      1          0               0        357        835      0.324         10
      1          0               0        167        701      0.158         10
      1          0               0        161        501      0.147         10
      1          0               0        207        912      0.223         10
      1          0               0        330       1541      0.314         10
      1          0               0        220        735      0.212         10
      1          0               0        345       1028      0.303         10
      1          0               0        259       1264      0.241         10
      1          0               0        223        609      0.206         10
      1          0               0        237        989      0.230         10
      1          0               0        107        480      0.101         10
      1          0               0        206        541      0.179         10
      1          0               0        346       1369      0.324         10
      1          0               0        224        735      0.202         10
      1          0               0        144        560      0.124         10
      1          0               0        222        599      0.194         10
      1          0               0        148        537      0.130         10
      1          0               0        241        884      0.225         10
      1          0               0        328       1499      0.304         10
      1          0               0        163        507      0.154         10
      1          0               0        333       1054      0.291         10
      1          0               0        227        559      0.211         10
      1          0               0        222        613      0.193         10
      1          0               0        236        579      0.226         10
      1          0               0        235       1191      0.446         20
      1          0               0        205        883      0.360         20
      1          0               0        316       1854      0.607         20
      1          0               0        300       1552      0.535         20
      1          0               0        267        843      0.513         20
      1          0               0        280       1792      0.556         20
      1          0               0        296       1537      0.591         20
      1          0               0        306       2025      0.689         20
      1          0               0        292       2890      0.667         20
      1          0               0        277       1308      0.503         20
      1          0               0        195       1166      0.352         20
      1          0               0        278       1937      0.580         20
      1          0               0        464       2515      1.031         20
      1          0               0        205        910      0.362         20
      1          0               0        222       1227      0.463         20
      1          0               0        220       1441      0.411         20
      1          0               0        330       2854      0.609         20
      1          0               0        193       1427      0.339         20
      1          0               0        117        689      0.194         20
      1          0               0        271       1173      0.489         20
      1          0               0        271       1047      0.470         20
      1          0               0        441       2394      0.847         20
      1          0               0        318       2786      0.690         20
      1          0               0        315       1952      0.629         20
      1          0               0        139        783      0.251         20
      1          0               0        434       1786      0.861         20
      1          0               0        353       2063      0.630         20
      1          0               0        188       1068      0.348         20
      1          0               0        341       1263      0.646         20
      1          0               0        206       1269      0.373         20
      1          0               0        162       1128      0.288         20
      1          0               0        206       1230      0.460         20
      1          0               0        362       1886      0.667         20
      1          0               0        222       1080      0.400         20
      1          0               0        241       1333      0.462         20
      1          0               0        287       2131      0.562         20
      1          0               0        318       1266      0.574         20
      1          0               0        248        955      0.414         20
      1          0               0        273       2876      0.969         20
      1          0               0        319       2328      0.711         20
      1          0               0        443       2355      0.928         20
      1          0               0        146       1101      0.304         20
      1          0               0        271       1338      0.524         20
      1          0               0        266       1915      0.492         20
      1          0               0        193        733      0.325         20
      1          0               0        395       1972      0.803         20
      1          0               0        205       1449      0.378         20
