success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0        309       3453      0.880          19.913                  1.0         20
      1          0               0        309       5944      1.712          39.812                  1.0         40
      1          0               0        309       9042      2.668          59.036                 1.02         60
      1          0               0        337      12877      4.285          78.279                 1.02         80
      1          0               0        368      17058      5.831          97.288                 1.03        100
      1          0               0        374      21046      7.417         114.992                 1.04        120
      1          0               0        374      24395      8.675         132.909                 1.05        140
      1          0               0        374      27724      9.890         151.086                 1.06        160
      1          0               0        374      31244     11.215         169.139                 1.06        180
      1          0               0        374      36431     12.580         185.701                 1.08        200
      1          0               0        312       3094      1.103          19.971                  1.0         20
      1          0               0        347       5877      2.228          39.692                 1.01         40
      1          0               0        347       9734      3.326          59.375                 1.01         60
      1          0               0        347      13550      4.443          78.810                 1.02         80
      1          0               0        347      18009      5.544          97.787                 1.02        100
      1          0               0        361      21130      4.320         115.892                 1.04        120
      1          0               0        361      25785      4.735         134.767                 1.04        140
      1          0               0        361      29164      5.540         153.551                 1.04        160
      1          0               0        361      32889      9.909         170.374                 1.06        180
      1          0               0        361      38086      9.970         187.842                 1.06        200
      1          0               0        351       3639      0.669          19.886                 1.01         20
      1          0               0        351       6655      1.301          39.738                 1.01         40
      1          0               0        350      10526      1.938          59.523                 1.01         60
      1          0               0        350      14418      2.583          78.371                 1.02         80
      1          0               0        350      17032      3.211          96.951                 1.03        100
      1          0               0        350      20888      3.908         115.414                 1.04        120
      1          0               0        349      24093      4.624         134.473                 1.04        140
      1          0               0        349      27387      5.374         152.301                 1.05        160
      1          0               0        349      30607      6.019         168.825                 1.07        180
      1          0               0        349      34129      6.687         185.175                 1.08        200
      1          0               0        386       3791      0.739          19.940                  1.0         20
      1          0               0        386       7382      1.469          39.777                 1.01         40
      1          0               0        386      11196      2.257          59.539                 1.01         60
      1          0               0        386      15232      2.887          78.109                 1.02         80
      1          0               0        385      19532      3.659          96.522                 1.04        100
      1          0               0        385      23398      4.767         114.761                 1.05        120
      1          0               0        385      26854      8.493         131.081                 1.07        140
      1          0               0        385      30859     10.137         149.691                 1.07        160
      1          0               0        385      34602     11.366         168.034                 1.07        180
      1          0               0        385      39072     12.659         186.161                 1.07        200
      1          0               0        361       3132      1.209          19.950                  1.0         20
      1          0               0        361       6887      2.385          39.809                  1.0         40
      1          0               0        384      10425      3.753          59.411                 1.01         60
      1          0               0        384      14065      3.922          78.708                 1.02         80
      1          0               0        384      18053      6.145          98.182                 1.02        100
      1          0               0        384      21860      7.405         116.854                 1.03        120
      1          0               0        384      25498      8.704         135.276                 1.04        140
      1          0               0        384      29880     10.041         152.651                 1.05        160
      1          0               0        389      34539     11.427         171.085                 1.05        180
      1          0               0        389      39574      7.780         188.997                 1.06        200
      1          0               0        278       3298      0.941          19.964                  1.0         20
      1          0               0        315       6493      2.009          39.705                 1.01         40
      1          0               0        315       9694      3.098          59.448                 1.01         60
      1          0               0        315      13011      4.091          78.978                 1.01         80
      1          0               0        337      17089      5.475          97.623                 1.02        100
      1          0               0        337      20264      6.585         116.605                 1.03        120
      1          0               0        337      24307      7.675         135.240                 1.04        140
      1          0               0        356      27856      9.337         153.781                 1.04        160
      1          0               0        400      32086     11.779         170.583                 1.06        180
      1          0               0        400      37368     13.504         188.972                 1.06        200
      1          0               0        306       3092      1.064          19.912                  1.0         20
      1          0               0        378       7267      2.574          39.582                 1.01         40
      1          0               0        378      10448      3.660          59.354                 1.01         60
      1          0               0        378      13682      4.829          79.085                 1.01         80
      1          0               0        378      17269      6.090          97.995                 1.02        100
      1          0               0        378      20571      7.381         115.521                 1.04        120
      1          0               0        387      25347      8.825         133.897                 1.05        140
      1          0               0        387      29015     10.204         151.530                 1.06        160
      1          0               0        386      32115      7.832         170.202                 1.06        180
      1          0               0        386      36468      7.310         188.648                 1.06        200
      1          0               0        364       4249      0.703          19.951                  1.0         20
      1          0               0        364       7613      1.363          39.643                 1.01         40
      1          0               0        364      10905      2.028          59.310                 1.01         60
      1          0               0        364      14355      2.706          78.841                 1.01         80
      1          0               0        364      18849      3.397          97.547                 1.03        100
      1          0               0        364      23085      4.120         116.291                 1.03        120
      1          0               0        364      26194      4.847         134.766                 1.04        140
      1          0               0        363      30029      5.512         153.259                 1.04        160
      1          0               0        363      34742      6.204         171.452                 1.05        180
      1          0               0        363      39321      6.949         189.499                 1.06        200
      1          0               0        359       3177      1.199          19.936                  1.0         20
      1          0               0        370       6139      2.426          39.757                 1.01         40
      1          0               0        370       9989      3.632          58.784                 1.02         60
      1          0               0        369      13433      4.840          77.957                 1.03         80
      1          0               0        381      18508      6.248          96.257                 1.04        100
      1          0               0        381      22682      5.539         114.937                 1.04        120
      1          0               0        380      27264      5.094         134.166                 1.04        140
      1          0               0        386      32226      5.962         152.997                 1.05        160
      1          0               0        385      36669      6.729         170.317                 1.06        180
      1          0               0        385      41293      7.371         187.779                 1.07        200
      1          0               0        367       3744      0.712          19.183                 1.04         20
      1          0               0        367       7058      1.385          38.540                 1.04         40
      1          0               0        367      10860      2.064          58.011                 1.03         60
      1          0               0        366      14397      2.766          77.186                 1.04         80
      1          0               0        366      18593      3.455          96.060                 1.04        100
      1          0               0        366      22399      4.148         115.273                 1.04        120
