number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    647                  128                  0.001                100                  647.0                128.0               
10                   0                    0                    549                  120                  0.001                100                  549.0                120.0               
10                   0                    0                    821                  164                  0.001                100                  821.0                164.0               
10                   0                    0                    455                  98                   0.001                100                  455.0                98.0                
10                   0                    0                    782                  140                  0.001                100                  782.0                140.0               
10                   0                    0                    456                  67                   0.001                100                  456.0                67.0                
10                   0                    0                    802                  150                  0.001                100                  802.0                150.0               
10                   0                    0                    878                  130                  0.002                100                  878.0                130.0               
10                   0                    0                    885                  247                  0.001                100                  885.0                247.0               
10                   0                    0                    546                  102                  0.001                100                  546.0                102.0               
10                   0                    0                    972                  188                  0.001                100                  972.0                188.0               
10                   0                    0                    623                  83                   0.001                100                  623.0                83.0                
10                   0                    0                    625                  94                   0.001                100                  625.0                94.0                
10                   0                    0                    409                  76                   0.001                100                  409.0                76.0                
10                   0                    0                    585                  99                   0.001                100                  585.0                99.0                
10                   0                    0                    630                  112                  0.001                100                  630.0                112.0               
10                   0                    0                    713                  116                  0.001                100                  713.0                116.0               
10                   0                    0                    707                  109                  0.001                100                  707.0                109.0               
10                   0                    0                    694                  131                  0.001                100                  694.0                131.0               
10                   0                    0                    706                  147                  0.001                100                  706.0                147.0               
10                   0                    0                    830                  151                  0.001                100                  830.0                151.0               
10                   0                    0                    667                  129                  0.001                100                  667.0                129.0               
10                   0                    0                    1123                 218                  0.002                100                  1123.0               218.0               
10                   0                    0                    647                  115                  0.001                100                  647.0                115.0               
10                   0                    0                    767                  132                  0.001                100                  767.0                132.0               
10                   0                    0                    753                  151                  0.001                100                  753.0                151.0               
10                   0                    0                    571                  111                  0.001                100                  571.0                111.0               
10                   0                    0                    816                  223                  0.001                100                  816.0                223.0               
10                   0                    0                    649                  104                  0.001                100                  649.0                104.0               
10                   0                    0                    1185                 198                  0.001                100                  1185.0               198.0               
10                   0                    0                    996                  181                  0.001                100                  996.0                181.0               
10                   0                    0                    806                  161                  0.001                100                  806.0                161.0               
10                   0                    0                    718                  109                  0.001                100                  718.0                109.0               
10                   0                    0                    609                  140                  0.001                100                  609.0                140.0               
10                   0                    0                    675                  109                  0.001                100                  675.0                109.0               
10                   0                    0                    787                  117                  0.001                100                  787.0                117.0               
10                   0                    0                    530                  102                  0.001                100                  530.0                102.0               
10                   0                    0                    503                  120                  0.001                100                  503.0                120.0               
10                   0                    0                    628                  174                  0.001                100                  628.0                174.0               
10                   0                    0                    872                  143                  0.001                100                  872.0                143.0               
10                   0                    0                    669                  110                  0.001                100                  669.0                110.0               
10                   0                    0                    811                  135                  0.001                100                  811.0                135.0               
10                   0                    0                    714                  133                  0.001                100                  714.0                133.0               
10                   0                    0                    678                  103                  0.001                100                  678.0                103.0               
10                   0                    0                    903                  171                  0.001                100                  903.0                171.0               
10                   0                    0                    688                  150                  0.001                100                  688.0                150.0               
10                   0                    0                    905                  113                  0.001                100                  905.0                113.0               
10                   0                    0                    717                  142                  0.001                100                  697.0                142.0               
10                   0                    0                    660                  165                  0.001                100                  660.0                165.0               
10                   0                    0                    848                  170                  0.001                100                  848.0                170.0               
10                   0                    0                    665                  121                  0.001                100                  665.0                121.0               
10                   0                    0                    839                  121                  0.001                100                  839.0                121.0               
10                   0                    0                    1177                 200                  0.002                100                  1177.0               200.0               
10                   0                    0                    1237                 187                  0.001                100                  1237.0               187.0               
10                   0                    0                    545                  111                  0.001                100                  545.0                111.0               
10                   0                    0                    742                  126                  0.001                100                  742.0                126.0               
10                   0                    0                    1010                 196                  0.002                100                  1010.0               196.0               
10                   0                    0                    641                  105                  0.001                100                  641.0                105.0               
10                   0                    0                    704                  118                  0.001                100                  704.0                118.0               
10                   0                    0                    860                  188                  0.001                100                  860.0                188.0               
10                   0                    0                    974                  156                  0.001                100                  974.0                156.0               
10                   0                    0                    596                  124                  0.001                100                  596.0                124.0               
10                   0                    0                    650                  97                   0.001                100                  650.0                97.0                
10                   0                    0                    569                  129                  0.001                100                  569.0                129.0               
10                   0                    0                    743                  155                  0.001                100                  704.0                155.0               
10                   0                    0                    502                  122                  0.001                100                  502.0                122.0               
10                   0                    0                    703                  135                  0.001                100                  703.0                135.0               
10                   0                    0                    870                  238                  0.001                100                  870.0                238.0               
10                   0                    0                    565                  136                  0.001                100                  565.0                136.0               
10                   0                    0                    470                  81                   0.001                100                  470.0                81.0                
10                   0                    0                    553                  92                   0.001                100                  553.0                92.0                
10                   0                    0                    1204                 219                  0.002                100                  1204.0               219.0               
10                   0                    0                    541                  86                   0.001                100                  541.0                86.0                
10                   0                    0                    487                  99                   0.001                100                  487.0                99.0                
10                   0                    0                    454                  75                   0.001                100                  454.0                75.0                
10                   0                    0                    427                  104                  0.001                100                  427.0                104.0               
10                   0                    0                    914                  147                  0.001                100                  914.0                147.0               
10                   0                    0                    808                  138                  0.004                100                  808.0                138.0               
10                   0                    0                    1345                 192                  0.001                100                  1345.0               192.0               
10                   0                    0                    890                  152                  0.001                100                  890.0                152.0               
10                   0                    0                    1399                 234                  0.002                100                  1399.0               234.0               
10                   0                    0                    841                  203                  0.001                100                  841.0                203.0               
10                   0                    0                    698                  92                   0.001                100                  698.0                92.0                
10                   0                    0                    897                  131                  0.001                100                  897.0                131.0               
10                   0                    0                    576                  104                  0.001                100                  576.0                104.0               
10                   0                    0                    587                  169                  0.001                100                  587.0                169.0               
10                   0                    0                    682                  163                  0.001                100                  682.0                163.0               
10                   0                    0                    658                  152                  0.001                100                  658.0                152.0               
10                   0                    0                    653                  168                  0.001                100                  653.0                168.0               
10                   0                    0                    736                  191                  0.001                100                  736.0                191.0               
10                   0                    0                    939                  180                  0.001                100                  939.0                180.0               
10                   0                    0                    661                  91                   0.001                100                  661.0                91.0                
10                   0                    0                    636                  93                   0.001                100                  636.0                93.0                
10                   0                    0                    846                  169                  0.001                100                  846.0                169.0               
10                   0                    0                    1124                 202                  0.002                100                  1124.0               202.0               
10                   0                    0                    740                  139                  0.001                100                  740.0                139.0               
10                   0                    0                    642                  117                  0.001                100                  642.0                117.0               
10                   0                    0                    714                  113                  0.001                100                  714.0                113.0               
10                   0                    0                    599                  137                  0.001                100                  599.0                137.0               
10                   0                    0                    1092                 212                  0.002                100                  1092.0               212.0               
10                   0                    0                    705                  125                  0.001                100                  705.0                125.0               
10                   0                    0                    870                  191                  0.001                100                  870.0                191.0               
10                   0                    0                    827                  134                  0.001                100                  827.0                134.0               
10                   0                    0                    834                  179                  0.001                100                  834.0                179.0               
10                   0                    0                    551                  113                  0.001                100                  551.0                113.0               
10                   0                    0                    487                  111                  0.001                100                  487.0                111.0               
10                   0                    0                    726                  135                  0.001                100                  726.0                135.0               
10                   0                    0                    1403                 215                  0.001                100                  1403.0               215.0               
10                   0                    0                    821                  131                  0.001                100                  821.0                131.0               
10                   0                    0                    1290                 286                  0.002                100                  1290.0               286.0               
10                   0                    0                    762                  104                  0.001                100                  762.0                104.0               
10                   0                    0                    482                  129                  0.001                100                  482.0                129.0               
10                   0                    0                    649                  168                  0.002                100                  649.0                168.0               
10                   0                    0                    773                  154                  0.001                100                  773.0                154.0               
10                   0                    0                    924                  126                  0.001                100                  924.0                126.0               
10                   0                    0                    737                  119                  0.001                100                  737.0                119.0               
